material,source_type,nominal_d_mm,angle_low_deg,angle_high_deg,material_code,source,n_photons,mean_tprop_ns,var_tprop_ns2
EJ-200,1,50,0,15,0,scintillation,1950534,0.31794536883,0.718732401384
EJ-200,1,50,15,30,0,scintillation,5797130,0.312833905206,0.40048578594
EJ-200,1,50,30,39.2652479139,0,scintillation,5049336,0.370519558015,0.914047800911
EJ-200,1,50,39.2652479139,45,0,scintillation,3971942,0.603873146901,5.08527543162
EJ-200,1,50,45,60,0,scintillation,11071919,0.551825578496,2.83418404957
EJ-200,1,50,60,90,0,scintillation,13378670,1.04546830616,0.798906925933
EJ-200,1,50,90,120,0,scintillation,2554539,0.985157566183,0.492357988798
EJ-200,1,50,120,180.0000001,0,scintillation,1774187,0.568468157715,3.60692770491
EJ-200,1,200,0,15,0,scintillation,1742104,1.11986547382,0.699392366143
EJ-200,1,200,15,30,0,scintillation,4791933,1.17583582296,0.461650453034
EJ-200,1,200,30,39.2652479139,0,scintillation,4207128,1.33996979405,1.03053476943
EJ-200,1,200,39.2652479139,45,0,scintillation,2967534,1.74547845095,6.24440289189
EJ-200,1,200,45,60,0,scintillation,6962893,1.87001819292,3.64367363445
EJ-200,1,200,60,90,0,scintillation,4077576,3.04127748313,3.59148281891
EJ-200,1,200,90,120,0,scintillation,777584,3.13984930753,2.89298643314
EJ-200,1,200,120,180.0000001,0,scintillation,1162095,1.85442007739,5.13818743298
EJ-200,1,500,0,15,0,scintillation,1373036,2.72967732232,0.672710597297
EJ-200,1,500,15,30,0,scintillation,3410284,2.89985562257,0.520002923166
EJ-200,1,500,30,39.2652479139,0,scintillation,2723978,3.28642628546,1.30578159484
EJ-200,1,500,39.2652479139,45,0,scintillation,1784698,4.05391149447,8.00808561163
EJ-200,1,500,45,60,0,scintillation,3368284,4.51233296665,6.03350039437
EJ-200,1,500,60,90,0,scintillation,959909,6.36642488811,15.2874409928
EJ-200,1,500,90,120,0,scintillation,168069,6.82477405709,13.0069202343
EJ-200,1,500,120,180.0000001,0,scintillation,599887,4.38242245106,7.95227278514
EJ-200,1,700,0,15,0,scintillation,1173003,3.79593246643,0.559773399827
EJ-200,1,700,15,30,0,scintillation,2704697,4.04629246812,0.530480964668
EJ-200,1,700,30,39.2652479139,0,scintillation,2005401,4.58188387554,1.39559154672
EJ-200,1,700,39.2652479139,45,0,scintillation,1277636,5.59866543962,8.64938030199
EJ-200,1,700,45,60,0,scintillation,2116361,6.28488736552,7.77904385065
EJ-200,1,700,60,90,0,scintillation,485405,8.37372392754,29.0640643514
