sample,material,material_code,source_type,source,nominal_d_mm,mirror_delta_ns,mirror_pull
all_photons,EJ-200,0,1,scintillation,50,-0.000285227688735,-0.702599447215
all_photons,EJ-200,0,1,scintillation,200,5.80056601001e-05,0.0825616438258
all_photons,EJ-200,0,1,scintillation,500,0.000463381093143,0.378125957827
all_photons,EJ-200,0,1,scintillation,700,0.000652536308438,0.396016420266
all_photons,EJ-200,0,1,scintillation,900,-0.0028352297422,-1.44302850031
all_photons,EJ-200,0,1,scintillation,1200,-0.00237008740595,-0.938591640391
all_photons,EJ-200,0,1,scintillation,1350,0.00169418567224,0.614861832178
all_photons,EJ-200,0,2,Cherenkov,50,-0.00285245933547,-0.858532583483
all_photons,EJ-200,0,2,Cherenkov,200,0.00801166352381,1.33391022509
all_photons,EJ-200,0,2,Cherenkov,500,0.000401141719805,0.0375283096334
all_photons,EJ-200,0,2,Cherenkov,700,-0.00651406923621,-0.458676762679
all_photons,EJ-200,0,2,Cherenkov,900,0.00112467260787,0.0690899196647
all_photons,EJ-200,0,2,Cherenkov,1200,-0.00420031798856,-0.219362257326
all_photons,EJ-200,0,2,Cherenkov,1350,0.00406086504808,0.208679524551
all_photons,EJ-204,1,1,scintillation,50,0.000110120231309,0.467502405523
all_photons,EJ-204,1,1,scintillation,200,1.54188819916e-05,0.032422865148
all_photons,EJ-204,1,1,scintillation,500,-0.000141818367768,-0.156762769546
all_photons,EJ-204,1,1,scintillation,700,-0.00120573518141,-0.925404529706
all_photons,EJ-204,1,1,scintillation,900,-0.000748514347969,-0.433184407491
all_photons,EJ-204,1,1,scintillation,1200,-0.00125427649658,-0.510260055305
all_photons,EJ-204,1,1,scintillation,1350,3.04593994116e-06,0.00112076580842
all_photons,EJ-204,1,2,Cherenkov,50,-0.00209271967631,-1.13092911733
all_photons,EJ-204,1,2,Cherenkov,200,0.00809798075146,2.01132924742
all_photons,EJ-204,1,2,Cherenkov,500,-0.00297597938494,-0.389544077279
all_photons,EJ-204,1,2,Cherenkov,700,0.0111641894089,1.02468577099
all_photons,EJ-204,1,2,Cherenkov,900,-0.0268881953526,-1.96961699024
all_photons,EJ-204,1,2,Cherenkov,1200,-0.0396540325809,-2.36334772282
all_photons,EJ-204,1,2,Cherenkov,1350,0.0319842586384,2.04526778331
all_photons,EJ-230,2,1,scintillation,50,-0.000178139220574,-0.874629099905
all_photons,EJ-230,2,1,scintillation,200,9.6642168989e-05,0.23407787497
all_photons,EJ-230,2,1,scintillation,500,0.000339432571225,0.389500265568
all_photons,EJ-230,2,1,scintillation,700,-0.00154784023773,-1.20022381619
all_photons,EJ-230,2,1,scintillation,900,0.00188219827119,1.02117301424
all_photons,EJ-230,2,1,scintillation,1200,-0.000218412667668,-0.0793808068933
all_photons,EJ-230,2,1,scintillation,1350,-0.00146016720671,-0.470135439927
all_photons,EJ-230,2,2,Cherenkov,50,-0.00129575535148,-0.890556069988
all_photons,EJ-230,2,2,Cherenkov,200,0.00458532369425,1.35406503096
all_photons,EJ-230,2,2,Cherenkov,500,-0.000244689164102,-0.0367560263863
all_photons,EJ-230,2,2,Cherenkov,700,0.010807742651,1.0885316102
all_photons,EJ-230,2,2,Cherenkov,900,-0.0109167173124,-0.826071991976
all_photons,EJ-230,2,2,Cherenkov,1200,-0.00923474336533,-0.547507475892
all_photons,EJ-230,2,2,Cherenkov,1350,0.0146933401674,0.950348771164
first_by_source,EJ-200,0,1,scintillation,50,-0.000330020587146,-0.959042837558
first_by_source,EJ-200,0,1,scintillation,200,-0.000346171517848,-0.613083964247
first_by_source,EJ-200,0,1,scintillation,500,-0.000100338501883,-0.119108607777
first_by_source,EJ-200,0,1,scintillation,700,-0.000120530974454,-0.110634928226
first_by_source,EJ-200,0,1,scintillation,900,-0.000354886981961,-0.303512382029
first_by_source,EJ-200,0,1,scintillation,1200,-0.000812836501096,-0.56028205118
first_by_source,EJ-200,0,1,scintillation,1350,0.00221582810419,1.46941484323
first_by_source,EJ-200,0,2,Cherenkov,50,-0.000618997811119,-1.96428273929
first_by_source,EJ-200,0,2,Cherenkov,200,-0.00126641084278,-1.12266741336
first_by_source,EJ-200,0,2,Cherenkov,500,-0.00140718424239,-0.525670015814
first_by_source,EJ-200,0,2,Cherenkov,700,-0.00376728431141,-1.02794907119
first_by_source,EJ-200,0,2,Cherenkov,900,0.00197824362834,0.417333163624
first_by_source,EJ-200,0,2,Cherenkov,1200,0.00544337057284,0.768393991318
first_by_source,EJ-200,0,2,Cherenkov,1350,-0.0034710230733,-0.475063352757
first_by_source,EJ-204,1,1,scintillation,50,-0.000376226784345,-1.25600943462
first_by_source,EJ-204,1,1,scintillation,200,-0.000375253769157,-0.729961011951
first_by_source,EJ-204,1,1,scintillation,500,0.0014405200582,1.83912103948
first_by_source,EJ-204,1,1,scintillation,700,0.000270535804354,0.281014296945
first_by_source,EJ-204,1,1,scintillation,900,-0.00227417978185,-2.02570762391
first_by_source,EJ-204,1,1,scintillation,1200,0.000945918677878,0.654397202772
first_by_source,EJ-204,1,1,scintillation,1350,-0.000328927227297,-0.189245240418
first_by_source,EJ-204,1,2,Cherenkov,50,-9.34936028943e-05,-0.299181490529
first_by_source,EJ-204,1,2,Cherenkov,200,-0.000520456905879,-0.466036331246
first_by_source,EJ-204,1,2,Cherenkov,500,0.000251990769955,0.0980293406027
first_by_source,EJ-204,1,2,Cherenkov,700,-0.000452233994228,-0.126816903061
first_by_source,EJ-204,1,2,Cherenkov,900,-0.00812379687871,-1.36846202213
first_by_source,EJ-204,1,2,Cherenkov,1200,-0.0157666352496,-1.26814259484
first_by_source,EJ-204,1,2,Cherenkov,1350,0.0130981526426,1.14762859544
first_by_source,EJ-230,2,1,scintillation,50,-0.000417264341651,-1.57779709064
first_by_source,EJ-230,2,1,scintillation,200,-7.38842105918e-06,-0.0160253925441
first_by_source,EJ-230,2,1,scintillation,500,0.00058054652684,0.751814309249
first_by_source,EJ-230,2,1,scintillation,700,0.000463382126429,0.476329455507
first_by_source,EJ-230,2,1,scintillation,900,0.00190256837273,1.58631873101
first_by_source,EJ-230,2,1,scintillation,1200,0.00245358675837,1.43015667387
first_by_source,EJ-230,2,1,scintillation,1350,0.000796272622954,0.490367130351
first_by_source,EJ-230,2,2,Cherenkov,50,-0.000288285956228,-0.922100038809
first_by_source,EJ-230,2,2,Cherenkov,200,-0.000112366190128,-0.100570246748
first_by_source,EJ-230,2,2,Cherenkov,500,-0.00346802630382,-1.38536752644
first_by_source,EJ-230,2,2,Cherenkov,700,-2.82851403757e-05,-0.00727472528239
first_by_source,EJ-230,2,2,Cherenkov,900,0.00547746393441,0.689354426625
first_by_source,EJ-230,2,2,Cherenkov,1200,-0.00441161857156,-0.267926413958
first_by_source,EJ-230,2,2,Cherenkov,1350,0.00533152469381,0.375281536751
first_overall,EJ-200,0,0,first overall,50,-0.000877601576058,-1.90023369404
first_overall,EJ-200,0,0,first overall,200,-0.000332739150684,-0.534831443492
first_overall,EJ-200,0,0,first overall,500,-0.000350073255577,-0.410932684537
first_overall,EJ-200,0,0,first overall,700,0.000580277923572,0.561106724557
first_overall,EJ-200,0,0,first overall,900,-0.0002341841784,-0.198144472499
first_overall,EJ-200,0,0,first overall,1200,-0.00142183250894,-0.975135412238
first_overall,EJ-200,0,0,first overall,1350,0.00159680679326,1.05490021282
first_overall,EJ-204,1,0,first overall,50,0.0002311349998,0.485140943459
first_overall,EJ-204,1,0,first overall,200,-5.41686851918e-05,-0.102636663998
first_overall,EJ-204,1,0,first overall,500,0.00104701017642,1.32770933165
first_overall,EJ-204,1,0,first overall,700,2.49016460221e-05,0.0255296283344
first_overall,EJ-204,1,0,first overall,900,-0.00213152860476,-1.88089884274
first_overall,EJ-204,1,0,first overall,1200,0.000799678054926,0.550840449041
first_overall,EJ-204,1,0,first overall,1350,-0.000567539459261,-0.32532631623
first_overall,EJ-230,2,0,first overall,50,-3.0447192256e-05,-0.064192998114
first_overall,EJ-230,2,0,first overall,200,-0.000112732387749,-0.241529701427
first_overall,EJ-230,2,0,first overall,500,0.00116832712137,1.59641680032
first_overall,EJ-230,2,0,first overall,700,0.000902065578712,0.923018011274
first_overall,EJ-230,2,0,first overall,900,0.00152361125867,1.37732122274
first_overall,EJ-230,2,0,first overall,1200,0.00262870260227,1.52856262258
first_overall,EJ-230,2,0,first overall,1350,0.00109070562708,0.669739628492
