material_code,source_type,d_low_mm,d_high_mm,t_low_ns,t_high_ns,count
0,1,0,10,0,0.2,1691301
0,1,0,10,0.2,0.4,305
0,1,0,10,0.4,0.6,66
0,1,0,10,0.6,0.8,57
0,1,0,10,0.8,1,31
0,1,0,10,1,1.2,11
0,1,0,10,1.2,1.4,9
0,1,0,10,1.4,1.6,10
0,1,0,10,1.6,1.8,4
0,1,0,10,1.8,2,6
0,1,0,10,2,2.2,3
0,1,0,10,2.2,2.4,2
0,1,0,10,2.6,2.8,1
0,1,0,10,3,3.2,2
0,1,0,10,3.2,3.4,2
0,1,0,10,4.8,5,1
0,1,0,10,5,5.2,1
0,1,0,10,6.2,6.4,1
0,1,0,10,14.6,14.8,8
0,1,0,10,14.8,15,10
0,1,0,10,15,15.2,5
0,1,0,10,15.2,15.4,4
0,1,0,10,15.4,15.6,1
0,1,0,10,15.6,15.8,5
0,1,0,10,15.8,16,2
0,1,0,10,16,16.2,5
0,1,0,10,16.2,16.4,2
0,1,0,10,16.4,16.6,1
0,1,0,10,16.6,16.8,1
0,1,0,10,16.8,17,2
0,1,0,10,17,17.2,4
0,1,0,10,17.2,17.4,2
0,1,0,10,17.4,17.6,3
0,1,0,10,17.6,17.8,2
0,1,0,10,17.8,18,1
0,1,0,10,18,18.2,6
0,1,0,10,18.2,18.4,1
0,1,0,10,18.4,18.6,5
0,1,0,10,18.6,18.8,5
0,1,0,10,18.8,19,8
0,1,0,10,19,19.2,7
0,1,0,10,19.2,19.4,18
0,1,0,10,19.4,19.6,26
0,1,0,10,19.6,19.8,20
0,1,0,10,19.8,20,10
0,1,0,10,20,20.2,14
0,1,0,10,20.2,20.4,13
0,1,0,10,20.4,20.6,11
0,1,0,10,20.6,20.8,7
0,1,0,10,20.8,21,17
0,1,0,10,21,21.2,16
0,1,0,10,21.2,21.4,6
0,1,0,10,21.4,21.6,9
0,1,0,10,21.6,21.8,10
0,1,0,10,21.8,22,11
0,1,0,10,22,22.2,7
0,1,0,10,22.2,22.4,4
0,1,0,10,22.4,22.6,4
0,1,0,10,22.6,22.8,7
0,1,0,10,22.8,23,4
0,1,0,10,23,23.2,12
0,1,0,10,23.2,23.4,5
0,1,0,10,23.4,23.6,3
0,1,0,10,23.6,23.8,6
0,1,0,10,23.8,24,2
0,1,0,10,24,24.2,5
0,1,0,10,24.2,24.4,5
0,1,0,10,24.4,24.6,2
0,1,0,10,24.6,24.8,3
0,1,0,10,24.8,25,3
0,1,0,10,25,25.2,1
0,1,0,10,25.2,25.4,3
0,1,0,10,25.4,25.6,2
0,1,0,10,25.8,26,5
0,1,0,10,26.2,26.4,1
0,1,0,10,26.4,26.6,1
0,1,0,10,26.6,26.8,5
0,1,0,10,27,27.2,2
0,1,0,10,27.2,27.4,2
0,1,0,10,27.4,27.6,1
0,1,0,10,27.6,27.8,1
0,1,0,10,27.8,28,1
0,1,0,10,28.2,28.4,1
0,1,0,10,28.6,28.8,1
0,1,0,10,28.8,29,2
0,1,0,10,29,29.2,1
0,1,0,10,29.4,29.6,1
0,1,0,10,29.6,29.8,1
0,1,0,10,29.8,30,1
0,1,0,10,30.2,30.4,1
0,1,0,10,30.8,31,1
0,1,0,10,31.4,31.6,1
0,1,0,10,31.6,31.8,1
0,1,0,10,31.8,32,1
0,1,0,10,33.2,33.4,1
0,1,0,10,34,34.2,1
0,1,0,10,34.6,34.8,1
0,1,0,10,34.8,35,1
0,1,0,10,38.4,38.6,1
0,1,0,10,39,39.2,1
0,1,0,10,39.6,39.8,1
0,1,0,10,39.8,40,1
0,1,0,10,40.2,40.4,1
0,1,0,10,41.8,42,1
0,1,0,10,42.2,42.4,1
0,1,0,10,44.6,44.8,1
0,1,10,20,0,0.2,15104
0,1,10,20,0.2,0.4,1433
0,1,10,20,0.4,0.6,352
0,1,10,20,0.6,0.8,206
0,1,10,20,0.8,1,91
0,1,10,20,1,1.2,57
0,1,10,20,1.2,1.4,17
0,1,10,20,1.4,1.6,15
0,1,10,20,1.6,1.8,17
0,1,10,20,1.8,2,10
0,1,10,20,2,2.2,6
0,1,10,20,2.2,2.4,3
0,1,10,20,2.4,2.6,4
0,1,10,20,2.6,2.8,4
0,1,10,20,2.8,3,2
0,1,10,20,3,3.2,3
0,1,10,20,3.2,3.4,1
0,1,10,20,3.4,3.6,2
0,1,10,20,3.6,3.8,1
0,1,10,20,5.2,5.4,1
0,1,10,20,5.8,6,1
0,1,10,20,11.4,11.6,1
0,1,10,20,14.6,14.8,3
0,1,10,20,14.8,15,5
0,1,10,20,15,15.2,7
0,1,10,20,15.2,15.4,2
0,1,10,20,15.4,15.6,3
0,1,10,20,15.6,15.8,3
0,1,10,20,15.8,16,2
0,1,10,20,16.2,16.4,2
0,1,10,20,16.4,16.6,1
0,1,10,20,16.6,16.8,1
0,1,10,20,17,17.2,2
0,1,10,20,17.2,17.4,3
0,1,10,20,17.4,17.6,3
0,1,10,20,17.6,17.8,1
0,1,10,20,17.8,18,2
0,1,10,20,18,18.2,5
0,1,10,20,18.2,18.4,3
0,1,10,20,18.4,18.6,4
0,1,10,20,18.6,18.8,4
0,1,10,20,18.8,19,4
0,1,10,20,19,19.2,9
0,1,10,20,19.2,19.4,14
0,1,10,20,19.4,19.6,14
0,1,10,20,19.6,19.8,11
0,1,10,20,19.8,20,6
0,1,10,20,20,20.2,11
0,1,10,20,20.2,20.4,10
0,1,10,20,20.4,20.6,9
0,1,10,20,20.6,20.8,11
0,1,10,20,20.8,21,11
0,1,10,20,21,21.2,11
0,1,10,20,21.2,21.4,4
0,1,10,20,21.4,21.6,13
0,1,10,20,21.6,21.8,7
0,1,10,20,21.8,22,7
0,1,10,20,22,22.2,7
0,1,10,20,22.2,22.4,8
0,1,10,20,22.4,22.6,8
0,1,10,20,22.6,22.8,8
0,1,10,20,22.8,23,9
0,1,10,20,23,23.2,3
0,1,10,20,23.2,23.4,4
0,1,10,20,23.4,23.6,1
0,1,10,20,23.8,24,5
0,1,10,20,24,24.2,3
0,1,10,20,24.2,24.4,1
0,1,10,20,24.6,24.8,3
0,1,10,20,24.8,25,1
0,1,10,20,25,25.2,3
0,1,10,20,25.2,25.4,2
0,1,10,20,25.8,26,2
0,1,10,20,26.4,26.6,1
0,1,10,20,26.6,26.8,1
0,1,10,20,27.8,28,2
0,1,10,20,28.6,28.8,1
0,1,10,20,28.8,29,1
0,1,10,20,32.4,32.6,1
0,1,10,20,36.2,36.4,1
0,1,10,20,38.2,38.4,1
0,1,10,20,39.2,39.4,1
0,1,10,20,47,47.2,1
0,1,20,30,0,0.2,9588
0,1,20,30,0.2,0.4,3818
0,1,20,30,0.4,0.6,973
0,1,20,30,0.6,0.8,582
0,1,20,30,0.8,1,310
0,1,20,30,1,1.2,161
0,1,20,30,1.2,1.4,85
0,1,20,30,1.4,1.6,66
0,1,20,30,1.6,1.8,63
0,1,20,30,1.8,2,46
0,1,20,30,2,2.2,28
0,1,20,30,2.2,2.4,21
0,1,20,30,2.4,2.6,17
0,1,20,30,2.6,2.8,13
0,1,20,30,2.8,3,4
0,1,20,30,3,3.2,3
0,1,20,30,3.2,3.4,5
0,1,20,30,3.4,3.6,1
0,1,20,30,3.6,3.8,3
0,1,20,30,3.8,4,1
0,1,20,30,4,4.2,3
0,1,20,30,4.4,4.6,4
0,1,20,30,4.6,4.8,1
0,1,20,30,5,5.2,1
0,1,20,30,5.8,6,1
0,1,20,30,6.2,6.4,1
0,1,20,30,6.4,6.6,1
0,1,20,30,7.2,7.4,1
0,1,20,30,7.4,7.6,1
0,1,20,30,14.6,14.8,3
0,1,20,30,14.8,15,9
0,1,20,30,15,15.2,1
0,1,20,30,15.2,15.4,1
0,1,20,30,15.4,15.6,2
0,1,20,30,15.6,15.8,1
0,1,20,30,16,16.2,1
0,1,20,30,16.4,16.6,2
0,1,20,30,16.6,16.8,2
0,1,20,30,17,17.2,1
0,1,20,30,17.2,17.4,2
0,1,20,30,17.4,17.6,1
0,1,20,30,17.6,17.8,1
0,1,20,30,17.8,18,1
0,1,20,30,18,18.2,2
0,1,20,30,18.2,18.4,2
0,1,20,30,18.4,18.6,4
0,1,20,30,18.6,18.8,2
0,1,20,30,18.8,19,3
0,1,20,30,19,19.2,4
0,1,20,30,19.2,19.4,10
0,1,20,30,19.4,19.6,8
0,1,20,30,19.6,19.8,7
0,1,20,30,19.8,20,5
0,1,20,30,20,20.2,13
0,1,20,30,20.2,20.4,7
0,1,20,30,20.4,20.6,11
0,1,20,30,20.6,20.8,6
0,1,20,30,20.8,21,15
0,1,20,30,21,21.2,5
0,1,20,30,21.2,21.4,9
0,1,20,30,21.4,21.6,7
0,1,20,30,21.6,21.8,5
0,1,20,30,21.8,22,9
0,1,20,30,22,22.2,4
0,1,20,30,22.2,22.4,3
0,1,20,30,22.4,22.6,5
0,1,20,30,22.6,22.8,2
0,1,20,30,22.8,23,4
0,1,20,30,23,23.2,2
0,1,20,30,23.2,23.4,4
0,1,20,30,23.4,23.6,5
0,1,20,30,23.6,23.8,1
0,1,20,30,23.8,24,3
0,1,20,30,24,24.2,2
0,1,20,30,24.2,24.4,2
0,1,20,30,24.4,24.6,3
0,1,20,30,25.6,25.8,2
0,1,20,30,25.8,26,1
0,1,20,30,27.6,27.8,1
0,1,20,30,30.2,30.4,1
0,1,20,30,30.6,30.8,1
0,1,20,30,40.4,40.6,1
0,1,20,30,44.2,44.4,1
0,1,20,30,45.8,46,1
0,1,30,40,0,0.2,4720
0,1,30,40,0.2,0.4,10722
0,1,30,40,0.4,0.6,2562
0,1,30,40,0.6,0.8,1281
0,1,30,40,0.8,1,681
0,1,30,40,1,1.2,369
0,1,30,40,1.2,1.4,228
0,1,30,40,1.4,1.6,177
0,1,30,40,1.6,1.8,131
0,1,30,40,1.8,2,100
0,1,30,40,2,2.2,71
0,1,30,40,2.2,2.4,42
0,1,30,40,2.4,2.6,31
0,1,30,40,2.6,2.8,33
0,1,30,40,2.8,3,13
0,1,30,40,3,3.2,8
0,1,30,40,3.2,3.4,12
0,1,30,40,3.4,3.6,10
0,1,30,40,3.6,3.8,12
0,1,30,40,3.8,4,5
0,1,30,40,4,4.2,3
0,1,30,40,4.2,4.4,2
0,1,30,40,4.4,4.6,1
0,1,30,40,4.6,4.8,1
0,1,30,40,4.8,5,4
0,1,30,40,5,5.2,3
0,1,30,40,5.2,5.4,1
0,1,30,40,5.4,5.6,3
0,1,30,40,5.6,5.8,2
0,1,30,40,5.8,6,1
0,1,30,40,6,6.2,1
0,1,30,40,7,7.2,1
0,1,30,40,8.4,8.6,1
0,1,30,40,14.6,14.8,5
0,1,30,40,14.8,15,6
0,1,30,40,15,15.2,4
0,1,30,40,15.2,15.4,2
0,1,30,40,15.4,15.6,5
0,1,30,40,15.6,15.8,3
0,1,30,40,15.8,16,3
0,1,30,40,16,16.2,2
0,1,30,40,16.2,16.4,1
0,1,30,40,16.6,16.8,4
0,1,30,40,16.8,17,2
0,1,30,40,17,17.2,2
0,1,30,40,17.2,17.4,1
0,1,30,40,17.4,17.6,2
0,1,30,40,17.6,17.8,4
0,1,30,40,17.8,18,1
0,1,30,40,18.2,18.4,6
0,1,30,40,18.4,18.6,4
0,1,30,40,18.6,18.8,5
0,1,30,40,18.8,19,4
0,1,30,40,19,19.2,10
0,1,30,40,19.2,19.4,4
0,1,30,40,19.4,19.6,8
0,1,30,40,19.6,19.8,5
0,1,30,40,19.8,20,7
0,1,30,40,20,20.2,10
0,1,30,40,20.2,20.4,8
0,1,30,40,20.4,20.6,11
0,1,30,40,20.6,20.8,5
0,1,30,40,20.8,21,11
0,1,30,40,21,21.2,12
0,1,30,40,21.2,21.4,9
0,1,30,40,21.4,21.6,4
0,1,30,40,21.6,21.8,2
0,1,30,40,21.8,22,4
0,1,30,40,22,22.2,5
0,1,30,40,22.2,22.4,3
0,1,30,40,22.4,22.6,4
0,1,30,40,22.6,22.8,2
0,1,30,40,22.8,23,4
0,1,30,40,23,23.2,1
0,1,30,40,23.2,23.4,1
0,1,30,40,23.4,23.6,2
0,1,30,40,23.6,23.8,1
0,1,30,40,24,24.2,1
0,1,30,40,24.4,24.6,2
0,1,30,40,24.6,24.8,1
0,1,30,40,24.8,25,1
0,1,30,40,25.2,25.4,1
0,1,30,40,25.6,25.8,1
0,1,30,40,26,26.2,1
0,1,30,40,26.4,26.6,1
0,1,30,40,26.6,26.8,1
0,1,30,40,26.8,27,1
0,1,30,40,27.2,27.4,1
0,1,30,40,27.4,27.6,1
0,1,30,40,28.2,28.4,1
0,1,30,40,28.8,29,1
0,1,30,40,31.6,31.8,1
0,1,30,40,31.8,32,1
0,1,30,40,34.8,35,1
0,1,30,40,36.6,36.8,1
0,1,30,40,38.6,38.8,1
0,1,30,40,38.8,39,1
0,1,30,40,39.2,39.4,1
0,1,30,40,39.6,39.8,1
0,1,40,50,0.2,0.4,3833324
0,1,40,50,0.4,0.6,2880309
0,1,40,50,0.6,0.8,626009
0,1,40,50,0.8,1,504365
0,1,40,50,1,1.2,245322
0,1,40,50,1.2,1.4,154676
0,1,40,50,1.4,1.6,90686
0,1,40,50,1.6,1.8,74075
0,1,40,50,1.8,2,53704
0,1,40,50,2,2.2,41510
