material_code,material,nominal_d_mm,count_quantile,n_event_ends,mean_n_primary_cherenkov,min_n_primary_cherenkov,max_n_primary_cherenkov,q50_alpha_axial_deg,q95_alpha_axial_deg,q95_minus_edge_deg
0,EJ-200,50,0,2952,8.56131436314,1,13,39.9623066007,52.491511931,13.0105931619
0,EJ-200,50,1,2953,15.3440568913,13,18,39.6924013099,41.2136638731,1.73274510394
0,EJ-200,50,2,2953,20.0027091094,18,22,39.6638821246,40.8300146718,1.34909590266
0,EJ-200,50,3,2953,25.7609210972,22,30,39.652170073,40.6448121138,1.1638933447
0,EJ-200,50,4,2953,39.5634947511,30,88,39.6379419076,40.5784121961,1.097493427
0,EJ-200,200,0,2948,4.59531886024,1,7,39.949682455,53.4608226804,13.9799039112
0,EJ-200,200,1,2949,8.60766361478,7,10,39.6017995452,42.8075135727,3.32659480359
0,EJ-200,200,2,2948,11.5681818182,10,13,39.5690493661,41.8492971321,2.36837836291
0,EJ-200,200,3,2949,15.1149542218,13,17,39.5576728602,40.4454551885,0.964536419333
0,EJ-200,200,4,2949,23.6612410987,17,51,39.5494766144,40.0652720408,0.584353271665
0,EJ-200,500,0,2898,2.16942719117,1,3,40.2348096559,55.1859261831,15.7050074139
0,EJ-200,500,1,2898,4.28571428571,3,5,39.6123763113,44.2794809447,4.79856217561
0,EJ-200,500,2,2898,6.04830917874,5,7,39.5636821911,42.245349358,2.76443058884
0,EJ-200,500,3,2898,8.1939268461,7,10,39.53150923,40.7911578373,1.31023906816
0,EJ-200,500,4,2899,13.0779579165,10,32,39.5192381131,39.9529716417,0.47205287256
1,EJ-204,50,0,2946,8.08452138493,1,12,39.9749224032,50.2415255189,10.7606067498
1,EJ-204,50,1,2947,14.6532066508,12,17,39.7090688092,41.3124060279,1.83148725877
1,EJ-204,50,2,2947,19.0196810316,17,21,39.6563223905,40.8006418836,1.31972311448
1,EJ-204,50,3,2947,24.3444180523,21,28,39.6436790211,40.6316344308,1.15071566167
1,EJ-204,50,4,2947,37.3508652867,28,82,39.6427205775,40.6035588143,1.12264004518
1,EJ-204,200,0,2924,3.88030095759,1,6,40.0024197124,55.5241520889,16.0432333198
1,EJ-204,200,1,2925,7.31179487179,6,9,39.6381266592,43.322398364,3.84147959488
1,EJ-204,200,2,2925,9.97333333333,9,11,39.5799460881,42.0502968266,2.56937805742
1,EJ-204,200,3,2925,13.054017094,11,15,39.5633544017,40.4693103242,0.988391555022
1,EJ-204,200,4,2926,20.2081339713,15,51,39.5531502323,40.0806264368,0.599707667634
1,EJ-204,500,0,2835,1.55590828924,1,2,41.4209549831,60.488209261,21.0072904919
1,EJ-204,500,1,2835,3.12275132275,2,4,39.7725851983,47.984785785,8.5038670159
1,EJ-204,500,2,2836,4.50317348378,4,5,39.5909274075,43.486080674,4.0051619049
1,EJ-204,500,3,2835,6.2380952381,5,7,39.5500526691,41.6170318465,2.13611307736
1,EJ-204,500,4,2836,10.1368124118,7,24,39.5252110935,40.2138892026,0.732970433505
2,EJ-230,50,0,2947,7.83881913811,1,12,39.9775200924,52.4783371524,12.9974183833
2,EJ-230,50,1,2948,14.2717096336,12,17,39.7168537841,41.4872120997,2.00629333059
2,EJ-230,50,2,2947,18.6888361045,17,21,39.6643903772,40.8764520771,1.39553330797
2,EJ-230,50,3,2948,24.0166214383,21,28,39.6454399008,40.6667632967,1.18584452759
2,EJ-230,50,4,2948,36.9776119403,28,79,39.646612018,40.6428145716,1.16189580245
2,EJ-230,200,0,2927,3.5343354971,1,5,40.1380842001,55.2219386532,15.741019884
2,EJ-230,200,1,2927,6.71233344722,5,8,39.6496076067,43.5219042845,4.04098551536
2,EJ-230,200,2,2928,9.0993852459,8,10,39.5939444535,42.4132839618,2.93236519262
2,EJ-230,200,3,2927,12.0310898531,10,14,39.5719969779,41.4658582323,1.98493946315
2,EJ-230,200,4,2928,18.6335382514,14,44,39.5543873113,40.1990812032,0.71816243408
2,EJ-230,500,0,2772,1.42316017316,1,2,41.4661041833,60.5514678557,21.0705490865
2,EJ-230,500,1,2772,2.64393939394,2,3,39.8531057392,48.8364911317,9.35557236258
2,EJ-230,500,2,2772,3.83152958153,3,5,39.6291004807,45.0661063248,5.58518755565
2,EJ-230,500,3,2772,5.39862914863,5,6,39.5607293709,41.7723495642,2.29143079505
2,EJ-230,500,4,2773,8.77208799135,6,22,39.5276131429,40.3696066812,0.888687912022
