material_code,material,nominal_d_mm,bin_low_deg,bin_high_deg,bin_center_deg,count,density_per_deg
0,EJ-200,50,38,38.02,38.01,0,0
0,EJ-200,50,38.02,38.04,38.03,0,0
0,EJ-200,50,38.04,38.06,38.05,0,0
0,EJ-200,50,38.06,38.08,38.07,0,0
0,EJ-200,50,38.08,38.1,38.09,0,0
0,EJ-200,50,38.1,38.12,38.11,0,0
0,EJ-200,50,38.12,38.14,38.13,0,0
0,EJ-200,50,38.14,38.16,38.15,0,0
0,EJ-200,50,38.16,38.18,38.17,0,0
0,EJ-200,50,38.18,38.2,38.19,0,0
0,EJ-200,50,38.2,38.22,38.21,0,0
0,EJ-200,50,38.22,38.24,38.23,0,0
0,EJ-200,50,38.24,38.26,38.25,0,0
0,EJ-200,50,38.26,38.28,38.27,0,0
0,EJ-200,50,38.28,38.3,38.29,0,0
0,EJ-200,50,38.3,38.32,38.31,0,0
0,EJ-200,50,38.32,38.34,38.33,0,0
0,EJ-200,50,38.34,38.36,38.35,1,0.0033866160932
0,EJ-200,50,38.36,38.38,38.37,0,0
0,EJ-200,50,38.38,38.4,38.39,0,0
0,EJ-200,50,38.4,38.42,38.41,0,0
0,EJ-200,50,38.42,38.44,38.43,0,0
0,EJ-200,50,38.44,38.46,38.45,0,0
0,EJ-200,50,38.46,38.48,38.47,0,0
0,EJ-200,50,38.48,38.5,38.49,0,0
0,EJ-200,50,38.5,38.52,38.51,0,0
0,EJ-200,50,38.52,38.54,38.53,0,0
0,EJ-200,50,38.54,38.56,38.55,0,0
0,EJ-200,50,38.56,38.58,38.57,0,0
0,EJ-200,50,38.58,38.6,38.59,0,0
0,EJ-200,50,38.6,38.62,38.61,0,0
0,EJ-200,50,38.62,38.64,38.63,0,0
0,EJ-200,50,38.64,38.66,38.65,0,0
0,EJ-200,50,38.66,38.68,38.67,0,0
0,EJ-200,50,38.68,38.7,38.69,0,0
0,EJ-200,50,38.7,38.72,38.71,0,0
0,EJ-200,50,38.72,38.74,38.73,0,0
0,EJ-200,50,38.74,38.76,38.75,0,0
0,EJ-200,50,38.76,38.78,38.77,0,0
0,EJ-200,50,38.78,38.8,38.79,0,0
0,EJ-200,50,38.8,38.82,38.81,0,0
0,EJ-200,50,38.82,38.84,38.83,0,0
0,EJ-200,50,38.84,38.86,38.85,0,0
0,EJ-200,50,38.86,38.88,38.87,0,0
0,EJ-200,50,38.88,38.9,38.89,0,0
0,EJ-200,50,38.9,38.92,38.91,0,0
0,EJ-200,50,38.92,38.94,38.93,0,0
0,EJ-200,50,38.94,38.96,38.95,0,0
0,EJ-200,50,38.96,38.98,38.97,0,0
0,EJ-200,50,38.98,39,38.99,0,0
0,EJ-200,50,39,39.02,39.01,0,0
0,EJ-200,50,39.02,39.04,39.03,0,0
0,EJ-200,50,39.04,39.06,39.05,0,0
0,EJ-200,50,39.06,39.08,39.07,0,0
0,EJ-200,50,39.08,39.1,39.09,0,0
0,EJ-200,50,39.1,39.12,39.11,0,0
0,EJ-200,50,39.12,39.14,39.13,0,0
0,EJ-200,50,39.14,39.16,39.15,0,0
0,EJ-200,50,39.16,39.18,39.17,0,0
0,EJ-200,50,39.18,39.2,39.19,0,0
0,EJ-200,50,39.2,39.22,39.21,0,0
0,EJ-200,50,39.22,39.24,39.23,0,0
0,EJ-200,50,39.24,39.26,39.25,0,0
0,EJ-200,50,39.26,39.28,39.27,0,0
0,EJ-200,50,39.28,39.3,39.29,0,0
0,EJ-200,50,39.3,39.32,39.31,0,0
0,EJ-200,50,39.32,39.34,39.33,1,0.0033866160932
0,EJ-200,50,39.34,39.36,39.35,0,0
0,EJ-200,50,39.36,39.38,39.37,3,0.0101598482796
0,EJ-200,50,39.38,39.4,39.39,4,0.0135464643728
0,EJ-200,50,39.4,39.42,39.41,7,0.0237063126524
0,EJ-200,50,39.42,39.44,39.43,40,0.135464643728
0,EJ-200,50,39.44,39.46,39.45,113,0.382687618532
0,EJ-200,50,39.46,39.48,39.47,319,1.08033053373
0,EJ-200,50,39.48,39.5,39.49,799,2.70590625847
0,EJ-200,50,39.5,39.52,39.51,991,3.35613654836
0,EJ-200,50,39.52,39.54,39.53,921,3.11907342184
0,EJ-200,50,39.54,39.56,39.55,823,2.7871850447
0,EJ-200,50,39.56,39.58,39.57,705,2.38756434571
0,EJ-200,50,39.58,39.6,39.59,570,1.93037117312
0,EJ-200,50,39.6,39.62,39.61,525,1.77797344893
0,EJ-200,50,39.62,39.64,39.63,496,1.67976158223
0,EJ-200,50,39.64,39.66,39.65,443,1.50027092929
0,EJ-200,50,39.66,39.68,39.67,395,1.33771335681
0,EJ-200,50,39.68,39.7,39.69,378,1.28014088323
0,EJ-200,50,39.7,39.72,39.71,372,1.25982118667
0,EJ-200,50,39.72,39.74,39.73,347,1.17515578434
0,EJ-200,50,39.74,39.76,39.75,289,0.978732050935
0,EJ-200,50,39.76,39.78,39.77,278,0.94147927391
0,EJ-200,50,39.78,39.8,39.79,300,1.01598482796
0,EJ-200,50,39.8,39.82,39.81,287,0.971958818748
0,EJ-200,50,39.82,39.84,39.83,263,0.890680032512
0,EJ-200,50,39.84,39.86,39.85,232,0.785694933622
0,EJ-200,50,39.86,39.88,39.87,227,0.768761853156
0,EJ-200,50,39.88,39.9,39.89,212,0.717962611758
0,EJ-200,50,39.9,39.92,39.91,216,0.731509076131
0,EJ-200,50,39.92,39.94,39.93,204,0.690869683013
0,EJ-200,50,39.94,39.96,39.95,182,0.616364128962
0,EJ-200,50,39.96,39.98,39.97,186,0.629910593335
0,EJ-200,50,39.98,40,39.99,200,0.67732321864
0,EJ-200,50,40,40.02,40.01,174,0.589271200217
0,EJ-200,50,40.02,40.04,40.03,162,0.548631807098
