selection,material_code,material,nominal_d_mm,n_event_ends,q95_alpha_axial_deg,q50_alpha_axial_deg,mean_d_axial_mm,predicted_penalty_at_q95_ns,empirical_q95_edge_excess_ns,corr_predicted_observed_penalty
all_source_type_2,0,EJ-200,50,20000,40.5681345998,39.6120663063,49.5163525578,0.00543164620112,0.00604448183159,0.998989771878
all_source_type_2,0,EJ-200,200,20000,39.9758808733,39.5319893173,199.444859938,0.0098124360427,0.0098612555731,0.999992421273
all_source_type_2,0,EJ-200,500,20000,39.8109517109,39.5102727859,499.469199848,0.0163173831737,0.0164447876173,0.999997696827
all_source_type_2,0,EJ-200,700,20000,39.956053361,39.5087783003,699.458805103,0.0330175273212,0.0333732011424,0.999993474258
all_source_type_2,0,EJ-200,900,20000,40.0636143755,39.5045273655,899.458037696,0.0522110417027,0.0525963419802,0.989442143283
all_source_type_2,0,EJ-200,1200,19995,41.4542029361,39.5347557863,1199.49192153,0.244257184614,0.256830198428,0.944269470494
all_source_type_2,0,EJ-200,1350,19992,41.2474422755,39.5098559241,1349.48138009,0.244709845798,0.348152388735,0.941430077171
all_source_type_2,1,EJ-204,50,20000,40.5906794299,39.6144751589,49.5187497036,0.00554771143583,0.00618079280487,0.998931522557
all_source_type_2,1,EJ-204,200,20000,39.9933788168,39.5368444778,199.436639964,0.0101633743388,0.0102308513748,0.999991697547
all_source_type_2,1,EJ-204,500,20000,39.9986729323,39.5169843442,499.46583122,0.0257193574969,0.0259108946141,0.999428359214
all_source_type_2,1,EJ-204,700,19999,40.4990447684,39.5249891567,699.479053668,0.0717272732655,0.0721357886226,0.999992743944
all_source_type_2,1,EJ-204,900,19977,41.5059139552,39.5261043103,899.483880198,0.188214374042,0.190082701245,0.869566369499
all_source_type_2,1,EJ-204,1200,19729,45.9563934712,39.6031015499,1199.48122266,0.902805670723,1.252468166,0.825023680551
all_source_type_2,1,EJ-204,1350,19558,44.2957442721,39.5658460301,1349.49078944,0.722141159656,0.931193433367,0.919264482313
all_source_type_2,2,EJ-230,50,20000,40.5995425069,39.6163678915,49.5187420334,0.005593272021,0.00611409577836,0.998971757473
all_source_type_2,2,EJ-230,200,20000,40.0323483451,39.5392297723,199.447306054,0.0109475397774,0.0109998059567,0.999989634014
all_source_type_2,2,EJ-230,500,20000,40.171742712,39.5233712722,499.471905913,0.0344667125765,0.0345957230025,0.999995584883
all_source_type_2,2,EJ-230,700,19996,41.1648612818,39.5396139072,699.485277018,0.120657953507,0.121058150992,0.96921723148
all_source_type_2,2,EJ-230,900,19886,42.8735364721,39.5487632985,899.46962703,0.326670995707,0.34061010594,0.762895319185
all_source_type_2,2,EJ-230,1200,18899,47.9023485036,39.6882472934,1199.50167674,1.23933985547,2.72928922309,0.80002840402
all_source_type_2,2,EJ-230,1350,18510,46.8804181104,39.6247982096,1349.48845574,1.19056224009,1.52618210336,0.946299752132
primary_like_proxy,0,EJ-200,50,14764,41.7555021271,39.6913028145,49.5894887855,0.0117302646635,0.0117687403629,0.382867720082
primary_like_proxy,0,EJ-200,200,14743,43.3539326862,39.5871419627,199.51144883,0.0837661580036,0.0840456819965,0.427731940888
primary_like_proxy,0,EJ-200,500,14491,45.7182754103,39.564647464,499.5312373,0.359808403486,0.364068371839,0.810382197892
primary_like_proxy,0,EJ-200,700,13957,50.9721002377,40.0395205985,699.539100023,1.07820014644,1.20442417792,0.61858170674
primary_like_proxy,0,EJ-200,900,13531,51.3390492772,39.6149031398,899.554487787,1.44659992207,1.92492402873,0.59684724759
primary_like_proxy,0,EJ-200,1200,12139,53.9486272605,40.5114095262,1199.55428254,2.55153134798,4.36628988561,0.668717001663
primary_like_proxy,0,EJ-200,1350,12410,54.0192740563,39.6047906384,1349.53008898,2.89105551331,2.93837145885,0.849323086808
primary_like_proxy,1,EJ-204,50,14734,41.7533121792,39.6899698947,49.5898482339,0.0117183963307,0.0118078248881,0.999614202751
primary_like_proxy,1,EJ-204,200,14625,43.9180773115,39.5992674194,199.512224389,0.0974068126181,0.0974689449722,0.999994559457
primary_like_proxy,1,EJ-204,500,14177,48.9061717618,39.6017952791,499.531147142,0.594401525987,0.597598383259,0.772911093076
primary_like_proxy,1,EJ-204,700,13015,53.8578771243,40.2263650852,699.541431418,1.47437694183,1.57025361866,0.701729820923
primary_like_proxy,1,EJ-204,900,11953,53.9229123839,39.7627029326,899.551320935,1.90844210882,2.31615607232,0.65722522957
primary_like_proxy,1,EJ-204,1200,9093,54.2791392959,40.9955797158,1199.55043088,2.6375149081,4.46956683987,0.754244017573
primary_like_proxy,1,EJ-204,1350,9111,54.468837865,39.920370264,1349.53173446,3.02370078529,3.66581975886,0.90586247385
primary_like_proxy,2,EJ-230,50,14738,41.8485233515,39.6994717485,49.5885684887,0.0122389981972,0.0122753638272,0.999796683118
primary_like_proxy,2,EJ-230,200,14637,45.0592927196,39.6104824068,199.512603098,0.126250702523,0.127358118661,0.826471604314
primary_like_proxy,2,EJ-230,500,13861,49.6039626192,39.6289720644,499.528743939,0.651424288836,0.657556548182,0.812117446105
primary_like_proxy,2,EJ-230,700,12303,53.9787093182,40.4130519779,699.540515183,1.49249166187,1.56288835834,0.72339106294
primary_like_proxy,2,EJ-230,900,10709,53.9801304738,39.8086046833,899.548502171,1.91949000019,2.27437729286,0.659552074681
primary_like_proxy,2,EJ-230,1200,7288,54.2619224417,41.0992455357,1199.5507534,2.63299329115,4.37143432266,0.774492188524
primary_like_proxy,2,EJ-230,1350,7345,54.5569909606,40.0945715307,1349.53130243,3.05013956501,3.64278399631,0.909886261944
