material_code,material,gun_x_mm,face_type,face,nominal_d_mm,mean_n_cherenkov,se_n_cherenkov,mean_n_primary_proxy,se_n_primary_proxy
0,EJ-200,-650,0,left,50,73.9134,0.134439047266,16.0785,0.136484052419
0,EJ-200,-650,1,right,1350,7.994,0.0302765266635,1.6705,0.0188665993188
0,EJ-200,-500,0,left,200,44.9133,0.0900007129074,9.3727,0.0831129968659
0,EJ-200,-500,1,right,1200,8.4492,0.0318465595683,1.5804,0.0184620602525
0,EJ-200,-200,0,left,500,23.1458,0.0603648790926,4.8893,0.0458998391122
0,EJ-200,-200,1,right,900,12.0404,0.0394227370843,2.4619,0.0256784107195
0,EJ-200,0,0,left,700,16.0521,0.0473305670498,3.1205,0.0315835040294
0,EJ-200,0,1,right,700,16.055,0.0464100515976,3.1135,0.0312717055332
0,EJ-200,200,0,left,900,12.0589,0.0405283522208,2.4754,0.0255288984577
0,EJ-200,200,1,right,500,23.1395,0.0584019267962,4.9001,0.0456720986277
0,EJ-200,500,0,left,1200,8.4615,0.0318928438737,1.6083,0.0188558390231
0,EJ-200,500,1,right,200,44.8235,0.0907134922091,9.3658,0.0819177031356
0,EJ-200,650,0,left,1350,7.9783,0.0301362527593,1.6833,0.0190340836563
0,EJ-200,650,1,right,50,74.1707,0.133833505864,16.177,0.137943430213
1,EJ-204,-650,0,left,50,70.262,0.132310038148,15.2072,0.129942892578
1,EJ-204,-650,1,right,1350,3.9179,0.0208738959218,0.8025,0.0113464641728
1,EJ-204,-500,0,left,200,38.5874,0.0849128797281,7.99,0.0707581138179
1,EJ-204,-500,1,right,1200,4.2988,0.0223862004413,0.8056,0.0113134284532
1,EJ-204,-200,0,left,500,16.9498,0.0494112552281,3.6444,0.0355176155464
1,EJ-204,-200,1,right,900,7.1416,0.0293755210358,1.4918,0.0172598686642
1,EJ-204,0,0,left,700,10.5874,0.0378028971099,2.062,0.0226032451358
1,EJ-204,0,1,right,700,10.5269,0.0363634413799,2.0447,0.0223159134028
1,EJ-204,200,0,left,900,7.0545,0.0297355241275,1.4655,0.0170343767717
1,EJ-204,200,1,right,500,16.8626,0.0486192195212,3.6024,0.0354981328487
1,EJ-204,500,0,left,1200,4.3267,0.0223389035913,0.79,0.0110843261513
1,EJ-204,500,1,right,200,38.478,0.0814292003612,7.9317,0.0711023843897
1,EJ-204,650,0,left,1350,3.9046,0.0205161393834,0.7974,0.011013058283
1,EJ-204,650,1,right,50,70.3363,0.129718321433,15.2795,0.129859710185
2,EJ-230,-650,0,left,50,68.3176,0.128056990763,15.0451,0.128859718616
2,EJ-230,-650,1,right,1350,2.6266,0.0167912310014,0.541,0.00856616821711
2,EJ-230,-500,0,left,200,35.5512,0.0801997572073,7.3194,0.0653711381465
2,EJ-230,-500,1,right,1200,2.965,0.0179858235559,0.5541,0.00882355396144
2,EJ-230,-200,0,left,500,14.2603,0.0432092709393,3.0534,0.0305520569982
2,EJ-230,-200,1,right,900,5.3381,0.0252931376717,1.1135,0.0139018380479
2,EJ-230,0,0,left,700,8.3874,0.0328143231224,1.6211,0.0185161487296
2,EJ-230,0,1,right,700,8.3394,0.0324974825585,1.6243,0.0184886217419
2,EJ-230,200,0,left,900,5.2933,0.02491404387,1.0938,0.0137535112574
2,EJ-230,200,1,right,500,14.22,0.0438120069067,3.0651,0.0309322142626
2,EJ-230,500,0,left,1200,2.971,0.0182397688833,0.5464,0.00884378455485
2,EJ-230,500,1,right,200,35.5442,0.0800753760065,7.3215,0.0651304688514
2,EJ-230,650,0,left,1350,2.6397,0.0166971934955,0.5489,0.00859000918659
2,EJ-230,650,1,right,50,68.2394,0.12657326275,14.961,0.128062984163
