material_code,material,nominal_d_mm,n_events_ends,first_cherenkov_fraction,random_cherenkov_fraction,enrichment,mean_first_minus_random_detection_ns
0,EJ-200,50,20000,0.7383,0.0319,23.144200627,-3.0733884785
0,EJ-200,200,20000,0.0867,0.0324,2.67592592593,-3.36174953003
0,EJ-200,500,20000,0.05925,0.03365,1.76077265973,-3.78030096273
0,EJ-200,700,20000,0.0503,0.0299,1.68227424749,-4.05915552369
0,EJ-200,900,20000,0.0461,0.03025,1.52396694215,-4.2062363018
0,EJ-200,1200,20000,0.0336,0.0303,1.10891089109,-4.49850834027
0,EJ-200,1350,20000,0.02985,0.0329,0.907294832827,-4.54158061085
1,EJ-204,50,20000,0.6316,0.03035,20.8105436573,-2.60085663869
1,EJ-204,200,20000,0.0754,0.0307,2.45602605863,-2.85255884552
1,EJ-204,500,20000,0.04935,0.0297,1.66161616162,-3.17148238121
1,EJ-204,700,20000,0.04335,0.0259,1.67374517375,-3.34167150577
1,EJ-204,900,20000,0.0354,0.02705,1.30868761553,-3.46951379743
1,EJ-204,1200,20000,0.0274,0.02565,1.06822612086,-3.71330368225
1,EJ-204,1350,20000,0.022,0.0268,0.820895522388,-3.73699542261
2,EJ-230,50,20000,0.5205,0.03175,16.3937007874,-2.14120721198
2,EJ-230,200,20000,0.071,0.03385,2.09748892171,-2.39122286008
2,EJ-230,500,20000,0.04515,0.02885,1.56499133449,-2.69046343975
2,EJ-230,700,20000,0.0376,0.02905,1.29432013769,-2.80534349114
2,EJ-230,900,20000,0.0311,0.02875,1.08173913043,-2.94857690983
2,EJ-230,1200,20000,0.01985,0.02615,0.759082217973,-3.15954311052
2,EJ-230,1350,20000,0.01795,0.02845,0.630931458699,-3.1832570518
