selection,material_code,material,nominal_d_mm,count_quantile,n_event_ends,mean_n_cherenkov,mean_v_axial_mm_per_ns,se_v_axial_mm_per_ns,median_v_axial_mm_per_ns,mean_alpha_axial_deg,distance_to_beta1_edge_mm_per_ns,distance_to_finite_beta_edge_mm_per_ns
all_source_type_2,0,EJ-200,50,0,3999,60.0507626907,146.321745453,0.0763968721064,146.013380543,39.3576480872,-0.581157770972,-0.128079680497
all_source_type_2,0,EJ-200,50,1,4000,67.4725,146.857861852,0.0979851336705,146.038102425,39.0132514322,-0.0450413717143,0.408036718761
all_source_type_2,0,EJ-200,50,2,4000,72.23,147.510710573,0.118304533802,146.060356287,38.6297783194,0.60780734903,1.0608854395
all_source_type_2,0,EJ-200,50,3,4000,77.5955,148.845390192,0.156886494659,146.134165121,37.6996906827,1.94248696891,2.39556505939
all_source_type_2,0,EJ-200,50,4,4001,92.8532866783,158.363471513,0.27833760132,146.341798543,30.9467054355,11.4605682899,11.9136463803
all_source_type_2,0,EJ-200,200,0,3999,34.6084021005,146.924545654,0.0794014073622,146.290909878,39.1155012627,0.0216424309259,0.474720521401
all_source_type_2,0,EJ-200,200,1,4000,40.245,147.138503958,0.0865795843652,146.298501002,38.9918393086,0.235600734209,0.688678824684
all_source_type_2,0,EJ-200,200,2,4000,44.003,147.828033456,0.113326512543,146.323355136,38.5282728042,0.925130232649,1.37820832312
all_source_type_2,0,EJ-200,200,3,4000,47.88175,149.378207616,0.156714153869,146.347364477,37.4746856533,2.47530439231,2.92838248278
all_source_type_2,0,EJ-200,200,4,4001,57.5981004749,157.286115347,0.263365067234,146.430131235,31.8394830905,10.3832121232,10.8362902136
all_source_type_2,0,EJ-200,500,0,3999,16.0967741935,146.880377114,0.0752782415107,146.351037897,39.1510387525,-0.0225261098017,0.430551980673
all_source_type_2,0,EJ-200,500,1,4000,20.0125,147.37892005,0.0940848637413,146.367390441,38.8388115769,0.476016826485,0.92909491696
all_source_type_2,0,EJ-200,500,2,4000,22.60375,147.940930515,0.113814598692,146.376849844,38.4684909792,1.03802729104,1.49110538151
all_source_type_2,0,EJ-200,500,3,4000,25.3745,149.196174596,0.1478905393,146.394387142,37.6335343961,2.29327137231,2.74634946279
all_source_type_2,0,EJ-200,500,4,4001,31.6218445389,155.980184828,0.253309370645,146.435673033,32.7713326868,9.07728160404,9.53035969452
all_source_type_2,0,EJ-200,700,0,3999,10.3500875219,146.662135564,0.0769218932823,146.318034641,39.2490410109,-0.2407676594,0.212310431075
all_source_type_2,0,EJ-200,700,1,4000,13.46675,147.459877054,0.100201688638,146.365564057,38.7657510585,0.556973830448,1.01005192092
all_source_type_2,0,EJ-200,700,2,4000,15.63375,148.156848481,0.124650794478,146.380069588,38.288369683,1.25394525702,1.70702334749
all_source_type_2,0,EJ-200,700,3,4000,17.93475,148.756902846,0.138828199362,146.399168565,37.9024700297,1.85399962239,2.30707771287
all_source_type_2,0,EJ-200,700,4,4001,22.87928018,154.962104446,0.242801685666,146.438002811,33.5244026809,8.05920122246,8.51227931293
all_source_type_2,0,EJ-200,900,0,3999,7.1967991998,146.254913937,0.0745353390004,146.31871746,39.4653290371,-0.647989286653,-0.194911196178
all_source_type_2,0,EJ-200,900,1,4000,9.81675,147.26019083,0.0940858860831,146.369530339,38.8986186405,0.357287606803,0.810365697278
all_source_type_2,0,EJ-200,900,2,4000,11.626,147.929843739,0.115919094019,146.390810921,38.4664201046,1.02694051529,1.48001860577
all_source_type_2,0,EJ-200,900,3,4000,13.7145,149.183986259,0.150350021669,146.402973888,37.6229604043,2.2810830358,2.73416112628
all_source_type_2,0,EJ-200,900,4,4001,17.8915271182,154.695742764,0.240790197327,146.438716801,33.6994577622,7.79283954028,8.24591763076
all_source_type_2,0,EJ-200,1200,0,3998,4.48674337169,143.878682704,0.134817144002,146.116341348,40.2709556615,-3.0242205192,-2.57114242872
all_source_type_2,0,EJ-200,1200,1,3999,6.60815203801,146.494572658,0.0970890386826,146.285982919,39.260354694,-0.408330565078,0.0447475253969
all_source_type_2,0,EJ-200,1200,2,3999,8.2368092023,147.311423598,0.107361137013,146.334112054,38.8101208515,0.408520374674,0.861598465149
all_source_type_2,0,EJ-200,1200,3,3999,9.81520380095,148.227999126,0.134894446915,146.356889212,38.1984815556,1.32509590243,1.7781739929
all_source_type_2,0,EJ-200,1200,4,4000,13.13825,152.579159476,0.216800666304,146.40955869,35.1524183632,5.67625625277,6.12933434325
all_source_type_2,0,EJ-200,1350,0,3998,4.12931465733,144.495603707,0.107117678836,146.191580782,39.9039930889,-2.40729951681,-1.95422142633
all_source_type_2,0,EJ-200,1350,1,3998,6.33791895948,146.379547491,0.0901270427736,146.349957936,39.2533802178,-0.523355732829,-0.0702776423543
all_source_type_2,0,EJ-200,1350,2,3999,7.67816954239,147.23313494,0.108419647403,146.385540074,38.7780278603,0.330231716478,0.783309806953
all_source_type_2,0,EJ-200,1350,3,3998,9.37043521761,148.177512924,0.130105296157,146.407458777,38.2212978526,1.27460970005,1.72768779052
all_source_type_2,0,EJ-200,1350,4,3999,12.4298574644,152.308387299,0.209158578348,146.442405527,35.3751615885,5.40548407526,5.85856216574
all_source_type_2,1,EJ-204,50,0,3999,56.6171542886,146.479228906,0.0886257124166,146.018760651,39.2369920276,-0.423674317219,0.0294037732557
all_source_type_2,1,EJ-204,50,1,4000,63.8295,146.909185089,0.10061598183,146.056661441,38.9922130659,0.00628186584552,0.45935995632
all_source_type_2,1,EJ-204,50,2,4000,68.672,147.54729002,0.119915248027,146.073421981,38.5890606822,0.644386796726,1.0974648872
all_source_type_2,1,EJ-204,50,3,4000,73.731,148.674622068,0.15341412461,146.100680473,37.8061462069,1.77171884446,2.22479693493
all_source_type_2,1,EJ-204,50,4,4001,88.6380904774,158.071792412,0.273792612676,146.339257777,31.2191957787,11.1688891884,11.6219672789
all_source_type_2,1,EJ-204,200,0,3999,29.1577894474,147.002198005,0.0836665415142,146.274679285,39.0661464953,0.0992947817239,0.552372872199
all_source_type_2,1,EJ-204,200,1,4000,34.271,147.418548847,0.102487215767,146.293301501,38.7748069105,0.515645623247,0.968723713722
all_source_type_2,1,EJ-204,200,2,4000,37.617,147.840355106,0.115848219563,146.318380407,38.4938244754,0.937451882598,1.39052997307
