abs_x_mm,nominal_d_mm,material_code,material,gun_x_mm,face_type,face,first_cherenkov_fraction,ratio_single_end_to_t0_iqr
650,50,0,EJ-200,-650,0,left,0.741,0.129918055297
650,50,0,EJ-200,650,1,right,0.7356,0.138895216703
650,50,1,EJ-204,-650,0,left,0.629,0.188448666652
650,50,1,EJ-204,650,1,right,0.6342,0.184146430136
650,50,2,EJ-230,-650,0,left,0.5177,0.231266152151
650,50,2,EJ-230,650,1,right,0.5233,0.224927291723
500,200,0,EJ-200,-500,0,left,0.0844,0.751498029493
500,200,0,EJ-200,500,1,right,0.089,0.739530859402
500,200,1,EJ-204,-500,0,left,0.0744,0.672746847045
500,200,1,EJ-204,500,1,right,0.0764,0.673688766654
500,200,2,EJ-230,-500,0,left,0.0718,0.632796373798
500,200,2,EJ-230,500,1,right,0.0702,0.608966810677
