material_code,material,variable,selection_code,selection,bin_low,bin_high,bin_center,count,density
0,EJ-200,path_length_mm,0,first,2.29659450327,41.3910966821,21.8438455927,13,2.37519696331e-06
0,EJ-200,path_length_mm,0,first,41.3910966821,80.4855988608,60.9383477714,19987,0.00365177397736
0,EJ-200,path_length_mm,0,first,80.4855988608,119.58010104,100.03284995,0,0
0,EJ-200,path_length_mm,0,first,119.58010104,158.674603218,139.127352129,3,5.48122376148e-07
0,EJ-200,path_length_mm,0,first,158.674603218,197.769105397,178.221854308,64,1.16932773578e-05
0,EJ-200,path_length_mm,0,first,197.769105397,236.863607576,217.316356487,19760,0.00361029938423
0,EJ-200,path_length_mm,0,first,236.863607576,275.958109755,256.410858665,173,3.16083903579e-05
0,EJ-200,path_length_mm,0,first,275.958109755,315.052611934,295.505360844,1,1.82707458716e-07
0,EJ-200,path_length_mm,0,first,315.052611934,354.147114112,334.599863023,1,1.82707458716e-07
0,EJ-200,path_length_mm,0,first,354.147114112,393.241616291,373.694365202,0,0
0,EJ-200,path_length_mm,0,first,393.241616291,432.33611847,412.78886738,0,0
0,EJ-200,path_length_mm,0,first,432.33611847,471.430620649,451.883369559,2,3.65414917432e-07
0,EJ-200,path_length_mm,0,first,471.430620649,510.525122827,490.977871738,10954,0.00200137750278
0,EJ-200,path_length_mm,0,first,510.525122827,549.619625006,530.072373917,8864,0.00161951891406
0,EJ-200,path_length_mm,0,first,549.619625006,588.714127185,569.166876096,181,3.30700500276e-05
0,EJ-200,path_length_mm,0,first,588.714127185,627.808629364,608.261378274,0,0
0,EJ-200,path_length_mm,0,first,627.808629364,666.903131543,647.355880453,2,3.65414917432e-07
0,EJ-200,path_length_mm,0,first,666.903131543,705.997633721,686.450382632,6784,0.00123948739993
0,EJ-200,path_length_mm,0,first,705.997633721,745.0921359,725.544884811,12461,0.00227671764306
0,EJ-200,path_length_mm,0,first,745.0921359,784.186638079,764.639386989,745,0.000136117056744
0,EJ-200,path_length_mm,0,first,784.186638079,823.281140258,803.733889168,8,1.46165966973e-06
0,EJ-200,path_length_mm,0,first,823.281140258,862.375642436,842.828391347,0,0
0,EJ-200,path_length_mm,0,first,862.375642436,901.470144615,881.922893526,2232,0.000407803047854
0,EJ-200,path_length_mm,0,first,901.470144615,940.564646794,921.017395705,16038,0.00293026222289
0,EJ-200,path_length_mm,0,first,940.564646794,979.659148973,960.111897883,1673,0.000305669578432
0,EJ-200,path_length_mm,0,first,979.659148973,1018.75365115,999.206400062,55,1.00489102294e-05
0,EJ-200,path_length_mm,0,first,1018.75365115,1057.84815333,1038.30090224,0,0
0,EJ-200,path_length_mm,0,first,1057.84815333,1096.94265551,1077.39540442,0,0
0,EJ-200,path_length_mm,0,first,1096.94265551,1136.03715769,1116.4899066,0,0
0,EJ-200,path_length_mm,0,first,1136.03715769,1175.13165987,1155.58440878,1,1.82707458716e-07
0,EJ-200,path_length_mm,0,first,1175.13165987,1214.22616205,1194.67891096,9865,0.00180240908023
0,EJ-200,path_length_mm,0,first,1214.22616205,1253.32066422,1233.77341313,8865,0.00161970162152
0,EJ-200,path_length_mm,0,first,1253.32066422,1292.4151664,1272.86791531,1187,0.000216873753496
0,EJ-200,path_length_mm,0,first,1292.4151664,1331.50966858,1311.96241749,83,1.51647190734e-05
0,EJ-200,path_length_mm,0,first,1331.50966858,1370.60417076,1351.05691967,12010,0.00219431657918
0,EJ-200,path_length_mm,0,first,1370.60417076,1409.69867294,1390.15142185,6806,0.00124350696402
0,EJ-200,path_length_mm,0,first,1409.69867294,1448.79317512,1429.24592403,1093,0.000199699252377
0,EJ-200,path_length_mm,0,first,1448.79317512,1487.8876773,1468.34042621,87,1.58955489083e-05
0,EJ-200,path_length_mm,0,first,1487.8876773,1526.98217948,1507.43492839,2,3.65414917432e-07
0,EJ-200,path_length_mm,0,first,1526.98217948,1566.07668165,1546.52943057,0,0
0,EJ-200,path_length_mm,0,first,1566.07668165,1605.17118383,1585.62393274,0,0
0,EJ-200,path_length_mm,0,first,1605.17118383,1644.26568601,1624.71843492,0,0
0,EJ-200,path_length_mm,0,first,1644.26568601,1683.36018819,1663.8129371,0,0
0,EJ-200,path_length_mm,0,first,1683.36018819,1722.45469037,1702.90743928,0,0
0,EJ-200,path_length_mm,0,first,1722.45469037,1761.54919255,1742.00194146,0,0
0,EJ-200,path_length_mm,0,first,1761.54919255,1800.64369473,1781.09644364,0,0
0,EJ-200,path_length_mm,0,first,1800.64369473,1839.73819691,1820.19094582,0,0
0,EJ-200,path_length_mm,0,first,1839.73819691,1878.83269908,1859.285448,0,0
0,EJ-200,path_length_mm,0,first,1878.83269908,1917.92720126,1898.37995017,0,0
0,EJ-200,path_length_mm,0,first,1917.92720126,1957.02170344,1937.47445235,0,0
0,EJ-200,path_length_mm,0,first,1957.02170344,1996.11620562,1976.56895453,0,0
0,EJ-200,path_length_mm,0,first,1996.11620562,2035.2107078,2015.66345671,0,0
0,EJ-200,path_length_mm,0,first,2035.2107078,2074.30520998,2054.75795889,0,0
0,EJ-200,path_length_mm,0,first,2074.30520998,2113.39971216,2093.85246107,0,0
0,EJ-200,path_length_mm,0,first,2113.39971216,2152.49421434,2132.94696325,0,0
0,EJ-200,path_length_mm,0,first,2152.49421434,2191.58871651,2172.04146543,0,0
0,EJ-200,path_length_mm,0,first,2191.58871651,2230.68321869,2211.1359676,0,0
0,EJ-200,path_length_mm,0,first,2230.68321869,2269.77772087,2250.23046978,0,0
0,EJ-200,path_length_mm,0,first,2269.77772087,2308.87222305,2289.32497196,0,0
0,EJ-200,path_length_mm,0,first,2308.87222305,2347.96672523,2328.41947414,0,0
0,EJ-200,path_length_mm,0,first,2347.96672523,2387.06122741,2367.51397632,0,0
0,EJ-200,path_length_mm,0,first,2387.06122741,2426.15572959,2406.6084785,0,0
0,EJ-200,path_length_mm,0,first,2426.15572959,2465.25023177,2445.70298068,0,0
0,EJ-200,path_length_mm,0,first,2465.25023177,2504.34473395,2484.79748286,0,0
0,EJ-200,path_length_mm,0,first,2504.34473395,2543.43923612,2523.89198503,0,0
0,EJ-200,path_length_mm,0,first,2543.43923612,2582.5337383,2562.98648721,0,0
0,EJ-200,path_length_mm,0,first,2582.5337383,2621.62824048,2602.08098939,0,0
0,EJ-200,path_length_mm,0,first,2621.62824048,2660.72274266,2641.17549157,0,0
0,EJ-200,path_length_mm,0,first,2660.72274266,2699.81724484,2680.26999375,0,0
0,EJ-200,path_length_mm,0,first,2699.81724484,2738.91174702,2719.36449593,0,0
0,EJ-200,path_length_mm,0,first,2738.91174702,2778.0062492,2758.45899811,0,0
