time_basis,material,material_code,model,exponent,exponent_low_delta_chi2_1,exponent_high_delta_chi2_1,t0_ns,t0_error_ns,normalization_ns,normalization_error_ns,chi2,ndf,chi2_ndf,geant4_prefactor_ns,effective_fraction,effective_fraction_error
raw_creation,EJ-200,0,N^-1,1,,,0.224674543852,0.000123530230155,19.8160090776,0.0758264703429,1511.77641763,12,125.981368136,1.44158369176,,
raw_creation,EJ-200,0,N^-1/2,0.5,,,0.197152859586,0.000212598524461,1.59934099937,0.00605388434323,13.731592614,12,1.1442993845,1.44158369176,0.812451752898,0.00615064448225
raw_creation,EJ-200,0,free,0.5285,0.517,0.54,0.200158085611,0.000202113858083,1.82337802654,0.00690163085954,7.93342872141,11,0.721220792856,1.44158369176,,
raw_creation,EJ-204,1,N^-1,1,,,0.221964367798,9.64406089152e-05,14.1009932555,0.0457096951974,3807.88833001,12,317.324027501,1.19374470791,,
raw_creation,EJ-204,1,N^-1/2,0.5,,,0.196417201141,0.000160700505849,1.35844553102,0.00431823896001,11.4907127,12,0.957559391666,1.19374470791,0.772215402574,0.00490945063422
raw_creation,EJ-204,1,free,0.5105,0.503,0.5175,0.197489577952,0.000157667430024,1.4210851023,0.00451731705691,9.68817622401,11,0.880743293091,1.19374470791,,
raw_creation,EJ-230,2,N^-1,1,,,0.218754346132,8.05240211212e-05,9.66094353273,0.0292056258911,5606.99944756,12,467.249953963,0.939985602987,,
raw_creation,EJ-230,2,N^-1/2,0.5,,,0.195841560838,0.000131629292972,1.09560366388,0.00323089727196,39.1997957121,12,3.26664964268,0.939985602987,0.736097685072,0.00434145317507
raw_creation,EJ-230,2,free,0.5115,0.5055,0.5175,0.196897449277,0.000128919775736,1.14744883459,0.00338373522938,35.6888985061,11,3.24444531873,0.939985602987,,
muon_transit_corrected,EJ-200,0,N^-1,1,,,0.209793536437,0.000116466460738,19.4718287488,0.0738196256876,1395.90880573,12,116.325733811,1.44158369176,,
muon_transit_corrected,EJ-200,0,N^-1/2,0.5,,,0.183152623962,0.000201901769222,1.56157301343,0.00586272741172,28.0124000493,12,2.33436667077,1.44158369176,0.852226689623,0.0063991535859
muon_transit_corrected,EJ-200,0,free,0.5525,0.541,0.564,0.188281009656,0.000184219534951,1.99338553812,0.0074828464231,7.79287933775,11,0.708443576159,1.44158369176,,
muon_transit_corrected,EJ-204,1,N^-1,1,,,0.207267137606,8.88246559481e-05,13.8492061613,0.0445104068608,3546.64987325,12,295.554156104,1.19374470791,,
muon_transit_corrected,EJ-204,1,N^-1/2,0.5,,,0.18283583972,0.000149793611506,1.31995914429,0.00416722077992,28.7386513474,12,2.39488761229,1.19374470791,0.817903262502,0.00516437722516
muon_transit_corrected,EJ-204,1,free,0.5345,0.527,0.542,0.186059353214,0.000140778969513,1.5338008852,0.0048418314016,7.78675236705,11,0.707886578823,1.19374470791,,
muon_transit_corrected,EJ-230,2,N^-1,1,,,0.204345007661,7.1728312725e-05,9.45940371965,0.0283535365447,5086.70459653,12,423.892049711,0.939985602987,,
muon_transit_corrected,EJ-230,2,N^-1/2,0.5,,,0.182826698558,0.000119427408302,1.05530436268,0.00309431044768,78.437707182,12,6.5364755985,0.939985602987,0.793390391807,0.00465267891477
muon_transit_corrected,EJ-230,2,free,0.5435,0.5375,0.5495,0.186367004076,0.000110449682558,1.26135752713,0.00369769618333,28.5437121904,11,2.5948829264,0.939985602987,,
