material_code,material,gun_x_mm,face_type,face,nominal_d_mm,mean_n_scint,se_n_scint,mean_n_scint_low,low_boundary_fraction,mean_min_creation_ns,se_min_creation_ns,mean_detection_selected_creation_ns,fitted_effective_fraction,fitted_n_eff,fitted_n_eff_over_low_boundary
0,EJ-200,-650,0,left,50,2271.4101,5.61157443224,615.7174,0.271072757843,0.230768656723,0.000184673637285,0.261048082986,0.812451752898,1845.41111729,2.99717226977
0,EJ-200,-650,1,right,1350,235.6969,0.604885734428,4.558,0.0193383960502,0.302435696374,0.00056803103192,0.452622940368,0.812451752898,191.492359558,42.0123649753
0,EJ-200,-500,0,left,200,1335.0698,3.34134969355,85.3752,0.0639481171696,0.240688981095,0.000235567075446,0.298237487119,0.812451752898,1084.67979925,12.7048580765
0,EJ-200,-500,1,right,1200,269.1218,0.698055688789,5.3159,0.0197527662196,0.2951961932,0.000533070842477,0.434053953433,0.812451752898,218.648478153,41.13103673
0,EJ-200,-200,0,left,500,720.0383,1.84164075416,20.7179,0.0287733305298,0.256655553149,0.000318217906073,0.344174965783,0.812451752898,584.996378989,28.2362777593
0,EJ-200,-200,1,right,900,384.9227,1.00270310353,8.3637,0.0217282586867,0.27885382181,0.000432998967942,0.394530076234,0.812451752898,312.731122345,37.3914801278
0,EJ-200,0,0,left,700,512.4694,1.2983661124,12.357,0.0241126592144,0.267367877579,0.000376160691107,0.370794544516,0.812451752898,416.356662337,33.6939922584
0,EJ-200,0,1,right,700,512.2329,1.30309485893,12.3726,0.0241542470232,0.267333895237,0.00037332734481,0.370789437829,0.812451752898,416.164517497,33.6359793008
0,EJ-200,200,0,left,900,384.3659,1.0022763379,8.3483,0.0217196686803,0.278508027042,0.000437236509343,0.394418080629,0.812451752898,312.278749209,37.4062682473
0,EJ-200,200,1,right,500,718.7762,1.84767327767,20.6352,0.0287087969802,0.256352971193,0.000316444196018,0.342971814967,0.812451752898,583.970983631,28.2997491486
0,EJ-200,500,0,left,1200,269.135,0.707752307543,5.3417,0.0198476600962,0.294632172749,0.000521349896947,0.435696148815,0.812451752898,218.659202516,40.9343846559
0,EJ-200,500,1,right,200,1333.8149,3.39477657212,85.3701,0.0640044581898,0.241247155633,0.000233110032724,0.297405101335,0.812451752898,1083.66025355,12.6936744076
0,EJ-200,650,0,left,1350,236.9762,0.626202057053,4.5468,0.0191867368959,0.301128289755,0.000562159064814,0.452930624256,0.812451752898,192.531729085,42.3444464426
0,EJ-200,650,1,right,50,2283.4156,5.81375651229,619.3713,0.271247730812,0.230744739977,0.000183750861636,0.261061841385,0.812451752898,1855.16500681,2.99523889275
1,EJ-204,-650,0,left,50,2335.4563,5.92246834286,648.7242,0.277771928338,0.22460838171,0.000157160535396,0.251589335654,0.772215402574,1803.4753269,2.78003399118
1,EJ-204,-650,1,right,1350,136.8124,0.365995677444,2.8963,0.0211698647199,0.313983520273,0.00064165501332,0.462712440246,0.772215402574,105.648642543,36.4771061503
1,EJ-204,-500,0,left,200,1265.0972,3.24219870157,85.5404,0.0676156741158,0.234534926119,0.000204095081609,0.2863714086,0.772215402574,976.927543593,11.4206567142
1,EJ-204,-500,1,right,1200,164.8929,0.443054728796,3.5954,0.0218044561045,0.302028603046,0.000571371630746,0.437538155299,0.772215402574,127.332837155,35.4154856637
1,EJ-204,-200,0,left,500,592.2156,1.4775969616,18.4965,0.0312327132213,0.251842093257,0.000293103192903,0.33320406517,0.772215402574,457.318007965,24.7245699438
1,EJ-204,-200,1,right,900,266.2631,0.683799273167,6.4365,0.0241734585078,0.279978341884,0.000445991320711,0.389750956845,0.772215402574,205.612466957,31.9447629856
1,EJ-204,0,0,left,700,387.6091,1.00494561111,10.2762,0.0265117614628,0.265083908012,0.000365585240114,0.362299836962,0.772215402574,299.317717198,29.1272763471
1,EJ-204,0,1,right,700,387.5608,1.00210740555,10.3231,0.0266360787778,0.265201691702,0.000363780520958,0.361005655563,0.772215402574,299.280419194,28.991331983
1,EJ-204,200,0,left,900,266.4893,0.69881159286,6.4274,0.0241187920115,0.279586492762,0.000448443178479,0.389937720224,0.772215402574,205.787142081,32.017167452
1,EJ-204,200,1,right,500,591.8379,1.51618176452,18.5339,0.0313158383402,0.252148671944,0.000294664676169,0.330886631103,0.772215402574,457.026342207,24.658940763
1,EJ-204,500,0,left,1200,165.2983,0.451251032642,3.6363,0.0219984113569,0.302175184549,0.00057642862184,0.437868247213,0.772215402574,127.645893279,35.1032349584
