material,abs_x_mm,linear_residual_ps,linear_bootstrap_se_ps,pol2_residual_ps,pol2_bootstrap_se_ps,envelope_low_ps,envelope_high_ps,envelope_minus_ps,envelope_plus_ps,envelope_contains_zero
EJ-200,0,0,0,0,0,0,0,0,0,True
EJ-200,200,0.381786985676,0.928866132575,-1.06169495005,0.937889936043,-1.06169495005,0.381786985676,1.44348193573,0,True
EJ-200,500,6.36846028608,0.899582572822,-0.564124104371,0.504430145025,-0.564124104371,6.36846028608,6.93258439045,0,True
EJ-200,650,0.474336490429,0.591753534675,-0.673574425274,0.591858329867,-0.673574425274,0.474336490429,1.1479109157,0,True
EJ-204,0,0,0,0,0,0,0,0,0,True
EJ-204,200,1.05909019575,0.893022506298,-0.512091808933,0.895569524811,-0.512091808933,1.05909019575,1.57118200468,0,True
EJ-204,500,7.85848858277,0.920300033963,-0.270646529997,0.492151184384,-0.270646529997,7.85848858277,8.12913511277,0,True
EJ-204,650,0.946229564605,0.57237613894,-0.328072221868,0.567724593273,-0.328072221868,0.946229564605,1.27430178647,0,True
EJ-230,0,0,0,0,0,0,0,0,0,True
EJ-230,200,1.73274965476,0.851578433191,0.440975904505,0.859181682347,0.440975904505,1.73274965476,1.29177375025,0,False
EJ-230,500,7.33846365338,0.859273607144,0.245800361883,0.479520186482,0.245800361883,7.33846365338,7.0926632915,0,False
EJ-230,650,1.36442896605,0.546704020156,0.278254437163,0.546666955098,0.278254437163,1.36442896605,1.08617452888,0,False
