material,x_mm,n,y,s,c,btotal,bs,bc,fL,muCL,muSL,fR,muCR,muSR,sem
EJ-200,-650,2589.0144,4.09550019636,2507.107,81.9074,-3.55814927585e-05,-3.76554925164e-05,0.000107402815639,0.741,0.521586169051,0.509373006929,0.0281,7.44185743244,7.67924811073,0.000808155411236
EJ-200,-500,1657.5541,4.12152834977,1604.1916,53.3625,-7.19930655311e-05,-7.32363138924e-05,1.72983432668e-05,0.0844,1.31134656215,1.39475184517,0.0339,6.64037459099,6.86288744605,0.000813796595325
EJ-200,-200,1140.1472,4.12656252106,1104.961,35.1862,-0.00010686200206,-0.000106330061434,-0.000142877825961,0.0587,2.9023580226,3.04424154751,0.0465,5.04251580849,5.22573159142,0.000773264443082
EJ-200,0,1056.8094,4.1275694359,1024.7023,32.1071,-0.000115376462904,-0.000115970950889,-7.42082970211e-05,0.0491,3.96562179123,4.13594670074,0.0515,3.96872124839,4.13617920909,0.000769159303367
EJ-200,200,1138.3405,4.12586927032,1103.1421,35.1984,-0.00010750548264,-0.000107440994698,-0.000112121904974,0.0457,5.03911102677,5.22548265791,0.0598,2.90045008189,3.04331647668,0.000788383429486
EJ-200,500,1656.2349,4.12108266566,1602.9499,53.285,-6.90708038494e-05,-6.97516794698e-05,-2.13634544741e-05,0.0333,6.6300824119,6.8635993428,0.089,1.30987633636,1.39381241316,0.000818618858398
EJ-200,650,2602.5408,4.0957937245,2520.3918,82.149,-3.71047961462e-05,-3.93062390405e-05,0.000116706848999,0.0316,7.43085399693,7.68174121278,0.7356,0.520949879876,0.508939260983,0.000814223804388
EJ-204,-650,2546.4486,4.1026960063,2472.2687,74.1799,-3.68230154963e-05,-4.02758938372e-05,0.000210326077539,0.629,0.520240345184,0.508293009185,0.022,7.45167161754,7.69493594426,0.000847810969082
EJ-204,-500,1472.8763,4.11833820983,1429.9901,42.8862,-6.93039052836e-05,-6.97916364091e-05,-3.34382823638e-05,0.0744,1.29173151253,1.37927640473,0.0262,6.64684948164,6.86975343859,0.000822122030518
EJ-204,-200,882.5701,4.11765342875,858.4787,24.0914,-0.000121264664784,-0.000121862108285,-7.63891382388e-05,0.0489,2.90029399076,3.02781759676,0.0343,5.04340208177,5.2197747475,0.00074476059378
EJ-204,0,796.2842,4.11648904936,775.1699,21.1143,-0.000124381021265,-0.000124531401242,-0.000113237185827,0.0437,3.97338988794,4.12367271655,0.043,3.9746170254,4.12221965485,0.000724428030022
EJ-204,200,882.2443,4.11593700299,858.3272,23.9171,-0.000121567233483,-0.000123113918373,-6.1827648003e-06,0.0365,5.03888383192,5.21814292886,0.0498,2.89640675932,3.02676592039,0.000740371247673
EJ-204,500,1474.5422,4.11851219353,1431.7375,42.8047,-7.15297845721e-05,-7.27151660472e-05,2.18648235744e-05,0.0286,6.64904555839,6.87061657984,0.0764,1.29445616801,1.37922075271,0.000821255341704
EJ-204,650,2535.6018,4.10166802425,2461.3609,74.2409,-3.65508291842e-05,-3.78668833394e-05,6.02358430502e-05,0.022,7.43735656088,7.69311136739,0.6342,0.520249637529,0.508225715499,0.000850267241677
EJ-230,-650,2249.6033,4.0994925204,2178.6591,70.9442,-3.95756200539e-05,-4.29828302811e-05,0.000187999453265,0.5177,0.5185433285,0.507282543954,0.0175,7.44231425022,7.69021098148,0.000850496399927
EJ-230,-500,1237.9344,4.10557258409,1199.4182,38.5162,-7.80040545697e-05,-8.04033769171e-05,8.26363020669e-05,0.0718,1.28783899684,1.36505050524,0.0206,6.63996274371,6.85609068483,0.000792263702538
EJ-230,-200,684.2922,4.10064666528,664.6938,19.5984,-0.000134134996981,-0.000135466700846,-3.56396322865e-05,0.0428,2.8917504857,3.01003877377,0.0315,5.03333435284,5.2016182379,0.000692158596945
EJ-230,0,608.5049,4.09982094435,591.7781,16.7268,-0.000155338046554,-0.000153418146065,-0.000287101601609,0.0376,3.95972177343,4.10441432135,0.0376,3.9684195722,4.10583482049,0.000677749682847
EJ-230,200,684.2388,4.10235272676,664.7255,19.5133,-0.000140558980612,-0.000137336232832,-0.000370461496968,0.0307,5.03240528927,5.20390767312,0.0475,2.8958627712,3.01155844825,0.000701085355784
EJ-230,500,1240.6965,4.10784701791,1202.1813,38.5152,-7.46153268976e-05,-7.63162435316e-05,3.80780441642e-05,0.0191,6.64540718473,6.86063141731,0.0702,1.28787307797,1.36455658345,0.000805165925381
EJ-230,650,2252.0272,4.10053712959,2181.1481,70.8791,-3.88510918745e-05,-3.98674779265e-05,3.00732933611e-05,0.0184,7.46126966529,7.69214899902,0.5233,0.518380726992,0.50745711237,0.000855003479931
