material,variant,a2_ps_m2,conditional_a2_se_ps_m2,chi2_ndf,localized_excess_500_ps,localized_excess_bootstrap_se_ps,a2_bootstrap_se_ps_m2
EJ-200,uniform_pol1,123.103204996,1.79758467536,24.8400376554,16.2790614938,,
EJ-200,uniform_pol2,231.298425019,1.79758467536,5.19809848574,20.3625669934,,
EJ-200,quantile_pol1,90.827131361,1.79758467536,22.8692043999,13.4078784647,,
EJ-200,quantile_pol2,238.293381719,1.79758467536,5.09704204788,20.7970748467,,
EJ-200,event_ols_total,175.144804774,1.79758467536,11.6907765673,17.7727601482,0.755504829729,3.26317539206
EJ-200,event_ols_two_counts,170.605885035,1.79758467536,15.7312693182,18.2030534825,0.833308670967,4.26486434383
EJ-204,uniform_pol1,227.053208348,1.79482351154,12.4812711279,21.3987998128,,
EJ-204,uniform_pol2,332.17157787,1.79482351154,1.75296176448,26.031489803,,
EJ-204,quantile_pol1,174.208239196,1.79482351154,16.255656923,18.5506300514,,
EJ-204,quantile_pol2,336.226047001,1.79482351154,1.66596343788,26.2352523823,,
EJ-204,event_ols_total,262.561137765,1.79482351154,7.06028203537,22.9593809399,0.810329169261,3.9846268503
EJ-204,event_ols_two_counts,255.813736389,1.79482351154,9.89299437639,23.1613623321,0.904378115561,5.08996408701
EJ-230,uniform_pol1,197.22640991,1.74642036512,10.3802120311,18.5896525466,,
EJ-230,uniform_pol2,379.478951495,1.74642036512,4.0210717998,26.034553211,,
EJ-230,quantile_pol1,226.412790633,1.74642036512,2.6860843771,18.2041273586,,
EJ-230,quantile_pol2,384.327955931,1.74642036512,2.31928031296,27.398560093,,
EJ-230,event_ols_total,305.092079666,1.74642036512,1.90117063061,23.3211820662,0.835482093291,4.19595733911
EJ-230,event_ols_two_counts,298.941659542,1.74642036512,3.65337987309,23.9739200072,0.920811396146,5.23097837645
