material,variant,abs_x_mm,predicted_ps,chain_residual_ps,shift_from_original_ps,chain_residual_bootstrap_se_ps,descriptive_between_residual_ps
EJ-200,uniform_pol1,0,0,0,0,,0
EJ-200,uniform_pol1,200,-6.97983778571,5.62629757244,0,,0.381786985677
EJ-200,uniform_pol1,500,-44.2459886809,37.982060497,0,,6.36846028608
EJ-200,uniform_pol1,650,-82.7844126054,50.8619371346,0,,0.474336490429
EJ-200,uniform_pol2,0,0,0,0,,0
EJ-200,uniform_pol2,200,-10.9712744645,9.61773425126,3.99143667882,,0.381786985677
EJ-200,uniform_pol2,500,-67.3832696541,61.1193414702,23.1372809732,,6.36846028608
EJ-200,uniform_pol2,650,-129.157337279,97.2348618083,46.3729246737,,0.474336490429
EJ-200,quantile_pol1,0,0,0,0,,0
EJ-200,quantile_pol1,200,-6.2901149587,4.93657474543,-0.689722827012,,0.381786985677
EJ-200,quantile_pol1,500,-36.2386992152,29.9747710312,-8.00728946578,,6.36846028608
EJ-200,quantile_pol1,650,-69.583727428,37.6612519571,-13.2006851775,,0.474336490429
EJ-200,quantile_pol2,0,0,0,0,,0
EJ-200,quantile_pol2,200,-11.4186687096,10.0651284963,4.43883092391,,0.381786985677
EJ-200,quantile_pol2,500,-69.195823139,62.9318949551,24.9498344581,,6.36846028608
EJ-200,quantile_pol2,650,-132.223341496,100.300866025,49.4389288905,,0.474336490429
EJ-200,event_ols_total,0,0,0,0,0,0
EJ-200,event_ols_total,200,-9.17331405601,7.81977384274,2.1934762703,0.896544646919,0.381786985677
EJ-200,event_ols_total,500,-55.1706319236,48.9067037397,10.9246432427,1.11272931981,6.36846028608
EJ-200,event_ols_total,650,-105.342234733,73.4197592619,22.5578221273,1.46660560551,0.474336490429
EJ-200,event_ols_two_counts,0,0,0,0,0,0
EJ-200,event_ols_two_counts,200,-9.15290224282,7.79936202955,2.17306445711,0.907984434686,0.381786985677
EJ-200,event_ols_two_counts,500,-54.8792063,48.615278116,10.633217619,1.31027892318,6.36846028608
EJ-200,event_ols_two_counts,650,-103.348527753,71.4260522824,20.5641151478,1.86113373839,0.474336490429
EJ-204,uniform_pol1,0,0,0,0,,0
EJ-204,uniform_pol1,200,-10.0607054983,10.3668720078,0,,1.05909019575
EJ-204,uniform_pol1,500,-60.1209427084,62.0570950299,0,,7.85848858277
EJ-204,uniform_pol1,650,-109.642155029,95.3351209434,0,,0.946229564605
EJ-204,uniform_pol2,0,0,0,0,,0
EJ-204,uniform_pol2,200,-12.731320349,13.0374868585,2.67061485073,,1.05909019575
EJ-204,uniform_pol2,500,-82.3169725607,84.2531248822,22.1960298523,,7.85848858277
EJ-204,uniform_pol2,650,-154.087260215,139.780226129,44.445105186,,0.946229564605
EJ-204,quantile_pol1,0,0,0,0,,0
EJ-204,quantile_pol1,200,-7.06912037352,7.37528688298,-2.99158512477,,1.05909019575
EJ-204,quantile_pol1,500,-47.1221419659,49.0582942874,-12.9988007425,,7.85848858277
EJ-204,quantile_pol1,650,-86.569255591,72.2622215054,-23.0728994381,,0.946229564605
EJ-204,quantile_pol2,0,0,0,0,,0
EJ-204,quantile_pol2,200,-13.0717969992,13.3779635087,3.01109150093,,1.05909019575
EJ-204,quantile_pol2,500,-83.3932262424,85.3293785639,23.272283534,,7.85848858277
EJ-204,quantile_pol2,650,-155.920051574,141.613017489,46.2778965452,,0.946229564605
EJ-204,event_ols_total,0,0,0,0,0,0
EJ-204,event_ols_total,200,-10.5843862408,10.8905527503,0.523680742523,0.857650325505,1.05909019575
EJ-204,event_ols_total,500,-67.2999484338,69.2361007552,7.17900572532,1.24109171102,7.85848858277
EJ-204,event_ols_total,650,-124.456727989,110.149693903,14.8145729599,1.7503202742,0.946229564605
EJ-204,event_ols_two_counts,0,0,0,0,0,0
EJ-204,event_ols_two_counts,200,-10.5033717124,10.8095382218,0.442666214062,0.865895578574,1.05909019575
EJ-204,event_ols_two_counts,500,-66.401512039,68.3376643604,6.28056933053,1.44568579243,7.85848858277
EJ-204,event_ols_two_counts,650,-121.516260168,107.209226082,11.8741051388,2.18311105782,0.946229564605
EJ-230,uniform_pol1,0,0,0,0,,0
EJ-230,uniform_pol1,200,-7.35153192386,9.03028359769,0,,1.73274965476
EJ-230,uniform_pol1,500,-46.8308781126,53.7197347664,0,,7.33846365338
EJ-230,uniform_pol1,650,-82.4993823032,82.6932629504,0,,1.36442896605
EJ-230,uniform_pol2,0,0,0,0,,0
EJ-230,uniform_pol2,200,-13.4837338961,15.1624855699,6.13220197225,,1.73274965476
EJ-230,uniform_pol2,500,-85.9864989814,92.8753556352,39.1556208688,,7.33846365338
EJ-230,uniform_pol2,650,-160.823323671,161.017204318,78.3239413679,,1.36442896605
EJ-230,quantile_pol1,0,0,0,0,,0
EJ-230,quantile_pol1,200,-7.92908998761,9.60784166144,0.577558063746,,1.73274965476
EJ-230,quantile_pol1,500,-51.3637932643,58.2526499181,4.53291515171,,7.33846365338
EJ-230,quantile_pol1,650,-95.3284648364,95.5223454836,12.8290825332,,1.36442896605
EJ-230,quantile_pol2,0,0,0,0,,0
EJ-230,quantile_pol2,200,-13.6590017638,15.3377534376,6.30746983994,,1.73274965476
EJ-230,quantile_pol2,500,-88.0752174712,94.964074125,41.2443393586,,7.33846365338
EJ-230,quantile_pol2,650,-162.549318556,162.743199204,80.0499362532,,1.36442896605
EJ-230,event_ols_total,0,0,0,0,0,0
EJ-230,event_ols_total,200,-11.0869969446,12.7657486184,3.73546502074,0.813166443411,1.73274965476
EJ-230,event_ols_total,500,-70.3820615898,77.2709182436,23.5511834772,1.27557261702,7.33846365338
EJ-230,event_ols_total,650,-128.807830905,129.001711552,46.3084486017,1.82183066907,1.36442896605
EJ-230,event_ols_two_counts,0,0,0,0,0,0
EJ-230,event_ols_two_counts,200,-11.2618292877,12.9405809615,3.91029736381,0.831081702284,1.73274965476
EJ-230,event_ols_two_counts,500,-70.1802491856,77.0691058395,23.349371073,1.48340536018,7.33846365338
EJ-230,event_ols_two_counts,650,-126.077376628,126.271257276,43.5779943251,2.24175754034,1.36442896605
