material,material_code,abs_x_mm,even_mean_npe,observed_even_shift_ps,original_prediction_shift_ps,within_prediction_shift_ps,between_prediction_shift_ps,registered_remnant_ps,identification_correction_ps,corrected_remnant_ps,fraction_registered_remnant_removed
EJ-200,0,0,1056.8094,0,0,-0,-0,0,-0,0,
EJ-200,0,200,1139.24385,-1.35354021327,-6.97983778571,-4.69351705624,-1.73532719895,5.62629757244,5.24451058676,0.381786985677,0.93214241146
EJ-200,0,500,1656.8945,-6.26392818397,-44.2459886809,-34.1666578966,-12.63238847,37.982060497,31.6136002109,6.36846028608,0.832329784041
EJ-200,0,650,2595.7776,-31.9224754708,-82.7844126054,-87.623238776,-32.3968119613,50.8619371346,50.3876006442,0.474336490435,0.99067403805
EJ-204,1,0,796.2842,0,0,-0,-0,0,-0,0,
EJ-204,1,200,882.4072,0.306166509461,-10.0607054983,-4.67014667027,-0.752923686292,10.3668720078,9.307781812,1.05909019575,0.897838982196
EJ-204,1,500,1473.70925,1.93615232147,-60.1209427084,-36.7343722538,-5.92233626131,62.0570950299,54.1986064471,7.85848858277,0.873366799091
EJ-204,1,650,2541.0252,-14.3070340856,-109.642155029,-94.6111534855,-15.2532636502,95.3351209434,94.3888913788,0.946229564609,0.990074701167
EJ-230,2,0,608.5049,0,0,-0,-0,0,-0,0,
EJ-230,2,200,684.2655,1.67875167383,-7.35153192386,-4.28870402348,-0.0539979809315,9.03028359769,7.29753394293,1.73274965476,0.808117913904
EJ-230,2,500,1239.31545,6.88885665383,-46.8308781126,-35.7093231025,-0.449606999553,53.7197347664,46.381271113,7.33846365338,0.863393524088
EJ-230,2,650,2250.81525,0.193880647221,-82.4993823032,-92.968944357,-1.17054831882,82.6932629504,81.3288339844,1.36442896604,0.983500119389
