material,variant,mirror,chain_local_excess_ps,target_local_excess_ps,target_local_excess_bootstrap_se_ps
EJ-200,uniform_pol1,even,16.2790614938,5.95378129821,0.69281476568
EJ-200,uniform_pol1,negative,16.0494491287,6.05853695501,0.940958027219
EJ-200,uniform_pol1,positive,16.512528256,5.85125462847,0.998837483788
EJ-200,uniform_pol2,even,20.3625669934,5.95378129821,0.69281476568
EJ-200,uniform_pol2,negative,20.2363334642,6.05853695501,0.940958027219
EJ-200,uniform_pol2,positive,20.4918260193,5.85125462847,0.998837483788
EJ-200,quantile_pol1,even,13.4078784647,5.95378129821,0.69281476568
EJ-200,quantile_pol1,negative,12.2930471033,6.05853695501,0.940958027219
EJ-200,quantile_pol1,positive,14.5322223346,5.85125462847,0.998837483788
EJ-200,quantile_pol2,even,20.7970748467,5.95378129821,0.69281476568
EJ-200,quantile_pol2,negative,20.721631471,6.05853695501,0.940958027219
EJ-200,quantile_pol2,positive,20.8752069796,5.85125462847,0.998837483788
EJ-200,event_ols_total,even,17.7727601482,5.95378129821,0.69281476568
EJ-200,event_ols_total,negative,17.9137341733,6.05853695501,0.940958027219
EJ-200,event_ols_total,positive,17.6332587344,5.85125462847,0.998837483788
EJ-200,event_ols_two_counts,even,18.2030534825,5.95378129821,0.69281476568
EJ-200,event_ols_two_counts,negative,18.3656759899,6.05853695501,0.940958027219
EJ-200,event_ols_two_counts,positive,18.0419873183,5.85125462847,0.998837483788
EJ-204,uniform_pol1,even,21.3987998128,6.83963352408,0.696208143545
EJ-204,uniform_pol1,negative,20.4380067739,5.99133394135,0.972124436893
EJ-204,uniform_pol1,positive,22.3579259961,7.68690179587,0.985432644123
EJ-204,uniform_pol2,even,26.031489803,6.83963352408,0.696208143545
EJ-204,uniform_pol2,negative,25.484843486,5.99133394135,0.972124436893
EJ-204,uniform_pol2,positive,26.577171439,7.68690179587,0.985432644123
EJ-204,quantile_pol1,even,18.5506300514,6.83963352408,0.696208143545
EJ-204,quantile_pol1,negative,17.5818563066,5.99133394135,0.972124436893
EJ-204,quantile_pol1,positive,19.5178009942,7.68690179587,0.985432644123
EJ-204,quantile_pol2,even,26.2352523823,6.83963352408,0.696208143545
EJ-204,quantile_pol2,negative,24.7896489243,5.99133394135,0.972124436893
EJ-204,quantile_pol2,positive,27.6780784849,7.68690179587,0.985432644123
EJ-204,event_ols_total,even,22.9593809399,6.83963352408,0.696208143545
EJ-204,event_ols_total,negative,22.072359554,5.99133394135,0.972124436893
EJ-204,event_ols_total,positive,23.8448398685,7.68690179587,0.985432644123
EJ-204,event_ols_two_counts,even,23.1613623321,6.83963352408,0.696208143545
EJ-204,event_ols_two_counts,negative,22.6253558048,5.99133394135,0.972124436893
EJ-204,event_ols_two_counts,positive,23.6917423006,7.68690179587,0.985432644123
EJ-230,uniform_pol1,even,18.5896525466,5.7362150439,0.676339024876
EJ-230,uniform_pol1,negative,17.3620391463,5.33413370527,0.940527787118
EJ-230,uniform_pol1,positive,19.8201765498,6.1387040254,0.973275557722
EJ-230,uniform_pol2,even,26.034553211,5.7362150439,0.676339024876
EJ-230,uniform_pol2,negative,24.3090493282,5.33413370527,0.940527787118
EJ-230,uniform_pol2,positive,27.7644798307,6.1387040254,0.973275557722
EJ-230,quantile_pol1,even,18.2041273586,5.7362150439,0.676339024876
EJ-230,quantile_pol1,negative,17.8983369145,5.33413370527,0.940527787118
EJ-230,quantile_pol1,positive,18.5099170134,6.1387040254,0.973275557722
EJ-230,quantile_pol2,even,27.398560093,5.7362150439,0.676339024876
EJ-230,quantile_pol2,negative,26.048954833,5.33413370527,0.940527787118
EJ-230,quantile_pol2,positive,28.7513882031,6.1387040254,0.973275557722
EJ-230,event_ols_total,even,23.3211820662,5.7362150439,0.676339024876
EJ-230,event_ols_total,negative,22.2518417706,5.33413370527,0.940527787118
EJ-230,event_ols_total,positive,24.3928930786,6.1387040254,0.973275557722
EJ-230,event_ols_two_counts,even,23.9739200072,5.7362150439,0.676339024876
EJ-230,event_ols_two_counts,negative,22.5331571219,5.33413370527,0.940527787118
EJ-230,event_ols_two_counts,positive,25.418467382,6.1387040254,0.973275557722
