material,x_mm,term,shift_ps,bootstrap_se_ps,left_shift_ps,right_shift_ps
EJ-200,-650,cherenkov,-177.692538385,3.03845573058,-497.080901356,141.695824586
EJ-200,-650,scintillation,157.123018812,3.30317585691,-3084.31395131,3398.55998894
EJ-200,-650,mixing,-11.499719966,0.561832588356,-27.7659349571,4.76649502514
EJ-200,-500,cherenkov,-27.1484653114,2.49159057324,-171.146787124,116.849856502
EJ-200,-500,scintillation,21.5877726255,2.74251910445,-2564.33095962,2607.50650487
EJ-200,-500,mixing,-0.480393444358,0.364137539351,-4.39356166714,3.43277477843
EJ-200,-200,cherenkov,-2.34699184206,1.13353726568,-57.3099171292,52.6159334451
EJ-200,-200,scintillation,1.65103505815,1.49419821852,-1032.86224547,1036.16431559
EJ-200,-200,mixing,-0.310958063078,0.368148205504,-1.49860048525,0.876684359093
EJ-200,0,cherenkov,0,0,0,0
EJ-200,0,scintillation,0,0,0,0
EJ-200,0,mixing,0,0,0,0
EJ-200,200,cherenkov,-4.28295032548,1.16691793131,50.8833897648,-59.4492904157
EJ-200,200,scintillation,2.92351572404,1.55176741239,1037.8919528,-1032.04492135
EJ-200,200,mixing,-0.340730978118,0.375567807538,0.606384119115,-1.28784607535
EJ-200,500,cherenkov,-32.0306088027,2.64025134406,113.726759477,-177.787977083
EJ-200,500,scintillation,26.2385730434,2.89626256193,2611.30302863,-2558.82588255
EJ-200,500,mixing,-0.694734478467,0.371157453971,3.20969320376,-4.59916216069
EJ-200,650,cherenkov,-181.67527884,3.22799363708,139.711797412,-503.062355092
EJ-200,650,scintillation,162.015180424,3.53060198623,3402.89619493,-3078.86583408
EJ-200,650,mixing,-12.1156129869,0.581650640463,3.62143672849,-27.8526627024
EJ-204,-650,cherenkov,-155.488310315,2.88762926087,-420.185660379,109.20903975
EJ-204,-650,scintillation,151.906420338,3.19442850224,-3156.68419061,3460.49703129
EJ-204,-650,mixing,-10.2111530815,0.401004320916,-24.4276224147,4.00531625159
EJ-204,-500,cherenkov,-29.5196952736,2.36795176427,-148.852216822,89.8128262749
EJ-204,-500,scintillation,31.58788436,2.595074161,-2592.02565528,2655.201424
EJ-204,-500,mixing,-0.219028613021,0.324600785137,-3.46442008192,3.02636285588
EJ-204,-200,cherenkov,-4.18789880528,1.07141455725,-49.6843400393,41.3085424287
EJ-204,-200,scintillation,5.00878029133,1.4289551665,-1045.11702774,1055.13458832
EJ-204,-200,mixing,0.343497902029,0.319412081538,-0.722296729975,1.40929253403
EJ-204,0,cherenkov,0,0,0,0
EJ-204,0,scintillation,0,0,0,0
EJ-204,0,mixing,0,0,0,0
EJ-204,200,cherenkov,-3.6513245963,1.0885490851,42.7263071537,-50.0289563463
EJ-204,200,scintillation,2.97863780505,1.41395557901,1050.58195679,-1044.62468118
EJ-204,200,mixing,0.120640422093,0.317284881756,1.18635093195,-0.94507008776
EJ-204,500,cherenkov,-27.9874836538,2.32396918983,95.1370713501,-151.112038658
EJ-204,500,scintillation,30.5289208267,2.55793440221,2649.26759044,-2588.20974878
EJ-204,500,mixing,-0.518293003407,0.334271836091,2.76962989957,-3.80621590639
EJ-204,650,cherenkov,-155.553139613,2.85581105328,115.081339713,-426.187618939
EJ-204,650,scintillation,150.606505296,3.17239055926,3450.95325986,-3149.74024927
EJ-204,650,mixing,-9.87439079562,0.430271496833,4.34480513185,-24.0935867231
EJ-230,-650,cherenkov,-133.828100434,2.68604132021,-361.586472321,93.9302714523
EJ-230,-650,scintillation,140.737449514,3.0096451451,-3206.052946,3487.52784503
EJ-230,-650,mixing,-7.2377730274,0.327514439929,-18.2222111064,3.7466650516
EJ-230,-500,cherenkov,-28.0955494127,2.18683701165,-134.836574079,78.6454752532
EJ-230,-500,scintillation,34.0927243604,2.42322180907,-2601.11209131,2669.29754003
EJ-230,-500,mixing,-0.245535206504,0.273704710296,-3.51849722241,3.0274268094
EJ-230,-200,cherenkov,-3.06982004778,0.995971517586,-42.9324457667,36.7928056711
EJ-230,-200,scintillation,3.77122489024,1.3603134629,-1050.38165056,1057.92410034
EJ-230,-200,mixing,0.124316091575,0.271943422181,-0.683750173561,0.932382356712
EJ-230,0,cherenkov,0,0,0,0
EJ-230,0,scintillation,0,0,0,0
EJ-230,0,mixing,0,0,0,0
EJ-230,200,cherenkov,-4.50257490839,1.03754639704,36.6321420659,-45.6372918827
EJ-230,200,scintillation,7.11537060493,1.39686839476,1061.94565381,-1047.7149126
EJ-230,200,mixing,-0.0810132829257,0.277608472362,1.09087251458,-1.25289908043
EJ-230,500,cherenkov,-31.7357980332,2.24444460838,76.7958892629,-140.267485329
EJ-230,500,scintillation,39.8131295559,2.4785849362,2677.41697677,-2597.79071766
EJ-230,500,mixing,-0.0512579561819,0.280210132686,3.33388688984,-3.43640280221
EJ-230,650,cherenkov,-138.260514854,2.7783981508,92.0933107733,-368.614340481
EJ-230,650,scintillation,146.398841565,3.04108005636,3493.34360382,-3200.54592069
EJ-230,650,mixing,-7.4221414691,0.327746714639,3.49002313805,-18.3343060762
