material,end,x_low_mm,x_high_mm,cherenkov_ps,scint_ps,mixing_ps,cherenkov_ps_m,scint_ps_m,mixing_ps_m
EJ-200,L,-650,-500,325.934114232,519.982991698,23.3723732899,2172.89409488,3466.55327798,155.815821933
EJ-200,L,-500,-200,113.836869995,1531.46871414,2.8949611819,379.456233317,5104.8957138,9.64987060632
EJ-200,L,-200,0,57.3099171292,1032.86224547,1.49860048525,286.549585646,5164.31122737,7.49300242625
EJ-200,L,0,200,50.8833897648,1037.8919528,0.606384119115,254.416948824,5189.459764,3.03192059557
EJ-200,L,200,500,62.8433697126,1573.41107583,2.60330908464,209.477899042,5244.70358611,8.67769694882
EJ-200,L,500,650,25.9850379342,791.593166298,0.411743524734,173.233586228,5277.28777532,2.74495683156
EJ-200,R,-650,-500,-24.8459680849,-791.053484071,-1.33372024671,-165.639787233,-5273.68989381,-8.89146831142
EJ-200,R,-500,-200,-64.2339230565,-1571.34218928,-2.55609041933,-214.113076855,-5237.80729759,-8.52030139778
EJ-200,R,-200,0,-52.6159334451,-1036.16431559,-0.876684359093,-263.079667225,-5180.82157795,-4.38342179547
EJ-200,R,0,200,-59.4492904157,-1032.04492135,-1.28784607535,-297.246452079,-5160.22460676,-6.43923037675
EJ-200,R,200,500,-118.338686667,-1526.78096119,-3.31131608534,-394.46228889,-5089.26987065,-11.0377202845
EJ-200,R,500,650,-325.274378009,-520.039951536,-23.2535005417,-2168.49585339,-3466.93301024,-155.023336945
EJ-204,L,-650,-500,271.333443557,564.65853533,20.9632023328,1808.88962371,3764.39023553,139.754682218
EJ-204,L,-500,-200,99.1678767828,1546.90862755,2.74212335195,330.559589276,5156.36209182,9.14041117316
EJ-204,L,-200,0,49.6843400393,1045.11702774,0.722296729975,248.421700196,5225.5851387,3.61148364987
EJ-204,L,0,200,42.7263071537,1050.58195679,1.18635093195,213.631535768,5252.90978397,5.93175465973
EJ-204,L,200,500,52.4107641964,1598.68563364,1.58327896763,174.702547321,5328.95211215,5.27759655876
EJ-204,L,500,650,19.9442683631,801.685669426,1.57517523228,132.961789087,5344.5711295,10.5011682152
EJ-204,R,-650,-500,-19.396213475,-805.295607285,-0.978953395713,-129.308089834,-5368.6373819,-6.52635597142
EJ-204,R,-500,-200,-48.5042838461,-1600.06683568,-1.61707032185,-161.680946154,-5333.55611894,-5.39023440616
EJ-204,R,-200,0,-41.3085424287,-1055.13458832,-1.40929253403,-206.542712144,-5275.67294161,-7.04646267016
EJ-204,R,0,200,-50.0289563463,-1044.62468118,-0.94507008776,-250.144781731,-5223.12340592,-4.7253504388
EJ-204,R,200,500,-101.083082311,-1543.5850676,-2.86114581863,-336.943607705,-5145.28355867,-9.53715272876
EJ-204,R,500,650,-275.075580281,-561.530500487,-20.2873708167,-1833.83720187,-3743.53666992,-135.249138778
EJ-230,L,-650,-500,226.749898242,604.940854697,14.703713884,1511.66598828,4032.93903131,98.0247592266
EJ-230,L,-500,-200,91.904128312,1550.73044074,2.83474704885,306.347094373,5169.10146915,9.4491568295
EJ-230,L,-200,0,42.9324457667,1050.38165056,0.683750173561,214.662228833,5251.90825281,3.4187508678
EJ-230,L,0,200,36.6321420659,1061.94565381,1.09087251458,183.16071033,5309.72826904,5.45436257291
EJ-230,L,200,500,40.1637471969,1615.47132296,2.24301437526,133.879157323,5384.90440986,7.4767145842
EJ-230,L,500,650,15.2974215105,815.926627054,0.156136248208,101.98281007,5439.51084703,1.04090832138
EJ-230,R,-650,-500,-15.284796199,-818.230305005,-0.719238242198,-101.898641327,-5454.86870003,-4.79492161465
EJ-230,R,-500,-200,-41.8526695821,-1611.37343968,-2.09504445269,-139.508898607,-5371.24479895,-6.98348150897
EJ-230,R,-200,0,-36.7928056711,-1057.92410034,-0.932382356712,-183.964028356,-5289.62050172,-4.66191178356
EJ-230,R,0,200,-45.6372918827,-1047.7149126,-1.25289908043,-228.186459414,-5238.57456299,-6.26449540217
EJ-230,R,200,500,-94.6301934465,-1550.07580506,-2.18350372177,-315.433978155,-5166.91935019,-7.27834573924
EJ-230,R,500,650,-228.346855152,-602.755203036,-14.897903274,-1522.31236768,-4018.36802024,-99.3193551602
