material,x_mm,variant,bins,mean_npe,derivative_ns_pe,derivative_se_ns_pe,p0_ns,p1_ns_pe,p2_ns_pe2,chi2,ndf,chi2_ndf,unreliable,status,covariance_status
EJ-200,-650,uniform_pol1,40,2589.0144,-3.22402667081e-05,9.13969101567e-07,4.17894963346,-3.22402667081e-05,0,80.818966807,26,3.10842180027,False,0,3
EJ-200,-650,uniform_pol2,40,2589.0144,-4.23872523906e-05,1.78566487961e-06,4.22978054551,-6.25607279471e-05,3.89597592747e-09,37.0663264666,25,1.48265305866,False,0,3
EJ-200,-650,quantile_pol1,40,2589.0144,-2.2601280774e-05,7.87005342219e-07,4.1545108797,-2.2601280774e-05,0,227.213805558,38,5.97931067258,True,0,3
EJ-200,-650,quantile_pol2,40,2589.0144,-4.51878454473e-05,1.89267600308e-06,4.25153932995,-7.73061806663e-05,6.20281123562e-09,55.0303480457,37,1.48730670394,False,0,3
EJ-200,-500,uniform_pol1,40,1657.5541,-2.9754772855e-05,5.20146087582e-07,4.17054771141,-2.9754772855e-05,0,897.709268007,27,33.2484914077,True,0,3
EJ-200,-500,uniform_pol2,40,1657.5541,-9.28112525544e-05,2.20641809875e-06,4.32515314195,-0.000156626463146,1.92498122963e-08,32.90846287,26,1.26571011038,False,0,3
EJ-200,-500,quantile_pol1,40,1657.5541,-4.95843391721e-05,1.18910594634e-06,4.20425240956,-4.95843391721e-05,0,316.736522074,38,8.33517163354,True,0,3
EJ-200,-500,quantile_pol2,40,1657.5541,-9.05090912214e-05,2.7532199171e-06,4.32102229541,-0.000153846791954,1.91057717914e-08,45.1231175055,37,1.21954371637,False,0,3
EJ-200,-200,uniform_pol1,40,1140.1472,-9.23115835338e-05,1.70576485436e-06,4.23197737218,-9.23115835338e-05,0,187.43278722,22,8.51967214636,True,0,3
EJ-200,-200,uniform_pol2,40,1140.1472,-0.000127632612493,3.40713148059e-06,4.30725163729,-0.000193483604655,2.8878285261e-08,44.0154031589,21,2.095971579,False,0,3
EJ-200,-200,quantile_pol1,40,1140.1472,-6.00868704642e-05,1.35206782518e-06,4.19642109362,-6.00868704642e-05,0,513.705589189,38,13.5185681365,True,0,3
EJ-200,-200,quantile_pol2,40,1140.1472,-0.000133351106319,3.64551817882e-06,4.32468088452,-0.000219308173979,3.76956009101e-08,45.394514136,37,1.22687876043,False,0,3
EJ-200,0,uniform_pol1,40,1056.8094,-7.45942332392e-05,1.05539341564e-06,4.20703421568,-7.45942332392e-05,0,497.020265791,30,16.567342193,True,0,3
EJ-200,0,uniform_pol2,40,1056.8094,-0.000135401397523,3.26166579105e-06,4.30053485811,-0.000195540948535,2.84533573471e-08,108.814153217,29,3.75221217991,False,0,3
EJ-200,0,quantile_pol1,40,1056.8094,-8.4020885585e-05,1.93142140464e-06,4.21795935386,-8.4020885585e-05,0,279.481113091,38,7.35476613396,True,0,3
EJ-200,0,quantile_pol2,40,1056.8094,-0.000141012636325,4.32791266149e-06,4.32506079373,-0.000237740594309,4.57641453531e-08,62.9501453141,37,1.70135527876,False,0,3
EJ-200,200,uniform_pol1,40,1138.3405,-9.71854284844e-05,1.97796669819e-06,4.23644460311,-9.71854284844e-05,0,215.980191049,30,7.19933970163,True,0,3
EJ-200,200,uniform_pol2,40,1138.3405,-0.000133928159613,3.5082887314e-06,4.31908440877,-0.000210298678591,3.3544672696e-08,55.1809425555,29,1.9027911226,False,0,3
EJ-200,200,quantile_pol1,40,1138.3405,-7.70891384905e-05,1.74004198345e-06,4.21448300807,-7.70891384905e-05,0,356.259236735,38,9.37524307197,True,0,3
EJ-200,200,quantile_pol2,40,1138.3405,-0.000138696279228,3.92362692699e-06,4.33819010273,-0.000240350301128,4.46500945456e-08,49.3611662386,37,1.33408557402,False,0,3
EJ-200,500,uniform_pol1,40,1656.2349,-6.87119288418e-05,1.33904696835e-06,4.23467935402,-6.87119288418e-05,0,103.148507633,25,4.12594030533,False,0,3
EJ-200,500,uniform_pol2,40,1656.2349,-8.15358231491e-05,2.69060589493e-06,4.27641464321,-0.00010795602203,7.97598181303e-09,72.9533542889,24,3.03972309537,False,0,3
EJ-200,500,quantile_pol1,40,1656.2349,-4.46589247475e-05,1.17062715535e-06,4.19600577245,-4.46589247475e-05,0,303.128060154,38,7.97705421459,True,0,3
EJ-200,500,quantile_pol2,40,1656.2349,-8.39002556194e-05,2.82735440965e-06,4.30091892117,-0.000136179770247,1.57826388718e-08,70.6426774736,37,1.90926155334,False,0,3
EJ-200,650,uniform_pol1,40,2602.5408,-3.34814121273e-05,9.29350317011e-07,4.18288975609,-3.34814121273e-05,0,114.031920369,27,4.22340445812,False,0,3
EJ-200,650,uniform_pol2,40,2602.5408,-4.64467543005e-05,1.73738498585e-06,4.251276445,-7.47218583622e-05,5.43221148766e-09,36.0205223418,26,1.38540470545,False,0,3
EJ-200,650,quantile_pol1,40,2602.5408,-2.52179898767e-05,7.97172389456e-07,4.16193434798,-2.52179898767e-05,0,241.929029203,38,6.36655340007,True,0,3
EJ-200,650,quantile_pol2,40,2602.5408,-4.89240681622e-05,1.82702262092e-06,4.26781224416,-8.54062814657e-05,7.00896087844e-09,33.9836605753,37,0.918477312846,False,0,3
