material,x_mm,residual_ps,cell_sem_ps,residual_over_cell_sem,paired_bootstrap_se_ps,paired_bootstrap_z,ci025_ps,ci975_ps
EJ-200,-650,0.185200332855,0.808155411236,0.229164255142,0.816469459593,0.226830692415,-1.44656694485,1.76535024265
EJ-200,-500,6.60518757619,0.813796595325,8.11650922864,1.05438711944,6.26448052561,4.47095290366,8.56491189725
EJ-200,-200,0.74742876834,0.773264443082,0.966588823561,1.04602451182,0.714542307466,-1.26006063904,2.78369799683
EJ-200,0,0,0.769159303367,0,0,,0,0
EJ-200,200,0.0161452030132,0.788383429486,0.0204788715862,1.08465915429,0.0148850474817,-2.09961222573,2.12972529722
EJ-200,500,6.13173299596,0.818618858398,7.49033928678,1.06814271956,5.74055590484,4.09259834678,8.21075650026
EJ-200,650,0.763472648003,0.814223804388,0.937669279489,0.806025374423,0.947206716103,-0.794997537056,2.3800129584
EJ-204,-650,1.50763424787,0.847810969082,1.7782669756,0.811639583859,1.8575169051,-0.101379782113,3.07757646538
EJ-204,-500,7.76421473354,0.822122030518,9.44411467559,1.07821602372,7.2009825144,5.69281932023,9.83230253866
EJ-204,-200,1.91872721506,0.74476059378,2.57630066774,1.04334906665,1.83900793742,-0.193808757636,3.93151547739
EJ-204,0,0,0.724428030022,0,0,,0,0
EJ-204,200,0.199453176445,0.740371247673,0.269396167222,1.02317246371,0.194936028401,-1.8166211827,2.19758825782
EJ-204,500,7.952762432,0.821255341704,9.68366600271,1.08848120422,7.30629284288,5.82355443972,10.037593884
EJ-204,650,0.384824881344,0.850267241677,0.452592858435,0.814971816956,0.472194097191,-1.23867580472,1.94112630033
EJ-230,-650,0.841260560195,0.850496399927,0.989140648059,0.828159241204,1.01581980655,-0.763287426654,2.46977827923
EJ-230,-500,6.20026240434,0.792263702538,7.82600841674,1.01140922578,6.13032019714,4.2216578938,8.17867901149
EJ-230,-200,0.879737945259,0.692158596945,1.27100631147,0.969387033576,0.907519819007,-1.12214279199,2.67962912119
EJ-230,0,0,0.677749682847,0,0,,0,0
EJ-230,200,2.58576136426,0.701085355784,3.68822618092,1.00334237103,2.57714758086,0.602460396563,4.5160293065
EJ-230,500,8.47666490242,0.805165925381,10.5278485281,1.03646643473,8.17842683411,6.40415426435,10.5195344805
EJ-230,650,1.8875973719,0.855003479931,2.20770723886,0.809184269407,2.33271634566,0.317103629253,3.41940082746
