material,abs_x_mm,quantile_pol1,uniform_pol1,uniform_pol2,envelope_low_ps,envelope_high_ps,nominal_ps,envelope_minus_ps,envelope_plus_ps,envelope_uncertainty_ps,envelope_sensitivity_ratio,envelope_excludes_zero,at_least_3_envelope_units
EJ-200,0,0,0,0,0,0,0,0,0,0,,False,False
EJ-200,200,4.93657474543,5.62629757244,9.61773425126,4.93657474543,9.61773425126,5.62629757244,0.689722827012,3.99143667882,3.99143667882,1.40959209056,True,False
EJ-200,500,29.9747710312,37.982060497,61.1193414702,29.9747710312,61.1193414702,37.982060497,8.00728946578,23.1372809732,23.1372809732,1.64159568019,True,False
EJ-200,650,37.6612519571,50.8619371346,97.2348618083,37.6612519571,97.2348618083,50.8619371346,13.2006851775,46.3729246737,46.3729246737,1.09680244437,True,False
EJ-204,0,0,0,0,0,0,0,0,0,0,,False,False
EJ-204,200,7.37528688298,10.3668720078,13.0374868585,7.37528688298,13.0374868585,10.3668720078,2.99158512477,2.67061485073,2.99158512477,3.4653441488,True,True
EJ-204,500,49.0582942874,62.0570950299,84.2531248822,49.0582942874,84.2531248822,62.0570950299,12.9988007425,22.1960298523,22.1960298523,2.79586464079,True,False
EJ-204,650,72.2622215054,95.3351209434,139.780226129,72.2622215054,139.780226129,95.3351209434,23.0728994381,44.445105186,44.445105186,2.14500833207,True,False
EJ-230,0,0,0,0,0,0,0,0,0,0,,False,False
EJ-230,200,9.60784166144,9.03028359769,15.1624855699,9.03028359769,15.1624855699,9.03028359769,0,6.13220197225,6.13220197225,1.47260048488,True,False
EJ-230,500,58.2526499181,53.7197347664,92.8753556352,53.7197347664,92.8753556352,53.7197347664,0,39.1556208688,39.1556208688,1.37195461531,True,False
EJ-230,650,95.5223454836,82.6932629504,161.017204318,82.6932629504,161.017204318,82.6932629504,0,78.3239413679,78.3239413679,1.0557852619,True,False
