material,x_mm,beta_total_ps_pe,beta_scint_ps_pe,beta_cherenkov_ps_pe,se_scint_ps_pe,se_cherenkov_ps_pe,covariance_ps2_pe2,condition_number,rho_counts
EJ-200,-650,-0.0355814927585,-0.0376554925164,0.107402815639,0.00152281559964,0.0674714595758,-6.82832064391e-05,3070.39323024,0.617855151507
EJ-200,-500,-0.0719930655311,-0.0732363138924,0.0172983432668,0.00221092615057,0.0909460792313,-9.43078412276e-05,2350.93204283,0.547705089489
EJ-200,-200,-0.10686200206,-0.106330061434,-0.142877825961,0.00285402497463,0.109388584826,-0.000153670526288,1899.91687726,0.527568091286
EJ-200,0,-0.115376462904,-0.115970950889,-0.0742082970211,0.00331394933335,0.118630104987,-0.000178092784208,1823.54009952,0.510335582329
EJ-200,200,-0.10750548264,-0.107440994698,-0.112121904974,0.00298806221989,0.111935254109,-0.000165240025119,1913.85949127,0.507159185218
EJ-200,500,-0.0690708038494,-0.0697516794698,-0.0213634544741,0.00217178353651,0.0944759591117,-0.000112927090396,2464.56046443,0.567094878361
EJ-200,650,-0.0371047961462,-0.0393062390405,0.116706848999,0.00152582716791,0.068467669153,-7.12630847031e-05,3425.42960937,0.634383439091
EJ-204,-650,-0.0368230154963,-0.0402758938372,0.210326077539,0.00157712046005,0.073751184134,-7.76013810599e-05,3532.33190001,0.631095850662
EJ-204,-500,-0.0693039052836,-0.0697916364091,-0.0334382823638,0.00239055176363,0.101162756837,-0.00013076992358,2361.88839396,0.539332544099
EJ-204,-200,-0.121264664784,-0.121862108285,-0.0763891382388,0.00360944478467,0.130165450836,-0.000216155891109,1650.93202462,0.458938022977
EJ-204,0,-0.124381021265,-0.124531401242,-0.113237185827,0.00408416768395,0.141705718373,-0.000232795258658,1701.69041046,0.470110257276
EJ-204,200,-0.121567233483,-0.123113918373,-0.0061827648003,0.00351128250551,0.131175640324,-0.0002161086996,1790.38145978,0.477702467409
EJ-204,500,-0.0715297845721,-0.0727151660472,0.0218648235744,0.00246373769486,0.105275318166,-0.000132579041778,2534.72052926,0.5264973692
EJ-204,650,-0.0365508291842,-0.0378668833394,0.0602358430502,0.00163651827701,0.0773341908099,-7.98379631406e-05,3377.58688963,0.611642428423
EJ-230,-650,-0.0395756200539,-0.0429828302811,0.187999453265,0.00181441917692,0.0761754392059,-9.17437505389e-05,2700.06592044,0.604492139959
EJ-230,-500,-0.0780040545697,-0.0804033769171,0.0826363020669,0.00281454642877,0.100148296176,-0.000155774161381,1787.94660261,0.519578865372
EJ-230,-200,-0.134134996981,-0.135466700846,-0.0356396322865,0.0039652866712,0.136529380769,-0.000238602391712,1245.60279121,0.409696554947
EJ-230,0,-0.155338046554,-0.153418146065,-0.287101601609,0.00472884268007,0.149874406909,-0.000315997589509,1234.69890438,0.435522315267
EJ-230,200,-0.140558980612,-0.137336232832,-0.370461496968,0.00427015421762,0.138576923296,-0.000265987376874,1257.76007667,0.424784596266
EJ-230,500,-0.0746153268976,-0.0763162435316,0.0380780441642,0.00284166441959,0.105996276796,-0.000162692040527,1805.06148141,0.525657564455
EJ-230,650,-0.0388510918745,-0.0398674779265,0.0300732933611,0.00176440048462,0.0773167205907,-8.89093638001e-05,2829.0010615,0.607915834346
