material,material_code,x_mm,mean_npe,mean_t0_ns,sem_t0_ns,observed_shift_ps,original_prediction_shift_ps,within_prediction_shift_ps,between_prediction_shift_ps,corrected_residual_ps
EJ-200,0,-650,2589.0144,4.09550019636,0.000808155411236,-32.0692395387,-82.7844126054,-87.2381668242,-32.2544398715,0.185200332861
EJ-200,0,-500,1657.5541,4.12152834977,0.000813796595325,-6.04108613019,-44.2459886809,-34.204213116,-12.6462737064,6.6051875762
EJ-200,0,-200,1140.1472,4.12656252106,0.000773264443082,-1.00691484699,-6.97983778571,-4.74495051195,-1.75434361533,0.74742876834
EJ-200,0,0,1056.8094,4.1275694359,0.000769159303367,0,0,0,0,0
EJ-200,0,200,1138.3405,4.12586927032,0.000788383429486,-1.70016557956,-6.97983778571,-4.64208360054,-1.71631078257,0.0161452030136
EJ-200,0,500,1656.2349,4.12108266566,0.000818618858398,-6.48677023775,-44.2459886809,-34.1291026773,-12.6185032337,6.13173299596
EJ-200,0,650,2602.5408,4.0957937245,0.000814223804388,-31.775711403,-82.7844126054,-88.0083107278,-32.539184051,0.763472648008
EJ-204,1,-650,2546.4486,4.1026960063,0.000847810969082,-13.7930430586,-109.642155029,-94.9052453477,-15.3006773065,1.50763424787
EJ-204,1,-500,1472.8763,4.11833820983,0.000822122030518,1.84916047338,-60.1209427084,-36.6892043118,-5.91505426017,7.76421473354
EJ-204,1,-200,882.5701,4.11765342875,0.00074476059378,1.16437938808,-10.0607054983,-4.67898016298,-0.75434782698,1.91872721506
EJ-204,1,0,796.2842,4.11648904936,0.000724428030022,0,0,0,0,0
EJ-204,1,200,882.2443,4.11593700299,0.000740371247673,-0.552046369159,-10.0607054983,-4.66131317756,-0.751499545604,0.199453176445
EJ-204,1,500,1474.5422,4.11851219353,0.000821255341704,2.02314416955,-60.1209427084,-36.7795401958,-5.92961826245,7.95276243201
EJ-204,1,650,2535.6018,4.10166802425,0.000850267241677,-14.8210251126,-109.642155029,-94.3170616232,-15.2058499939,0.384824881349
EJ-230,2,-650,2249.6033,4.0994925204,0.000850496399927,-0.328423947453,-82.4993823032,-92.9003375239,-1.16968450765,0.841260560193
EJ-230,2,-500,1237.9344,4.10557258409,0.000792263702538,5.75163974113,-46.8308781126,-35.6311437495,-0.448622663215,6.20026240434
EJ-230,2,-200,684.2922,4.10064666528,0.000692158596945,0.825720934039,-7.35153192386,-4.29021547399,-0.0540170112204,0.879737945259
EJ-230,2,0,608.5049,4.09982094435,0.000677749682847,0,0,0,0,0
EJ-230,2,200,684.2388,4.10235272676,0.000701085355784,2.53178241362,-7.35153192386,-4.28719257298,-0.0539789506426,2.58576136426
EJ-230,2,500,1240.6965,4.10784701791,0.000805165925381,8.02607356653,-46.8308781126,-35.7875024555,-0.45059133589,8.47666490242
EJ-230,2,650,2252.0272,4.10053712959,0.000855003479931,0.716185241895,-82.4993823032,-93.0375511902,-1.17141213,1.88759737189
