cell_id,material,x_mm,photons_selected,photons_joined,photons_rejected
EJ200_xm650,EJ-200,-650,59883,59883,0
EJ200_xm500,EJ-200,-500,59925,59925,0
EJ200_xm200,EJ-200,-200,59991,59991,0
EJ200_xp0,EJ-200,0,60000,60000,0
EJ200_xp200,EJ-200,200,59987,59987,0
EJ200_xp500,EJ-200,500,59915,59915,0
EJ200_xp650,EJ-200,650,59848,59848,0
EJ204_xm650,EJ-204,-650,59767,59767,0
EJ204_xm500,EJ-204,-500,59877,59877,0
EJ204_xm200,EJ-204,-200,59990,59990,0
EJ204_xp0,EJ-204,0,59999,59999,0
EJ204_xp200,EJ-204,200,59996,59996,0
EJ204_xp500,EJ-204,500,59872,59872,0
EJ204_xp650,EJ-204,650,59810,59810,0
EJ230_xm650,EJ-230,-650,59241,59241,0
EJ230_xm500,EJ-230,-500,59468,59468,0
EJ230_xm200,EJ-230,-200,59940,59940,0
EJ230_xp0,EJ-230,0,59996,59996,0
EJ230_xp200,EJ-230,200,59946,59946,0
EJ230_xp500,EJ-230,500,59431,59431,0
EJ230_xp650,EJ-230,650,59269,59269,0
