campaign,material,x_mm,mean_tdiff_ns,sem_tdiff_ns,n_events
v2,EJ-200,-650,-7.20310749939,0.00156244669454,10000
v2,EJ-200,-500,-5.49579510983,0.00153726329397,10000
v2,EJ-200,-200,-2.19173817688,0.00144910842568,10000
v2,EJ-200,0,-0.000231658693211,0.00144008979075,10000
v2,EJ-200,200,2.19197675848,0.00143262067252,10000
v2,EJ-200,500,5.49436450896,0.00155113017666,10000
v2,EJ-200,650,7.20412153126,0.00156816226665,10000
v2,EJ-204,-650,-7.20638382137,0.00163073820863,10000
v2,EJ-204,-500,-5.5040493028,0.00153774324355,10000
v2,EJ-204,-200,-2.19869300905,0.00137721771044,10000
v2,EJ-204,0,0.000121696000474,0.00135281735637,10000
v2,EJ-204,200,2.19471010598,0.00136689277197,10000
v2,EJ-204,500,5.50627844128,0.00151818101091,10000
v2,EJ-204,650,7.20469267999,0.00163280298148,10000
v2,EJ-230,-650,-7.17276053657,0.00167234069388,10000
v2,EJ-230,-500,-5.49213173031,0.00154601201796,10000
v2,EJ-230,-200,-2.19134126048,0.00131773968055,10000
v2,EJ-230,0,-0.00169412560624,0.00126881993044,10000
v2,EJ-230,200,2.19257964634,0.00132104496205,10000
v2,EJ-230,500,5.4973472331,0.00155188633337,10000
v2,EJ-230,650,7.17472737938,0.00167260134256,10000
old,EJ-200,-650,-7.15415447261,0.00158362834541,10000
old,EJ-200,-500,-5.46763182098,0.00153906194509,10000
old,EJ-200,-200,-2.18129907291,0.00145722273171,10000
old,EJ-200,0,2.86235700532e-05,0.00144883814019,10000
old,EJ-200,200,2.1821924081,0.00144660531321,10000
old,EJ-200,500,5.46948112667,0.00156183877696,10000
old,EJ-200,650,7.15603890452,0.00159587598839,10000
old,EJ-204,-650,-7.17377624555,0.0016607388201,10000
old,EJ-204,-500,-5.49115029017,0.0015845820803,10000
old,EJ-204,-200,-2.19214347264,0.00139007087896,10000
old,EJ-204,0,0.00123261515264,0.00137411606757,10000
old,EJ-204,200,2.19132593765,0.00141132985048,10000
old,EJ-204,500,5.49153491019,0.00157723697969,10000
old,EJ-204,650,7.1716334748,0.00166930568285,10000
old,EJ-230,-650,-7.17276053657,0.00167234069388,10000
old,EJ-230,-500,-5.49213173031,0.00154601201796,10000
old,EJ-230,-200,-2.19134126048,0.00131773968055,10000
old,EJ-230,0,-0.00169412560624,0.00126881993044,10000
old,EJ-230,200,2.19257964634,0.00132104496205,10000
old,EJ-230,500,5.4973472331,0.00155188633337,10000
old,EJ-230,650,7.17472737938,0.00167260134256,10000
