campaign,material,observable,slope_ns_per_mm,slope_error_ns_per_mm,intercept_ns,intercept_error_ns,chi2,ndf,chi2_ndf,chi2_flag,v_eff_one_end_mm_ns,v_eff_error_mm_ns,v_eff_two_end_mm_ns
old,EJ-200,tL,0.00552938717438,6.81270034913e-07,4.11635782842,0.000416895631941,5584.17264923,5,1116.83452985,*,180.851868112,0.0222825703133,
old,EJ-200,tR,-0.0055288481527,6.79870722779e-07,4.11559237436,0.000414233442322,5414.77022,5,1082.954044,*,180.869499827,0.022241138512,
old,EJ-200,tdiff,0.0109760010728,1.31270452172e-06,0.000646396068858,0.000572734988018,825.770369074,5,165.154073815,*,,0.0217925823238,182.215725631
old,EJ-204,tL,0.00553101194339,6.82723258565e-07,4.1141443698,0.000412714318695,2820.13607572,5,564.027215144,*,180.798741756,0.0223169841937,
old,EJ-204,tR,-0.00553104466815,6.82568961811e-07,4.11419821543,0.000411853884966,2670.98132621,5,534.196265243,*,180.797672049,0.0223116764938,
old,EJ-204,tdiff,0.0110100824045,1.35376795527e-06,-0.000109023629211,0.000570653168528,447.922788545,5,89.5845577089,*,,0.0223353666747,181.651683115
old,EJ-230,tL,0.00551999918992,6.65537348389e-07,4.10351778352,0.000396618103179,1376.52540429,5,275.305080859,*,181.159446876,0.0218421006527,
old,EJ-230,tR,-0.00551849155352,6.63314525126e-07,4.10273069003,0.00039476157017,1426.10300302,5,285.220600605,*,181.208939128,0.0217810465488,
old,EJ-230,tdiff,0.0110125661697,1.34056426821e-06,0.000783807174353,0.000548931481384,419.263482645,5,83.8526965289,*,,0.0221075478274,181.610713542
v2,EJ-200,tL,0.00557829932142,6.63290921803e-07,4.15873252643,0.000410881512807,10351.5331569,5,2070.30663138,*,179.266106457,0.0213157405418,
v2,EJ-200,tR,-0.00557838109947,6.61762857644e-07,4.15889141099,0.000409720876432,10222.4372437,5,2044.48744873,*,179.263478448,0.0212660106317,
v2,EJ-200,tdiff,0.0110418403677,1.29847513917e-06,-8.0310501601e-05,0.000567899825095,1392.66908762,5,278.533817523,*,,0.0213000540829,181.129226053
v2,EJ-204,tL,0.00556219627096,6.59241025416e-07,4.14257454577,0.000402896316733,5394.94222926,5,1078.98844585,*,179.7850977,0.0213084376006,
v2,EJ-204,tR,-0.00556328184118,6.62064631201e-07,4.14312070632,0.000404725153822,5144.10342261,5,1028.82068452,*,179.750016006,0.0213913534229,
v2,EJ-204,tdiff,0.0110498823604,1.31988092575e-06,-0.000644922324522,0.000557566917755,928.121210421,5,185.624242084,*,,0.0216196888584,180.997402033
v2,EJ-230,tL,0.00551999918992,6.65537348389e-07,4.10351778352,0.000396618103179,1376.52540429,5,275.305080859,*,181.159446876,0.0218421006527,
v2,EJ-230,tR,-0.00551849155352,6.63314525126e-07,4.10273069003,0.00039476157017,1426.10300302,5,285.220600605,*,181.208939128,0.0217810465488,
v2,EJ-230,tdiff,0.0110125661697,1.34056426821e-06,0.000783807174353,0.000548931481384,419.263482645,5,83.8526965289,*,,0.0221075478274,181.610713542
