campaign,material,x_mm,mean_tdiff_ns,sem_tdiff_ns,linear_prediction_ns,linear_residual_ps,linear_chi2_ndf,linear_chi2_flag,x_low_mm,x_high_mm,secant_slope_ns_per_mm,v_eff_two_end_mm_ns,v_eff_one_end_mm_ns,cubic_a1_ns_per_mm,cubic_a1_error_ns_per_mm,cubic_a3_ns_per_mm3,cubic_a3_error_ns_per_mm3,cubic_chi2,cubic_ndf,cubic_chi2_ndf,cubic_chi2_flag
old,EJ-200,-650,-7.15415447261,0.00158362834541,-7.13375430122,-20.4001713824,165.154073815,*,,,,,,,,,,,,,
old,EJ-200,-500,-5.46763182098,0.00153906194509,-5.48735414031,19.722319326,165.154073815,*,,,,,,,,,,,,,
old,EJ-200,-200,-2.18129907291,0.00145722273171,-2.19455381848,13.2547455686,165.154073815,*,,,,,,,,,,,,,
old,EJ-200,0,2.86235700532e-05,0.00144883814019,0.000646396068858,-0.617772498805,165.154073815,*,,,,,,,,,,,,,
old,EJ-200,200,2.1821924081,0.00144660531321,2.19584661062,-13.6542025239,165.154073815,*,,,,,,,,,,,,,
old,EJ-200,500,5.46948112667,0.00156183877696,5.48864693245,-19.1658057728,165.154073815,*,,,,,,,,,,,,,
old,EJ-200,650,7.15603890452,0.00159587598839,7.13504709336,20.9918111574,165.154073815,*,,,,,,,,,,,,,
old,EJ-200,,,,,,,,-650,-500,0.0112434843441,177.880800896,88.9404004481,,,,,,,,
old,EJ-200,,,,,,,,-500,-200,0.0109544424936,182.574330111,91.2871650554,,,,,,,,
old,EJ-200,,,,,,,,-200,0,0.0109066384824,183.374556993,91.6872784967,,,,,,,,
old,EJ-200,,,,,,,,0,200,0.0109108189226,183.304297705,91.6521488525,,,,,,,,
old,EJ-200,,,,,,,,200,500,0.0109576290619,182.521235999,91.2606179994,,,,,,,,
old,EJ-200,,,,,,,,500,650,0.011243718519,177.877096143,88.9385480714,,,,,,,,
old,EJ-200,,,,,,,,,,,,,0.0108678824954,4.12543837532e-06,3.22085923717e-10,1.16520130352e-11,62.9593251999,5,12.59186504,*
old,EJ-204,-650,-7.17377624555,0.0016607388201,-7.15666258653,-17.1136590222,89.5845577089,*,,,,,,,,,,,,,
old,EJ-204,-500,-5.49115029017,0.0015845820803,-5.50515022586,13.9999356853,89.5845577089,*,,,,,,,,,,,,,
old,EJ-204,-200,-2.19214347264,0.00139007087896,-2.20212550452,9.98203188018,89.5845577089,*,,,,,,,,,,,,,
old,EJ-204,0,0.00123261515264,0.00137411606757,-0.000109023629211,1.34163878185,89.5845577089,*,,,,,,,,,,,,,
old,EJ-204,200,2.19132593765,0.00141132985048,2.20190745726,-10.5815196104,89.5845577089,*,,,,,,,,,,,,,
