material,pulse_model,cfd_fraction,extreme,theta_q05_weighted_mean_deg,theta_median_weighted_mean_deg,theta_q95_weighted_mean_deg,reference_experimental_theta_deg
EJ-200,fast_contrast,0.14,L,7.736602075187062,29.026504631830804,45.84046150384509,35.4
EJ-200,fast_contrast,0.14,R,7.784639766854823,29.027475546255086,45.964840471932035,35.4
EJ-200,fast_contrast,0.24,L,8.450961480088377,31.41152993190035,49.28996242664634,35.4
EJ-200,fast_contrast,0.24,R,8.317647791193579,31.45122940339816,49.25308236141893,35.4
EJ-200,fastic_measured,0.14,L,8.939255670963892,33.22002210033466,50.97340957087941,35.4
EJ-200,fastic_measured,0.14,R,8.83959552117139,33.24169865224526,50.97483592876205,35.4
EJ-200,fastic_measured,0.24,L,9.786605470779003,35.79703743677034,53.81377995193577,35.4
EJ-200,fastic_measured,0.24,R,9.8738918384559,35.82114720567573,53.79789165004603,35.4
EJ-200,penarodriguez_shortened,0.14,L,8.939255670963892,33.22002210033466,50.97340957087941,35.4
EJ-200,penarodriguez_shortened,0.14,R,8.83959552117139,33.24169865224526,50.97483592876205,35.4
EJ-200,penarodriguez_shortened,0.24,L,9.786605470779003,35.79703743677034,53.81377995193577,35.4
EJ-200,penarodriguez_shortened,0.24,R,9.8738918384559,35.82114720567573,53.79789165004603,35.4
EJ-204,fast_contrast,0.14,L,7.561490360892243,28.64328297709323,45.2626233783801,35.4
EJ-204,fast_contrast,0.14,R,7.530224823029273,28.69623341228933,45.3196122873508,35.4
EJ-204,fast_contrast,0.24,L,8.192333253901895,30.95260577014811,48.134306297812955,35.4
EJ-204,fast_contrast,0.24,R,8.148547608777,30.896730931131668,48.138094579181846,35.4
EJ-204,fastic_measured,0.14,L,8.969064178534362,32.94365447404683,50.27094825444998,35.4
EJ-204,fastic_measured,0.14,R,8.843577575369778,32.99752554161387,50.35377734744482,35.4
EJ-204,fastic_measured,0.24,L,9.799645096774785,35.380857030871475,52.939333402912894,35.4
EJ-204,fastic_measured,0.24,R,9.763496270751112,35.46088137249189,53.126753528780796,35.4
EJ-204,penarodriguez_shortened,0.14,L,8.969064178534362,32.94365447404683,50.27094825444998,35.4
EJ-204,penarodriguez_shortened,0.14,R,8.843577575369778,32.99752554161387,50.35377734744482,35.4
EJ-204,penarodriguez_shortened,0.24,L,9.799645096774785,35.380857030871475,52.939333402912894,35.4
EJ-204,penarodriguez_shortened,0.24,R,9.763496270751112,35.46088137249189,53.126753528780796,35.4
EJ-230,fast_contrast,0.14,L,7.402996783348184,28.009239004388533,43.1670538068519,35.4
EJ-230,fast_contrast,0.14,R,7.415269021439454,27.962943746270785,43.183931318695684,35.4
EJ-230,fast_contrast,0.24,L,8.194382892608942,30.55690352001461,46.40851462178397,35.4
EJ-230,fast_contrast,0.24,R,8.253540464530802,30.522226570574848,46.44513801302581,35.4
EJ-230,fastic_measured,0.14,L,8.982252443168791,32.439419449960106,49.05655839680068,35.4
EJ-230,fastic_measured,0.14,R,8.933476326200386,32.55569548046814,49.145487418595216,35.4
EJ-230,fastic_measured,0.24,L,9.907938767495626,35.44104039841818,52.02820853130946,35.4
EJ-230,fastic_measured,0.24,R,9.874768886282313,35.57087034269042,52.01967653552112,35.4
EJ-230,penarodriguez_shortened,0.14,L,8.982252443168791,32.439419449960106,49.05655839680068,35.4
EJ-230,penarodriguez_shortened,0.14,R,8.933476326200386,32.55569548046814,49.145487418595216,35.4
EJ-230,penarodriguez_shortened,0.24,L,9.907938767495626,35.44104039841818,52.02820853130946,35.4
EJ-230,penarodriguez_shortened,0.24,R,9.874768886282313,35.57087034269042,52.01967653552112,35.4
