material,pulse_model,cfd_fraction,x_mm,theta_q05_weighted_mean_deg,theta_median_weighted_mean_deg,theta_q95_weighted_mean_deg,reference_experimental_theta_deg
EJ-200,fast_contrast,0.14,-650,3.2960040835862237,31.948838514033447,51.40458619377264,35.4
EJ-200,fast_contrast,0.14,-500,7.374145574975212,28.54100109892795,44.85328966051741,35.4
EJ-200,fast_contrast,0.14,-200,7.424612857205586,26.786489123673398,42.76746790277291,35.4
EJ-200,fast_contrast,0.14,0,7.073104392152652,25.950607330967596,42.222614946499036,35.4
EJ-200,fast_contrast,0.14,200,7.336767517405696,26.563860251438793,42.828880844669705,35.4
EJ-200,fast_contrast,0.14,500,7.547542799731711,28.763892347219908,45.10105719667431,35.4
EJ-200,fast_contrast,0.14,650,3.686171785953696,32.024660401440066,51.446399578032306,35.4
EJ-200,fast_contrast,0.24,-650,3.744567537531754,34.394049175665714,55.30155918800403,35.4
EJ-200,fast_contrast,0.24,-500,8.194910703120515,31.622393729663244,49.57545535359543,35.4
EJ-200,fast_contrast,0.24,-200,7.822526966488655,28.752986486988963,44.95069007565435,35.4
EJ-200,fast_contrast,0.24,0,7.579532835158244,28.068636360810068,44.263770280426385,35.4
EJ-200,fast_contrast,0.24,200,7.875319474912485,28.779576982312754,44.94474952707898,35.4
EJ-200,fast_contrast,0.24,500,8.19947518537357,31.748780644916998,49.56929559908464,35.4
EJ-200,fast_contrast,0.24,650,4.2170667442482825,34.72257335443295,55.57498030844754,35.4
EJ-200,fastic_measured,0.14,-650,5.094054114873263,36.69342203150497,57.41485384846069,35.4
EJ-200,fastic_measured,0.14,-500,9.141094112067059,33.13876022226681,50.515650601176795,35.4
EJ-200,fastic_measured,0.14,-200,8.479694349226714,30.703424431179172,46.92643844735448,35.4
EJ-200,fastic_measured,0.14,0,8.311073827791903,29.993696346332865,45.85881807429872,35.4
EJ-200,fastic_measured,0.14,200,8.043640999133622,30.74730431353443,46.891948563958216,35.4
EJ-200,fastic_measured,0.14,500,8.391018018984571,33.27031109591676,50.73221293921844,35.4
EJ-200,fastic_measured,0.14,650,5.134199918019092,36.488138812720315,57.432146868575735,35.4
EJ-200,fastic_measured,0.24,-650,6.1401664289400335,38.98681720906465,60.1906808706029,35.4
EJ-200,fastic_measured,0.24,-500,9.47433231160439,35.43077824927635,53.51160937187683,35.4
EJ-200,fastic_measured,0.24,-200,9.204325602939072,33.40589346713958,49.47573693338446,35.4
EJ-200,fastic_measured,0.24,0,9.205277484568837,33.37983530186044,49.4207434337547,35.4
EJ-200,fastic_measured,0.24,200,9.563815361546279,33.67501186130576,49.55600295319349,35.4
EJ-200,fastic_measured,0.24,500,9.960391632428447,35.52529786068454,53.57847423622186,35.4
EJ-200,fastic_measured,0.24,650,6.141933818709198,38.82694035408205,60.01526128435299,35.4
EJ-200,penarodriguez_shortened,0.14,-650,5.094054114873263,36.69342203150497,57.41485384846069,35.4
EJ-200,penarodriguez_shortened,0.14,-500,9.141094112067059,33.13876022226681,50.515650601176795,35.4
EJ-200,penarodriguez_shortened,0.14,-200,8.479694349226714,30.703424431179172,46.92643844735448,35.4
EJ-200,penarodriguez_shortened,0.14,0,8.311073827791903,29.993696346332865,45.85881807429872,35.4
EJ-200,penarodriguez_shortened,0.14,200,8.043640999133622,30.74730431353443,46.891948563958216,35.4
EJ-200,penarodriguez_shortened,0.14,500,8.391018018984571,33.27031109591676,50.73221293921844,35.4
EJ-200,penarodriguez_shortened,0.14,650,5.134199918019092,36.488138812720315,57.432146868575735,35.4
EJ-200,penarodriguez_shortened,0.24,-650,6.1401664289400335,38.98681720906465,60.1906808706029,35.4
EJ-200,penarodriguez_shortened,0.24,-500,9.47433231160439,35.43077824927635,53.51160937187683,35.4
EJ-200,penarodriguez_shortened,0.24,-200,9.204325602939072,33.40589346713958,49.47573693338446,35.4
EJ-200,penarodriguez_shortened,0.24,0,9.205277484568837,33.37983530186044,49.4207434337547,35.4
EJ-200,penarodriguez_shortened,0.24,200,9.563815361546279,33.67501186130576,49.55600295319349,35.4
EJ-200,penarodriguez_shortened,0.24,500,9.960391632428447,35.52529786068454,53.57847423622186,35.4
EJ-200,penarodriguez_shortened,0.24,650,6.141933818709198,38.82694035408205,60.01526128435299,35.4
EJ-204,fast_contrast,0.14,-650,3.7617035610477645,31.775040886515573,50.99717467193847,35.4
EJ-204,fast_contrast,0.14,-500,7.105274005270627,28.11066510396106,44.23692099406847,35.4
EJ-204,fast_contrast,0.14,-200,7.123604665952551,26.122902925242514,42.12925502109911,35.4
EJ-204,fast_contrast,0.14,0,6.974075824506243,26.210631891070527,41.28001539181759,35.4
EJ-204,fast_contrast,0.14,200,7.4316571812175125,26.083416293186296,42.135107313760344,35.4
EJ-204,fast_contrast,0.14,500,6.904288468103991,28.15007118305039,44.1884161880162,35.4
EJ-204,fast_contrast,0.14,650,2.512354331270686,31.724995543337084,51.011037626715044,35.4
EJ-204,fast_contrast,0.24,-650,4.209326743818251,33.880900267921554,53.524394368215965,35.4
EJ-204,fast_contrast,0.24,-500,7.876929904504426,31.030191193347676,48.29583149853196,35.4
EJ-204,fast_contrast,0.24,-200,7.898657359700807,28.700616846286373,44.505462290364676,35.4
EJ-204,fast_contrast,0.24,0,7.428645971894404,27.70332297470843,43.59973030739862,35.4
EJ-204,fast_contrast,0.24,200,7.68532148926639,28.546233195505863,44.43201473808451,35.4
EJ-204,fast_contrast,0.24,500,7.811355108802666,30.77076554108759,48.247497104495075,35.4
EJ-204,fast_contrast,0.24,650,4.099833554818516,33.675638995913154,53.634213659511225,35.4
EJ-204,fastic_measured,0.14,-650,4.994975684644138,36.18305564706092,56.81596193884001,35.4
EJ-204,fastic_measured,0.14,-500,8.811064078169728,33.102001623385775,49.88691030880188,35.4
EJ-204,fastic_measured,0.14,-200,8.360150555668149,30.173089619694395,46.162248245427016,35.4
EJ-204,fastic_measured,0.14,0,8.09840803206034,29.686522704147162,45.193944845410684,35.4
EJ-204,fastic_measured,0.14,200,8.408404853643361,30.157696847177476,46.260271510059,35.4
EJ-204,fastic_measured,0.14,500,8.886517650077607,33.36059783706301,50.11274132920444,35.4
EJ-204,fastic_measured,0.14,650,5.219336053684303,36.41217676960911,56.74677240188088,35.4
EJ-204,fastic_measured,0.24,-650,6.44417833304222,38.35139264224639,59.17095432114941,35.4
EJ-204,fastic_measured,0.24,-500,9.981552309278268,35.16182330116795,52.808540736284506,35.4
EJ-204,fastic_measured,0.24,-200,9.229652917751519,33.07464389897677,48.69534155128082,35.4
EJ-204,fastic_measured,0.24,0,8.905083651008548,32.76621910018991,48.57376230404756,35.4
EJ-204,fastic_measured,0.24,200,9.538672539012474,33.2665343210238,48.57624947473122,35.4
EJ-204,fastic_measured,0.24,500,9.664648810949469,35.44308470527767,52.98373917505542,35.4
EJ-204,fastic_measured,0.24,650,5.816859714607795,38.54633483025184,59.172202550654966,35.4
EJ-204,penarodriguez_shortened,0.14,-650,4.994975684644138,36.18305564706092,56.81596193884001,35.4
EJ-204,penarodriguez_shortened,0.14,-500,8.811064078169728,33.102001623385775,49.88691030880188,35.4
EJ-204,penarodriguez_shortened,0.14,-200,8.360150555668149,30.173089619694395,46.162248245427016,35.4
EJ-204,penarodriguez_shortened,0.14,0,8.09840803206034,29.686522704147162,45.193944845410684,35.4
EJ-204,penarodriguez_shortened,0.14,200,8.408404853643361,30.157696847177476,46.260271510059,35.4
EJ-204,penarodriguez_shortened,0.14,500,8.886517650077607,33.36059783706301,50.11274132920444,35.4
EJ-204,penarodriguez_shortened,0.14,650,5.219336053684303,36.41217676960911,56.74677240188088,35.4
EJ-204,penarodriguez_shortened,0.24,-650,6.44417833304222,38.35139264224639,59.17095432114941,35.4
EJ-204,penarodriguez_shortened,0.24,-500,9.981552309278268,35.16182330116795,52.808540736284506,35.4
EJ-204,penarodriguez_shortened,0.24,-200,9.229652917751519,33.07464389897677,48.69534155128082,35.4
EJ-204,penarodriguez_shortened,0.24,0,8.905083651008548,32.76621910018991,48.57376230404756,35.4
EJ-204,penarodriguez_shortened,0.24,200,9.538672539012474,33.2665343210238,48.57624947473122,35.4
EJ-204,penarodriguez_shortened,0.24,500,9.664648810949469,35.44308470527767,52.98373917505542,35.4
EJ-204,penarodriguez_shortened,0.24,650,5.816859714607795,38.54633483025184,59.172202550654966,35.4
EJ-230,fast_contrast,0.14,-650,2.4344978617958724,31.346206061460904,49.896899132015534,35.4
