material,x_mm,extreme,estimator,mean_time_ns,n_events_used,n_events_excluded,median_n_boundary_encounters,median_path_length_mm,fraction_cherenkov,theta_q05_deg,theta_median_deg,theta_q95_deg,pulse_model,tau_rise_ns,tau_fall_ns,cfd_fraction,sem_time_ns
EJ-200,0,L,N1,4.175862406712618,10000,0,11.0,713.7421570097924,0.0391,3.3649314541216775,11.378454532640083,20.321204900512686,,,,,
EJ-200,0,L,N2,4.266398236156581,10000,0,12.0,718.4435222527304,0.0229,3.915695694009291,13.107729044534493,22.64173441708298,,,,,
EJ-200,0,L,N5,4.425843045612798,10000,0,15.0,727.1139184598383,0.0103,4.587351449073246,15.768993100128515,26.195622089658638,,,,,
EJ-200,0,L,N20,4.811085413289858,10000,0,20.0,751.7004611552893,0.0715,5.869102376678633,21.431750154352585,38.20070104688811,,,,,
EJ-200,0,L,N100,5.795551050545139,10000,0,30.0,809.4495019180639,0.0214,8.406641963815208,30.308835666915527,46.26717523817906,,,,,
EJ-200,0,L,CFD_fastic_measured_14,5.794682406712618,10000,0,30.0,806.6732943629686,0.0225,8.510248918605757,29.894976390818517,46.015986278313285,fastic_measured,2.0,3.0,0.14,0.0007645364830294132
EJ-200,0,L,CFD_fastic_measured_24,6.237500406712617,10000,0,34.0,837.0387448169986,0.0124,9.274692468169015,33.45164936005574,49.44510704159594,fastic_measured,2.0,3.0,0.24,0.0008363917064335956
EJ-200,0,L,CFD_penarodriguez_shortened_14,5.794682406712618,10000,0,30.0,806.6732943629686,0.0225,8.510248918605757,29.894976390818517,46.015986278313285,penarodriguez_shortened,2.0,3.0,0.14,0.0007645364830294132
EJ-200,0,L,CFD_penarodriguez_shortened_24,6.237500406712617,10000,0,34.0,837.0387448169986,0.0124,9.274692468169015,33.45164936005574,49.44510704159594,penarodriguez_shortened,2.0,3.0,0.24,0.0008363917064335956
EJ-200,0,L,CFD_fast_contrast_14,5.228266406712617,10000,0,25.0,778.0556025793335,0.0739,7.116983524439693,25.984670524800713,42.265748576173074,fast_contrast,0.5,2.0,0.14,0.0007368851588503461
EJ-200,0,L,CFD_fast_contrast_24,5.521572406712618,10000,0,28.0,791.7222327095906,0.0341,7.588360909420117,28.051316524321223,44.19249885031517,fast_contrast,0.5,2.0,0.24,0.0008394333263808733
EJ-200,0,R,N1,4.176094065405829,10000,0,11.0,713.7769116513891,0.0404,3.5969818938724822,11.408253841961802,20.290137610792517,,,,,
EJ-200,0,R,N2,4.2672300103667835,10000,0,12.0,719.0605843682558,0.0253,3.6404989619083126,13.31929759846549,22.582718243710833,,,,,
EJ-200,0,R,N5,4.424890312318421,10000,0,15.0,727.1606735950354,0.0093,4.576354683688538,15.805749508378026,26.35795612376197,,,,,
EJ-200,0,R,N20,4.810431461822118,10000,0,21.0,752.0632850684309,0.0681,5.691531880921928,21.516793567286207,38.096903680904816,,,,,
EJ-200,0,R,N100,5.7984444688512236,10000,0,30.0,807.2072938790559,0.0215,7.805284845114233,30.043254592987708,46.283412960316525,,,,,
EJ-200,0,R,CFD_fastic_measured_14,5.795420065405829,10000,0,30.0,807.7394785298027,0.023,8.111898736978047,30.09241630184722,45.701649870284164,fastic_measured,2.0,3.0,0.14,0.0007735228699849518
EJ-200,0,R,CFD_fastic_measured_24,6.238784065405829,10000,0,34.0,835.7494269393917,0.0134,9.135862500968658,33.30802124366514,49.39637982591346,fastic_measured,2.0,3.0,0.24,0.0008532948965874606
EJ-200,0,R,CFD_penarodriguez_shortened_14,5.795420065405829,10000,0,30.0,807.7394785298027,0.023,8.111898736978047,30.09241630184722,45.701649870284164,penarodriguez_shortened,2.0,3.0,0.14,0.0007735228699849518
EJ-200,0,R,CFD_penarodriguez_shortened_24,6.238784065405829,10000,0,34.0,835.7494269393917,0.0134,9.135862500968658,33.30802124366514,49.39637982591346,penarodriguez_shortened,2.0,3.0,0.24,0.0008532948965874606
EJ-200,0,R,CFD_fast_contrast_14,5.228192065405828,10000,0,26.0,777.5324958691165,0.069,7.029225259865612,25.916544137134473,42.179481316825,fast_contrast,0.5,2.0,0.14,0.0007450319758675783
EJ-200,0,R,CFD_fast_contrast_24,5.521992065405829,10000,0,27.0,792.7038629996648,0.036,7.570704760896372,28.085956197298913,44.335041710537595,fast_contrast,0.5,2.0,0.24,0.0008544150257875004
