material,x_mm,extreme,estimator,mean_time_ns,n_events_used,n_events_excluded,median_n_boundary_encounters,median_path_length_mm,fraction_cherenkov,theta_q05_deg,theta_median_deg,theta_q95_deg,pulse_model,tau_rise_ns,tau_fall_ns,cfd_fraction,sem_time_ns,mean_path_over_daxial
EJ-230,-200,L,N1,3.0049760350417145,10000,0,6.0,507.85213734128655,0.0428,1.671673930190405,10.143579507288784,19.271976780894228,,,,,,
EJ-230,-200,L,N2,3.070593547564899,10000,0,8.0,511.7435137897054,0.0283,2.560323773434983,12.401416846282595,21.86147739497634,,,,,,
EJ-230,-200,L,N5,3.1848748764984447,10000,0,10.0,518.6984134575544,0.0124,3.784320652406827,15.535083813651887,25.88702179330373,,,,,,
EJ-230,-200,L,N20,3.467072328915989,10000,0,14.0,535.2734406882763,0.03,5.692010868940509,20.982087969434804,34.42513856392811,,,,,,
EJ-230,-200,L,N100,4.157930948758638,10000,0,22.0,583.7101165145774,0.0427,8.901245705873167,31.191634213833655,46.786188110383506,,,,,,
EJ-230,-200,L,CFD_fastic_measured_14,4.333032035041715,10000,0,23.0,593.8854719559708,0.0323,9.57365380793462,32.85628190880667,48.97343415877635,fastic_measured,2.0,3.0,0.14,0.0005485271723100703,1.2330366971944078
EJ-230,-200,L,CFD_fastic_measured_24,4.695986035041714,10000,0,27.0,620.9604697270288,0.0219,10.915273530776215,36.65387395979032,51.78905536043332,fastic_measured,2.0,3.0,0.24,0.0006050240074657758,1.2982184067428975
EJ-230,-200,L,CFD_penarodriguez_shortened_14,4.333032035041715,10000,0,23.0,593.8854719559708,0.0323,9.57365380793462,32.85628190880667,48.97343415877635,penarodriguez_shortened,2.0,3.0,0.14,0.0005485271723100703,1.2330366971944078
EJ-230,-200,L,CFD_penarodriguez_shortened_24,4.695986035041714,10000,0,27.0,620.9604697270288,0.0219,10.915273530776215,36.65387395979032,51.78905536043332,penarodriguez_shortened,2.0,3.0,0.24,0.0006050240074657758,1.2982184067428975
EJ-230,-200,L,CFD_fast_contrast_14,3.8741700350417143,10000,0,20.0,568.1473616461158,0.0867,7.460980866509692,28.418537362261553,43.85497142646486,fast_contrast,0.5,2.0,0.14,0.0005178611544974349,1.1629113216214368
EJ-230,-200,L,CFD_fast_contrast_24,4.109502035041714,10000,0,22.0,580.2488522163742,0.0388,8.717328140732372,30.63246310752898,46.25443458907356,fast_contrast,0.5,2.0,0.24,0.0005907734462264902,1.199032423739518
EJ-230,-200,R,N1,5.196317295521897,10000,0,11.0,911.4085506678251,0.0315,1.9739676565854822,9.213522634238956,17.79012632902668,,,,,,
EJ-230,-200,R,N2,5.298004374712275,10000,0,13.0,917.5709610360511,0.0177,2.7710818853153825,11.35467114979586,20.1950731264028,,,,,,
EJ-230,-200,R,N5,5.48231909584936,10000,0,16.0,928.2330505199769,0.0062,3.7608789766173167,14.251554455542948,23.837162836027936,,,,,,
EJ-230,-200,R,N20,5.982571547026108,10000,0,25.0,960.1806183008462,0.0087,5.611825212024001,20.51021279777926,32.50298266545328,,,,,,
EJ-230,-200,R,N100,7.76755137386368,10000,0,47.0,1090.6689605337808,0.0144,9.842358434038886,35.05702999896189,50.39614333607045,,,,,,
EJ-230,-200,R,CFD_fastic_measured_14,6.576661295521896,10000,0,35.0,1014.1251536112145,0.0785,7.295969548740374,27.5814422609061,41.52291236774002,fastic_measured,2.0,3.0,0.14,0.0009689906392231508,1.1749927390535277
EJ-230,-200,R,CFD_fastic_measured_24,6.954765295521898,10000,0,39.0,1035.4504212061297,0.0338,8.03571055422142,29.86334572513215,44.10536950940495,fastic_measured,2.0,3.0,0.24,0.0010622735380486365,1.195740167534315
EJ-230,-200,R,CFD_penarodriguez_shortened_14,6.576661295521896,10000,0,35.0,1014.1251536112145,0.0785,7.295969548740374,27.5814422609061,41.52291236774002,penarodriguez_shortened,2.0,3.0,0.14,0.0009689906392231508,1.1749927390535277
EJ-230,-200,R,CFD_penarodriguez_shortened_24,6.954765295521898,10000,0,39.0,1035.4504212061297,0.0338,8.03571055422142,29.86334572513215,44.10536950940495,penarodriguez_shortened,2.0,3.0,0.24,0.0010622735380486365,1.195740167534315
EJ-230,-200,R,CFD_fast_contrast_14,6.089171295521897,10000,0,26.0,967.5199615580841,0.0069,5.723487870172525,21.581312030205638,33.68931203604372,fast_contrast,0.5,2.0,0.14,0.0010434125388712864,1.0931958016650039
EJ-230,-200,R,CFD_fast_contrast_24,6.352501295521896,10000,0,34.0,998.9081934108748,0.1219,6.517850001368426,25.90649187552031,39.956040793386954,fast_contrast,0.5,2.0,0.24,0.0010752500851946981,1.1446410856415412
