material,x_mm,extreme,estimator,mean_time_ns,n_events_used,n_events_excluded,median_n_boundary_encounters,median_path_length_mm,fraction_cherenkov,theta_q05_deg,theta_median_deg,theta_q95_deg,pulse_model,tau_rise_ns,tau_fall_ns,cfd_fraction,sem_time_ns
EJ-230,-500,L,N1,1.3595067189362056,10000,0,3.0,204.78342397977065,0.0718,0.0,11.908949145412272,23.672600847330123,,,,,
EJ-230,-500,L,N2,1.3996781535996077,10000,0,4.0,207.24830014692319,0.0571,1.6326111224730084,15.003449236639344,26.343969613456977,,,,,
EJ-230,-500,L,N5,1.4680936109807416,10000,0,5.0,211.30426534060706,0.0547,2.4912049271652736,18.828071597887018,32.12369352346824,,,,,
EJ-230,-500,L,N20,1.5857102574266104,10000,0,16.0,258.4812564953254,0.5257,8.156519820973966,39.38710731472956,42.0025505818676,,,,,
EJ-230,-500,L,N100,1.9364492517770753,10000,0,10.0,240.2014524886362,0.0817,7.995185947123342,33.579755593359664,51.809929450553085,,,,,
EJ-230,-500,L,CFD_fastic_measured_14,2.5546967189362055,10000,0,13.0,262.4763767856879,0.0205,11.162144138644438,40.4365264075394,59.77848127094397,fastic_measured,2.0,3.0,0.14,0.0003401105442978939
EJ-230,-500,L,CFD_fastic_measured_24,2.892812718936206,10000,0,14.0,271.26985509853387,0.0116,11.793743490969453,42.68543829063659,62.527498788174356,fastic_measured,2.0,3.0,0.24,0.00037191530664405515
EJ-230,-500,L,CFD_penarodriguez_shortened_14,2.5546967189362055,10000,0,13.0,262.4763767856879,0.0205,11.162144138644438,40.4365264075394,59.77848127094397,penarodriguez_shortened,2.0,3.0,0.14,0.0003401105442978939
EJ-230,-500,L,CFD_penarodriguez_shortened_24,2.892812718936206,10000,0,14.0,271.26985509853387,0.0116,11.793743490969453,42.68543829063659,62.527498788174356,penarodriguez_shortened,2.0,3.0,0.24,0.00037191530664405515
EJ-230,-500,L,CFD_fast_contrast_14,2.1217567189362057,10000,0,10.0,246.43790846160283,0.028,9.149234323255055,35.66792066465377,53.585699518723416,fast_contrast,0.5,2.0,0.14,0.00033498334419291914
EJ-230,-500,L,CFD_fast_contrast_24,2.3449367189362054,10000,0,12.0,255.97137522357846,0.0292,10.06125995857006,38.59844019171895,57.388222719523945,fast_contrast,0.5,2.0,0.24,0.0003660389122858695
EJ-230,-500,R,N1,6.8516384492415785,10000,0,14.0,1214.4403230658988,0.0206,2.038205683472851,8.964221059092274,17.58729072758324,,,,,
EJ-230,-500,R,N2,6.990354810640805,10000,0,17.0,1222.952592703174,0.0109,2.805557456322817,11.226447533475092,20.41279730935485,,,,,
EJ-230,-500,R,N5,7.245821949916327,10000,0,23.0,1237.8688693002032,0.0034,3.577884156846063,14.302702174181956,24.174692976475054,,,,,
EJ-230,-500,R,N20,8.00472962434901,10000,0,36.0,1289.32502061208,0.0196,5.81780489481654,21.60652542013589,34.52628885884704,,,,,
EJ-230,-500,R,N100,12.743474916156154,6548,3452,93.0,1657.3342189939926,0.01695174098961515,13.39826330175634,45.33708618088855,62.25198132008855,,,,,
EJ-230,-500,R,CFD_fastic_measured_14,8.24160644924158,10000,0,40.0,1311.859969158429,0.046,6.348335067729399,24.041055027967147,39.408705270681885,fastic_measured,2.0,3.0,0.14,0.0014807819824310556
EJ-230,-500,R,CFD_fastic_measured_24,8.64519844924158,10000,0,48.0,1355.1587812349849,0.0784,7.6784135973466,28.05771009301339,41.095314154653394,fastic_measured,2.0,3.0,0.24,0.0015587599806735721
EJ-230,-500,R,CFD_penarodriguez_shortened_14,8.24160644924158,10000,0,40.0,1311.859969158429,0.046,6.348335067729399,24.041055027967147,39.408705270681885,penarodriguez_shortened,2.0,3.0,0.14,0.0014807819824310556
EJ-230,-500,R,CFD_penarodriguez_shortened_24,8.64519844924158,10000,0,48.0,1355.1587812349849,0.0784,7.6784135973466,28.05771009301339,41.095314154653394,penarodriguez_shortened,2.0,3.0,0.24,0.0015587599806735721
EJ-230,-500,R,CFD_fast_contrast_14,7.7194784492415796,10000,0,30.0,1268.609618296227,0.0023,4.959799426013548,19.063714551161908,30.341540567382225,fast_contrast,0.5,2.0,0.14,0.0014696959559617063
EJ-230,-500,R,CFD_fast_contrast_24,7.99160244924158,10000,0,35.0,1288.5840625449086,0.0051,5.525798963178448,21.52181799239643,33.26871544621854,fast_contrast,0.5,2.0,0.24,0.0016163536754848131
