material,pulse_model,cfd_fraction,slope_ns_per_mm,slope_error_ns_per_mm,chi2,ndf,chi2_ndf,v_eff_two_end_mm_ns,v_eff_error_mm_ns,experimental_reference_mm_ns
EJ-200,fast_contrast,0.14,0.0114179001723,1.19645807663e-06,6353.03305275,5,1270.60661055,175.16355633,0.0183550257526,155
EJ-200,fast_contrast,0.24,0.0115394943858,1.28884580506e-06,9878.22689739,5,1975.64537948,173.31781906,0.0193578623611,155
EJ-200,fastic_measured,0.14,0.0116279417727,1.14686076779e-06,14968.3288553,5,2993.66577107,171.9994853,0.0169642629476,155
EJ-200,fastic_measured,0.24,0.011787811369,1.26259431314e-06,16834.7863372,5,3366.95726743,169.666780151,0.0181730352686,155
EJ-200,penarodriguez_shortened,0.14,0.0116279417727,1.14686076779e-06,14968.3288553,5,2993.66577107,171.9994853,0.0169642629476,155
EJ-200,penarodriguez_shortened,0.24,0.011787811369,1.26259431314e-06,16834.7863372,5,3366.95726743,169.666780151,0.0181730352686,155
EJ-204,fast_contrast,0.14,0.01136733606,1.28386073235e-06,4120.90811407,5,824.181622814,175.942717752,0.0198714936616,155
EJ-204,fast_contrast,0.24,0.0114690289875,1.38511434224e-06,6116.80100781,5,1223.36020156,174.382678968,0.0210601917512,155
EJ-204,fastic_measured,0.14,0.011547938571,1.24175232415e-06,10701.4727569,5,2140.29455138,173.19108408,0.0186232746093,155
EJ-204,fastic_measured,0.24,0.0116790845854,1.34465664452e-06,12921.5778194,5,2584.31556388,171.246298061,0.019716226118,155
EJ-204,penarodriguez_shortened,0.14,0.011547938571,1.24175232415e-06,10701.4727569,5,2140.29455138,173.19108408,0.0186232746093,155
EJ-204,penarodriguez_shortened,0.24,0.0116790845854,1.34465664452e-06,12921.5778194,5,2584.31556388,171.246298061,0.019716226118,155
EJ-230,fast_contrast,0.14,0.0112578837254,1.3449931564e-06,5268.16556333,5,1053.63311267,177.653282693,0.0212244552583,155
EJ-230,fast_contrast,0.24,0.0113671941784,1.47369402009e-06,4406.48082576,5,881.296165152,175.944913812,0.0228102875064,155
EJ-230,fastic_measured,0.14,0.0114449891306,1.35112418591e-06,7911.9816658,5,1582.39633316,174.748964563,0.0206297751611,155
EJ-230,fastic_measured,0.24,0.0115844251406,1.4430189874e-06,9968.2824569,5,1993.65649138,172.645597491,0.0215056744073,155
EJ-230,penarodriguez_shortened,0.14,0.0114449891306,1.35112418591e-06,7911.9816658,5,1582.39633316,174.748964563,0.0206297751611,155
EJ-230,penarodriguez_shortened,0.24,0.0115844251406,1.4430189874e-06,9968.2824569,5,1993.65649138,172.645597491,0.0215056744073,155
