replica,m1_lam,m1_chi2ndf,m1_ok,m2_ls,m2_ll,m2_As,m2_Al,m2_chi2ndf,m2_ok,m3_lam,m3_C,m3_chi2ndf,m3_ok,m4_lam,m4_chi2ndf,m4_ok
1,282.531,3241.87,1,77.0787,386.983,2447.69,382.416,102.098,1,189.414,13.0534,1277.4,1,316.719,1501.76,1
2,263.097,3070.41,1,84.9564,377.705,2151.37,398.55,132.331,1,180.054,15.4493,1497.85,1,278.725,1906.82,1
3,268.444,2335.77,1,94.3482,389.164,1926.65,366.181,56.4442,1,194.311,14.6428,916.15,1,283.527,1729.1,1
4,273.757,2622.68,1,91.1989,384.859,1965.4,381.627,104.004,1,187.644,14.6823,1057.58,1,280.097,2140.14,1
5,325.4,994.436,1,105.317,407.119,1744.73,329.363,29.2766,1,233.005,10.5767,419.234,1,325.4,994.436,1
6,273.469,2674.02,1,90.406,390.307,2008.15,376.858,95.7771,1,191.578,12.6634,1046.81,1,281.486,2180.35,1
7,268.748,2973.55,1,88.3264,399.803,2101.3,347.524,85.7749,1,189.85,13.2749,850.572,1,286.037,2345.08,1
8,240.571,2882.64,1,81.6422,373.144,2183.21,410.892,130.922,1,184.603,15.1884,1240.1,1,265.524,1825.84,1
9,299.268,1546.59,1,100.185,394.499,1764.93,355.545,34.3935,1,206.282,13.338,592.929,1,299.268,1546.59,1
10,314.966,1734.65,1,91.1215,397.551,2337.16,349.651,58.5608,1,218.109,11.7098,913.961,1,336.368,487.108,1
11,332.954,1588.19,1,89.9499,406.157,2274.94,338.039,88.6902,1,225.119,10.0864,686.509,1,342.325,867.704,1
12,298.041,2634.8,1,36.7116,inf,2706.38,14.5226,0,0,179.629,14.7276,1045.76,1,310.299,1654.15,1
13,312.448,2479.83,1,83.4561,391.751,2366.37,365.847,96.0396,1,193.848,13.066,1023.37,1,338.345,1093.75,1
14,279.505,2596.61,1,85.1888,375.157,2265.02,399.43,93.4393,1,184.546,17.1377,1276.68,1,302.362,1043.74,1
15,292.082,2800.06,1,82.176,383.228,2303.14,393.169,111.726,1,192.411,13.2665,1242.01,1,313.034,1204.31,1
16,320.961,2079.29,1,86.7609,388.515,2202.94,379.344,95.8645,1,201.356,12.3417,923.392,1,337.381,867.19,1
17,295.435,1824.5,1,102.891,419.987,1805.41,305.369,43.5165,1,218.799,10.551,478.351,1,304.796,1448.83,1
