replica,m1_lam,m1_chi2ndf,m1_ok,m2_ls,m2_ll,m2_As,m2_Al,m2_chi2ndf,m2_ok,m3_lam,m3_C,m3_chi2ndf,m3_ok,m4_lam,m4_chi2ndf,m4_ok
1,28.2531,3241.87,1,7.70787,38.6983,2447.69,382.416,102.098,1,18.9414,13.0534,1277.4,1,38.9278,55.9937,1
2,26.3097,3070.41,1,8.49564,37.7705,2151.37,398.549,132.331,1,18.0054,15.4493,1497.85,1,38.0694,101.487,1
3,26.8444,2335.77,1,9.43482,38.9164,1926.65,366.181,56.4442,1,19.4311,14.6428,916.15,1,37.6305,79.3492,1
4,27.3757,2622.68,1,9.1199,38.4859,1965.4,381.627,104.004,1,18.7644,14.6823,1057.58,1,37.8171,86.4845,1
5,32.54,994.436,1,10.5317,40.7119,1744.73,329.363,29.2766,1,23.3005,10.5767,419.234,1,38.0749,85.782,1
6,27.3469,2674.02,1,9.0406,39.0307,2008.15,376.858,95.7771,1,19.1578,12.6634,1046.81,1,38.0139,95.5972,1
7,26.8748,2973.55,1,8.83264,39.9803,2101.3,347.524,85.7749,1,18.985,13.2749,850.572,1,39.7446,47.3516,1
8,24.0571,2882.64,1,8.16422,37.3144,2183.21,410.892,130.922,1,18.4603,15.1884,1240.1,1,38.0227,74.6701,1
9,29.9268,1546.59,1,10.0185,39.4499,1764.93,355.545,34.3935,1,20.6282,13.338,592.929,1,37.8119,76.6049,1
10,31.4966,1734.65,1,9.11215,39.7551,2337.16,349.651,58.5608,1,21.8109,11.7098,913.961,1,38.9508,60.2471,1
11,33.2954,1588.19,1,8.99499,40.6157,2274.94,338.039,88.6902,1,22.5119,10.0864,686.509,1,40.1013,69.3948,1
12,29.8041,2634.8,1,8.74687,38.0547,2079.54,398.883,91.5316,1,17.9629,14.7276,1045.76,1,36.6954,98.1615,1
13,31.2448,2479.83,1,8.34561,39.1751,2366.37,365.847,96.0396,1,19.3848,13.066,1023.37,1,39.5345,41.87,1
14,27.9505,2596.61,1,8.51888,37.5157,2265.02,399.43,93.4393,1,18.4546,17.1377,1276.68,1,36.9728,79.4347,1
15,29.2082,2800.06,1,8.2176,38.3228,2303.14,393.169,111.726,1,19.2411,13.2665,1242.01,1,38.3656,72.9827,1
16,32.0961,2079.29,1,8.6761,38.8515,2202.94,379.344,95.8645,1,20.1356,12.3417,923.392,1,38.2815,86.4841,1
17,29.5435,1824.5,1,10.2891,41.9987,1805.41,305.369,43.5165,1,21.8799,10.551,478.351,1,41.3915,20.2848,1
18,27.3368,2443.12,1,7.68181,35.0266,2269.21,472.429,111.527,1,17.6595,18.8669,1260.61,1,36.349,83.5229,1
19,28.4761,2958.74,1,9.47533,39.7889,1963.72,356.452,100.652,1,18.7795,12.9833,934.342,1,38.7371,72.6406,1
20,28.9605,2182.06,1,10.1387,40.4374,1846,334.753,41.3905,1,19.7836,13.7348,846.95,1,37.7691,100.59,1
21,28.3461,1831.65,1,9.79732,39.6707,1829.43,351.242,57.5091,1,20.8879,12.6425,704.965,1,37.6848,118.015,1
22,28.5662,2042.3,1,8.44735,36.7103,2154.7,422.278,70.1908,1,18.5066,17.8437,897.021,1,35.9249,67.8213,1
23,26.4707,3131.17,1,8.88182,38.3049,2332.32,378.627,94.8209,1,17.4831,17.3554,1489.35,1,37.4962,62.1003,1
24,32.3121,545.207,1,14.31,45.5653,1142.91,236.722,5.33093,1,24.8631,9.50088,92.9215,1,39.098,48.9651,1
25,31.0103,2367.8,1,9.55231,39.8635,2084.97,349.329,90.5719,1,19.3422,13.4113,1003.68,1,38.908,53.8255,1
26,32.0614,838.344,1,9.98144,39.515,2021.25,347.622,26.4115,1,23.2396,12.2716,450.381,1,36.7873,67.8991,1
27,29.7128,2740.56,1,9.14532,38.9758,2035.48,373.847,110.363,1,18.3268,13.8033,1115.9,1,39.8689,48.9457,1
28,29.9631,2210.44,1,9.32853,40.0385,2066.77,347.275,49.5468,1,20.4658,12.2186,930.32,1,38.7623,82.0643,1
29,28.5637,2186.47,1,8.46787,37.6477,2126.59,407.162,102.375,1,19.5761,13.8743,912.47,1,37.2229,91.2374,1
30,24.8335,2633.06,1,8.86409,38.4247,2073.2,377.757,99.6362,1,19.1063,14.847,1189.49,1,37.3057,83.4211,1
31,28.8122,2041.69,1,8.98395,38.7889,2135.88,369.883,90.1351,1,20.8892,13.5087,1132.76,1,38.4921,78.4999,1
32,29.2315,1751.33,1,9.86605,40.0451,1916.44,341.393,63.2344,1,21.6442,12.2503,883.059,1,39.9623,45.4134,1
33,31.1771,1477.11,1,9.09105,39.5537,2181.48,352.235,103.467,1,22.9082,10.9388,765.55,1,39.4168,73.9305,1
34,29.522,2724.32,1,9.09846,39.9432,2083.47,350.108,100.588,1,19.4925,12.5903,1080.94,1,40.1216,42.295,1
35,28.6141,2537.29,1,8.89882,38.0472,2136.73,390.477,79.8552,1,18.4235,15.6781,1180.95,1,36.645,84.2238,1
