replica,m1_lam,m1_chi2ndf,m1_ok,m2_ls,m2_ll,m2_As,m2_Al,m2_chi2ndf,m2_ok,m3_lam,m3_C,m3_chi2ndf,m3_ok,m4_lam,m4_chi2ndf,m4_ok
1,29.8831,1858.74,1,10.6191,41.0086,1791.86,319.449,30.0986,1,20.5893,13.0747,728.82,1,38.6266,76.7146,1
2,29.6592,2349.91,1,8.90935,39.9357,2108.7,351.817,86.6288,1,20.7184,11.4,860.084,1,39.4782,59.7588,1
3,31.0662,1834.36,1,8.37785,37.9335,2487.95,390.686,64.3959,1,20.2452,14.3907,1022.01,1,37.3969,68.594,1
4,29.1106,2363.95,1,9.50179,39.4946,1918.36,358.897,60.4642,1,19.1658,13.5417,966.4,1,38.9241,77.1131,1
5,28.9601,1340.36,1,9.87075,38.5432,1779.99,368.705,26.9933,1,20.3718,15.7454,476.465,1,36.4013,59.697,1
6,34.0449,1736.07,1,9.41333,40.8899,2329.93,327.601,49.8819,1,21.4691,10.9027,854.323,1,39.8311,55.3376,1
7,30.6582,3068.11,1,9.15081,39.6008,2176.29,357.655,63.8547,1,17.9659,13.5515,913.28,1,37.7185,89.8778,1
8,28.3077,2158.29,1,8.74759,38.4289,2089.61,382.482,103.341,1,20.2818,13.2975,912.373,1,38.269,69.2382,1
9,30.7349,2263.71,1,7.40672,36.8388,2417.52,431.59,114.609,1,19.4285,14.0509,1060.82,1,37.0721,106.991,1
10,32.7061,1301.06,1,9.67723,39.5285,1892.33,359.941,39.4208,1,21.481,11.8064,485.677,1,37.5377,83.0163,1
11,28.7781,1148.37,1,11.4569,41.4274,1484.57,308.262,17.3926,1,22.14,12.0526,313.955,1,37.3165,96.0188,1
12,30.1681,1847.95,1,9.81054,39.394,1833.08,360.512,30.8587,1,20.2598,12.8657,665.37,1,36.8464,98.475,1
13,27.7546,2954.66,1,8.40808,38.3548,2255.94,385.88,103.933,1,18.794,14.4274,1455.15,1,39.6764,35.5825,1
14,26.73,3156.44,1,8.22315,38.2219,2289.41,385.987,137.365,1,18.9517,14.0701,1565.2,1,40.3375,34.1086,1
15,31.2236,1421.69,1,10.9558,41.2495,1630.31,320.082,34.083,1,21.711,11.0121,513.91,1,37.1838,133.948,1
16,27.5,1771.64,1,8.93304,38.1385,2058.65,380.217,46.84,1,20.3718,15.3338,899.819,1,38.6575,29.4705,1
17,29.8252,1189.14,1,9.70563,38.8222,1860.25,366.439,45.8697,1,22.1001,12.7207,520.511,1,36.225,101.94,1
18,30.1695,1633.04,1,8.44956,38.6086,2240.83,380.19,92.3208,1,21.9885,11.438,683.963,1,38.1154,89.7174,1
19,29.9257,1863.64,1,8.73988,39.8342,2223.46,349.214,86.5926,1,22.1212,10.9247,914.102,1,39.6579,62.0089,1
