x_mm,n_events,distance_left_mm,distance_right_mm,npe_left_mean,npe_left_sem,npe_right_mean,npe_right_sem,n_end_hits,d_left_cm,d_right_cm
-690.0,2000,10.0,1390.0,2674.5515,14.378329452784191,11.4445,0.0994480006204936,5371992,1.0,139.0
-670.0,2000,30.0,1370.0,1882.515,10.766547318341152,11.921,0.1024774624742317,3788872,3.0,137.0
-650.0,2000,50.0,1350.0,1437.674,7.538195742983182,12.3635,0.1035521385472016,2900075,5.0,135.0
-600.0,2000,100.0,1300.0,887.696,4.978636078345183,13.8625,0.1143693011411793,1803117,10.0,130.0
-550.0,2000,150.0,1250.0,606.492,3.4645458586954074,15.408,0.1251962661285322,1243800,15.0,125.0
-500.0,2000,200.0,1200.0,445.2345,2.727433904373553,17.14,0.1417647651016011,924749,20.0,120.0
-450.0,2000,250.0,1150.0,331.171,1.7569416044367268,19.083,0.1374281585024505,700508,25.0,115.0
-400.0,2000,300.0,1100.0,258.996,1.485043322207947,21.65,0.1585617258686825,561292,30.0,110.0
-350.0,2000,350.0,1050.0,205.1235,1.126755480497617,23.92,0.1688462452270219,458087,35.0,105.0
-300.0,2000,400.0,1000.0,168.4295,1.00590155275848,27.3715,0.1864111542644836,391602,40.0,100.0
-250.0,2000,450.0,950.0,137.736,0.7933273827166714,30.6435,0.2118753158103248,336759,45.0,95.0
-200.0,2000,500.0,900.0,114.532,0.6877590379247106,34.7955,0.2361042407099894,298655,50.0,90.0
-150.0,2000,550.0,850.0,97.631,0.6376117108765517,40.1685,0.2840455858175078,275599,55.0,85.0
-100.0,2000,600.0,800.0,82.1635,0.5293873906504478,45.185,0.3037985093234224,254697,60.0,80.0
-50.0,2000,650.0,750.0,69.9605,0.4447576582390473,52.0555,0.3358744046259574,244032,65.0,75.0
0.0,2000,700.0,700.0,60.102,0.3680537050008903,59.941,0.3673591374498992,240086,70.0,70.0
50.0,2000,750.0,650.0,52.3915,0.3413669280477861,70.53,0.4411341628970005,245843,75.0,65.0
100.0,2000,800.0,600.0,45.3655,0.2918519207523284,81.578,0.5044042722211197,253887,80.0,60.0
150.0,2000,850.0,550.0,39.499,0.2632834187321519,96.523,0.5891101432503435,272044,85.0,55.0
200.0,2000,900.0,500.0,35.657,0.2626607523697015,117.036,0.7741272430900795,305386,90.0,50.0
250.0,2000,950.0,450.0,30.79,0.211607747777485,138.0465,0.8096495754908701,337673,95.0,45.0
300.0,2000,1000.0,400.0,27.1965,0.1953919980230657,167.8835,1.031276019787862,390160,100.0,40.0
350.0,2000,1050.0,350.0,23.998,0.1758748531825712,206.0525,1.187749445905206,460101,105.0,35.0
400.0,2000,1100.0,300.0,21.349,0.1635648991627453,258.677,1.5918798246689645,560052,110.0,30.0
450.0,2000,1150.0,250.0,19.126,0.1479425750173065,330.608,1.8956480181469213,699468,115.0,25.0
500.0,2000,1200.0,200.0,17.216,0.1412396768729013,443.502,2.5804795940808627,921436,120.0,20.0
550.0,2000,1250.0,150.0,15.253,0.1195413759762081,604.562,3.423076803900652,1239630,125.0,15.0
600.0,2000,1300.0,100.0,13.881,0.1171036982254148,883.9765,5.060166560172041,1795715,130.0,10.0
650.0,2000,1350.0,50.0,12.4775,0.1064256081967118,1448.999,8.225180563194256,2922953,135.0,5.0
670.0,2000,1370.0,30.0,11.9805,0.1033605416771211,1878.0805,10.767898696172828,3780122,137.0,3.0
690.0,2000,1390.0,10.0,11.5825,0.1014383642704915,2666.536,14.702050911437532,5356237,139.0,1.0
