x_mm,distance_left_mm,distance_right_mm,npe_left_mean,npe_left_sem,npe_right_mean,npe_right_sem
-690.0,10.0,1390.0,2674.5515,14.378329452784191,11.4445,0.09944800062049365
-670.0,30.0,1370.0,1882.515,10.766547318341152,11.921,0.10247746247423177
-650.0,50.0,1350.0,1437.674,7.538195742983182,12.3635,0.10355213854720166
-600.0,100.0,1300.0,887.696,4.978636078345183,13.8625,0.11436930114117931
-550.0,150.0,1250.0,606.492,3.4645458586954074,15.408,0.1251962661285322
-500.0,200.0,1200.0,445.2345,2.727433904373553,17.14,0.14176476510160116
-450.0,250.0,1150.0,331.171,1.7569416044367268,19.083,0.13742815850245058
-400.0,300.0,1100.0,258.996,1.4850433222079473,21.65,0.15856172586868253
-350.0,350.0,1050.0,205.1235,1.126755480497617,23.92,0.16884624522702193
-300.0,400.0,1000.0,168.4295,1.00590155275848,27.3715,0.18641115426448363
-250.0,450.0,950.0,137.736,0.7933273827166714,30.6435,0.2118753158103248
-200.0,500.0,900.0,114.532,0.6877590379247106,34.7955,0.23610424070998942
-150.0,550.0,850.0,97.631,0.6376117108765517,40.1685,0.28404558581750783
-100.0,600.0,800.0,82.1635,0.5293873906504478,45.185,0.3037985093234224
-50.0,650.0,750.0,69.9605,0.4447576582390473,52.0555,0.33587440462595747
0.0,700.0,700.0,60.102,0.36805370500089035,59.941,0.36735913744989923
50.0,750.0,650.0,52.3915,0.3413669280477861,70.53,0.4411341628970005
100.0,800.0,600.0,45.3655,0.29185192075232846,81.578,0.5044042722211197
150.0,850.0,550.0,39.499,0.26328341873215194,96.523,0.5891101432503435
200.0,900.0,500.0,35.657,0.26266075236970154,117.036,0.7741272430900795
250.0,950.0,450.0,30.79,0.21160774777748503,138.0465,0.8096495754908701
300.0,1000.0,400.0,27.1965,0.1953919980230657,167.8835,1.0312760197878619
350.0,1050.0,350.0,23.998,0.17587485318257123,206.0525,1.187749445905206
400.0,1100.0,300.0,21.349,0.16356489916274536,258.677,1.5918798246689645
450.0,1150.0,250.0,19.126,0.14794257501730654,330.608,1.8956480181469215
500.0,1200.0,200.0,17.216,0.14123967687290132,443.502,2.5804795940808627
550.0,1250.0,150.0,15.253,0.1195413759762081,604.562,3.423076803900652
600.0,1300.0,100.0,13.881,0.11710369822541486,883.9765,5.060166560172041
650.0,1350.0,50.0,12.4775,0.10642560819671185,1448.999,8.225180563194256
670.0,1370.0,30.0,11.9805,0.10336054167712114,1878.0805,10.767898696172828
690.0,1390.0,10.0,11.5825,0.10143836427049154,2666.536,14.702050911437533
