x_mm,distance_left_mm,distance_right_mm,npe_left_mean,npe_left_sem,npe_right_mean,npe_right_sem
-690.0,10.0,1390.0,3073.336,16.79783512992076,27.364,0.1992002811242996
-670.0,30.0,1370.0,2516.747,14.163690497024424,28.586,0.20424569028500944
-650.0,50.0,1350.0,2124.2825,11.616702537591078,29.907,0.20938881417114907
-600.0,100.0,1300.0,1496.681,8.798333911570985,33.471,0.23478730693970656
-550.0,150.0,1250.0,1146.8415,6.007222959810548,37.762,0.24338380800702417
-500.0,200.0,1200.0,904.37,5.1986474731414525,42.2645,0.2843848974101824
-450.0,250.0,1150.0,718.5625,4.093437986201208,47.023,0.3070345835569667
-400.0,300.0,1100.0,581.1475,3.360790736102889,53.007,0.342911031464431
-350.0,350.0,1050.0,481.1145,2.7242714980109817,60.732,0.384919586407343
-300.0,400.0,1000.0,397.1,2.2695781546357905,67.6465,0.43223404409532573
-250.0,450.0,950.0,336.769,1.8807779825114925,76.76,0.48394183534800955
-200.0,500.0,900.0,285.171,1.6298240332931648,87.8655,0.5391703857548186
-150.0,550.0,850.0,240.9595,1.3982501313695628,100.421,0.6169407422921589
-100.0,600.0,800.0,203.891,1.2264707740097194,115.498,0.7134220335818062
-50.0,650.0,750.0,176.127,0.9946282901164635,131.034,0.7475405821759779
0.0,700.0,700.0,150.991,0.876410554192497,151.1025,0.8778405304353405
50.0,750.0,650.0,129.9445,0.7825903844764512,175.8785,1.02151670024283
100.0,800.0,600.0,114.3555,0.6826877469788072,202.3025,1.1872522886375076
150.0,850.0,550.0,100.5395,0.6133194272766842,240.4375,1.377923636082566
200.0,900.0,500.0,87.962,0.5638136021771735,285.6125,1.710881548171877
250.0,950.0,450.0,76.6675,0.4690633985667608,337.2855,1.8615754067120138
300.0,1000.0,400.0,67.438,0.42068049396186646,396.439,2.24795554660229
350.0,1050.0,350.0,60.637,0.39286080932055306,479.982,2.7912033852802627
400.0,1100.0,300.0,52.809,0.32173165759682404,577.7995,3.1161081736478597
450.0,1150.0,250.0,46.9725,0.3103713451254803,719.422,4.051298305235002
500.0,1200.0,200.0,41.6185,0.2715565850333959,890.069,4.799714483122928
550.0,1250.0,150.0,37.761,0.2592015422407822,1154.463,6.482713730799779
600.0,1300.0,100.0,33.0925,0.23020528203106025,1486.5265,8.147785168306477
650.0,1350.0,50.0,30.152,0.21971446925498558,2133.343,12.37776068905438
670.0,1370.0,30.0,28.211,0.19919899472637906,2496.3285,14.07618093780678
690.0,1390.0,10.0,27.632,0.19604027137300128,3089.5875,17.07702534611561
