x_mm,n_events,n_triggered,trigger_efficiency,sigma_single_ps,sigma_single_err_ps,mean_delta_lr_ns
-690.0,2000,1564,0.782,484.5802027032358,37.722788815090425,-6.772679596600861
-670.0,2000,1618,0.809,430.23010601165765,24.784692084357218,-6.540384512313282
-650.0,2000,1662,0.831,403.3333896236482,22.77812491723571,-6.269448767592828
-600.0,2000,1818,0.909,385.5643955201798,25.418037045592303,-5.758160999957594
-550.0,2000,1883,0.9415,336.9125555648054,20.438487641548587,-5.170461042463429
-500.0,2000,1940,0.97,299.7629861374355,15.183341053435864,-4.670963144271763
-450.0,2000,1976,0.988,252.4089586856778,11.195254338053912,-4.171922960413007
-400.0,2000,1988,0.994,249.49489148547903,16.871291836872004,-3.690876133117088
-350.0,2000,1994,0.997,215.76225812659283,7.602723742918499,-3.2249995628766563
-300.0,2000,1999,0.9995,199.87721735286925,8.33905922151551,-2.7588230435959176
-250.0,2000,2000,1.0,184.6128815178185,5.538357392269991,-2.287975525401791
-200.0,2000,2000,1.0,172.41241106219698,7.4940298558013385,-1.8253399088970577
-150.0,2000,2000,1.0,149.82749494047638,3.544963004502057,-1.3661372571479382
-100.0,2000,2000,1.0,142.9838996418577,5.2833054413522245,-0.9090082038856079
-50.0,2000,2000,1.0,139.30329675924693,5.008872782198468,-0.44251687800652173
0.0,2000,2000,1.0,140.20045935355455,3.812605990797947,0.011147329046030316
50.0,2000,2000,1.0,139.2226203455603,4.3697766545727,0.45266939278341944
100.0,2000,2000,1.0,151.08219674056917,5.151552159254118,0.9064944531081613
150.0,2000,2000,1.0,148.8519186834745,6.195314241435628,1.3599991040272559
200.0,2000,2000,1.0,164.68707647162995,5.6887075703615535,1.8222411620439691
250.0,2000,2000,1.0,169.70638064792755,7.984481652609846,2.282026237599123
300.0,2000,1999,0.9995,200.19783712721437,8.646867733052153,2.7559449087191226
350.0,2000,1996,0.998,218.1624993996647,9.847132512821386,3.2219729589287636
400.0,2000,1989,0.9945,243.85800106770185,12.894439439388444,3.706895804342196
450.0,2000,1961,0.9805,264.9293653856864,14.762413301833764,4.172955307394
500.0,2000,1937,0.9685,296.3845416565339,17.809787043633207,4.6757477476930465
550.0,2000,1884,0.942,331.9969325870833,17.28914944248351,5.205394162661987
600.0,2000,1774,0.887,369.7960987140749,27.119603688337158,5.677520850104894
650.0,2000,1661,0.8305,410.3501831244705,26.757288456994207,6.270054492901913
670.0,2000,1623,0.8115,455.45013438494453,40.946366694793255,6.4799868045247955
690.0,2000,1569,0.7845,434.0168874173342,30.693839789470733,6.685698177814807
