run_tag,event_id,track_id,global_id,detected_end_side,n_reflections_scint_air,n_reflections_air_reflector,n_total_internal_reflections,visited_air_gap,visited_reflector_boundary,first_detection_time_ns,gun_x_mm
x0mm,0,3045,4,0,59,0,59,1,0,4.20545120089,0
x0mm,0,3033,13,1,106,0,106,1,0,6.90381016637,0
x0mm,0,3027,8,1,78,0,78,1,0,5.42443924451,0
x0mm,0,3023,2,0,20,0,20,1,0,9.24296724359,0
x0mm,0,3018,7,0,66,0,66,1,0,3.91625797122,0
x0mm,0,3013,11,1,7,0,7,1,0,5.67306849807,0
x0mm,0,3012,9,1,30,0,30,1,0,4.11699652003,0
x0mm,0,3004,4,0,83,0,83,1,0,9.31735961834,0
x0mm,0,2988,10,1,49,0,49,1,0,3.96631690732,0
x0mm,0,2979,9,1,23,0,23,1,0,7.14496902077,0
x0mm,0,2950,15,1,133,0,133,1,0,6.81127719371,0
x0mm,0,2936,7,0,35,0,35,1,0,4.23453943945,0
x0mm,0,2899,8,1,19,0,19,1,0,3.98280520786,0
x0mm,0,2882,12,1,32,0,32,1,0,3.92760643223,0
x0mm,0,2863,9,1,26,0,26,1,0,7.74807076187,0
x0mm,0,2856,1,0,42,0,42,1,0,4.73104284673,0
x0mm,0,3048,15,1,195,0,195,1,0,15.2990803022,0
x0mm,0,2845,10,1,67,0,67,1,0,6.38144872535,0
x0mm,0,2821,3,0,137,0,137,1,0,8.69403232847,0
x0mm,0,2804,10,1,105,0,105,1,0,5.66798308962,0
x0mm,0,2799,8,1,27,0,27,1,0,3.97290503556,0
x0mm,0,2798,10,1,67,0,67,1,0,8.65847979918,0
x0mm,0,2792,10,1,21,0,21,1,0,5.5597495021,0
x0mm,0,2785,7,0,28,0,28,1,0,4.96457164895,0
x0mm,0,2777,14,1,104,0,104,1,0,7.02495795447,0
x0mm,0,2768,13,1,5,0,5,1,0,2.81258562381,0
x0mm,0,2762,14,1,20,0,20,1,0,5.4861002096,0
x0mm,0,2755,0,0,90,0,90,1,0,4.61735584881,0
x0mm,0,2746,3,0,61,0,61,1,0,6.98044191536,0
x0mm,0,2733,4,0,41,0,41,1,0,4.63242835111,0
x0mm,0,2686,15,1,14,0,14,1,0,4.63099476,0
x0mm,0,2678,8,1,48,0,48,1,0,6.76297420625,0
x0mm,0,2677,8,1,69,0,69,1,0,5.51273545609,0
x0mm,0,2674,10,1,116,0,116,1,0,5.50970138375,0
x0mm,0,2666,10,1,12,0,12,1,0,5.50302590763,0
x0mm,0,2646,11,1,23,0,23,1,0,4.48999516189,0
x0mm,0,2611,10,1,16,0,16,1,0,3.96537966162,0
x0mm,0,2600,7,0,5,0,5,1,0,7.90149970242,0
x0mm,0,2589,4,0,30,0,30,1,0,6.16360869754,0
x0mm,0,2570,13,1,17,0,17,1,0,6.69759780867,0
x0mm,0,2567,9,1,20,24,19,1,1,8.33997422141,0
x0mm,0,2557,12,1,42,0,42,1,0,4.36344588361,0
x0mm,0,2553,11,1,124,0,124,1,0,6.42399061049,0
x0mm,0,2545,5,0,121,0,121,1,0,18.6752348896,0
x0mm,0,3052,4,0,76,0,76,1,0,14.0736846425,0
x0mm,0,2536,9,1,27,0,27,1,0,5.76181544848,0
x0mm,0,2528,3,0,35,0,35,1,0,5.12349072306,0
x0mm,0,2513,5,0,33,0,33,1,0,4.23965795947,0
x0mm,0,2493,5,0,40,0,40,1,0,5.42971760044,0
x0mm,0,2491,15,1,27,0,27,1,0,4.66557294419,0
x0mm,0,2482,15,1,32,0,32,1,0,7.39703379331,0
