run_tag,boundary,status,count
x0mm,AirGapYMinusLV->AirGapZMinusLV,SameMaterial,5099
x0mm,AirGapYMinusLV->AirGapZPlusLV,SameMaterial,5137
x0mm,AirGapYMinusLV->BarLV,FresnelReflection,91809
x0mm,AirGapYMinusLV->BarLV,FresnelRefraction,918542
x0mm,AirGapYMinusLV->BarLV,StepTooSmall,2164899
x0mm,AirGapYMinusLV->MylarYMinusLV,Absorption,54121
x0mm,AirGapYMinusLV->MylarYMinusLV,SpikeReflection,1027198
x0mm,AirGapYMinusLV->MylarZMinusLV,FresnelReflection,635
x0mm,AirGapYMinusLV->MylarZMinusLV,FresnelRefraction,5532
x0mm,AirGapYMinusLV->MylarZPlusLV,FresnelReflection,609
x0mm,AirGapYMinusLV->MylarZPlusLV,FresnelRefraction,5546
x0mm,AirGapYMinusLV->WorldLV,SameMaterial,59
x0mm,AirGapYPlusLV->AirGapZMinusLV,SameMaterial,5145
x0mm,AirGapYPlusLV->AirGapZPlusLV,SameMaterial,5050
x0mm,AirGapYPlusLV->BarLV,FresnelReflection,91481
x0mm,AirGapYPlusLV->BarLV,FresnelRefraction,918239
x0mm,AirGapYPlusLV->BarLV,StepTooSmall,2164509
x0mm,AirGapYPlusLV->MylarYPlusLV,Absorption,54152
x0mm,AirGapYPlusLV->MylarYPlusLV,SpikeReflection,1026687
x0mm,AirGapYPlusLV->MylarZMinusLV,FresnelReflection,616
x0mm,AirGapYPlusLV->MylarZMinusLV,FresnelRefraction,5678
x0mm,AirGapYPlusLV->MylarZPlusLV,FresnelReflection,637
x0mm,AirGapYPlusLV->MylarZPlusLV,FresnelRefraction,5620
x0mm,AirGapYPlusLV->WorldLV,SameMaterial,50
x0mm,AirGapZMinusLV->AirGapYMinusLV,SameMaterial,3466
x0mm,AirGapZMinusLV->AirGapYPlusLV,SameMaterial,3529
x0mm,AirGapZMinusLV->BarLV,FresnelReflection,219895
x0mm,AirGapZMinusLV->BarLV,FresnelRefraction,1809060
x0mm,AirGapZMinusLV->BarLV,StepTooSmall,13966176
x0mm,AirGapZMinusLV->MylarZMinusLV,Absorption,107063
x0mm,AirGapZMinusLV->MylarZMinusLV,SpikeReflection,2030877
x0mm,AirGapZMinusLV->WorldLV,SameMaterial,26
x0mm,AirGapZPlusLV->AirGapYMinusLV,SameMaterial,3606
x0mm,AirGapZPlusLV->AirGapYPlusLV,SameMaterial,3452
x0mm,AirGapZPlusLV->BarLV,FresnelReflection,221272
x0mm,AirGapZPlusLV->BarLV,FresnelRefraction,1808516
x0mm,AirGapZPlusLV->BarLV,StepTooSmall,13952712
x0mm,AirGapZPlusLV->MylarZPlusLV,Absorption,106204
x0mm,AirGapZPlusLV->MylarZPlusLV,SpikeReflection,2031691
x0mm,AirGapZPlusLV->WorldLV,SameMaterial,23
x0mm,BarLV->AirGapYMinusLV,FresnelReflection,104602
x0mm,BarLV->AirGapYMinusLV,FresnelRefraction,987008
x0mm,BarLV->AirGapYMinusLV,StepTooSmall,91809
x0mm,BarLV->AirGapYMinusLV,TotalInternalReflection,2060326
x0mm,BarLV->AirGapYPlusLV,FresnelReflection,104843
x0mm,BarLV->AirGapYPlusLV,FresnelRefraction,987015
x0mm,BarLV->AirGapYPlusLV,StepTooSmall,91481
x0mm,BarLV->AirGapYPlusLV,TotalInternalReflection,2059702
x0mm,BarLV->AirGapZMinusLV,FresnelReflection,239306
x0mm,BarLV->AirGapZMinusLV,FresnelRefraction,1913227
x0mm,BarLV->AirGapZMinusLV,StepTooSmall,219895
x0mm,BarLV->AirGapZMinusLV,TotalInternalReflection,13750509
x0mm,BarLV->AirGapZPlusLV,FresnelReflection,239595
x0mm,BarLV->AirGapZPlusLV,FresnelRefraction,1911626
x0mm,BarLV->AirGapZPlusLV,StepTooSmall,221272
x0mm,BarLV->AirGapZPlusLV,TotalInternalReflection,13713308
x0mm,BarLV->EndSiPMLV,Absorption,63467
x0mm,BarLV->EndSiPMLV,Detection,100171
x0mm,BarLV->WorldLV,FresnelReflection,7458
x0mm,BarLV->WorldLV,FresnelRefraction,64038
x0mm,BarLV->WorldLV,TotalInternalReflection,72396
x0mm,EndSiPMLV->BarLV,FresnelRefraction,501
x0mm,EndSiPMLV->WorldLV,FresnelReflection,39
x0mm,EndSiPMLV->WorldLV,FresnelRefraction,283
x0mm,EndSiPMLV->WorldLV,TotalInternalReflection,769
x0mm,MylarYMinusLV->AirGapYMinusLV,StepTooSmall,1027198
x0mm,MylarYPlusLV->AirGapYPlusLV,StepTooSmall,1026687
x0mm,MylarZMinusLV->AirGapYMinusLV,StepTooSmall,635
x0mm,MylarZMinusLV->AirGapYPlusLV,StepTooSmall,616
x0mm,MylarZMinusLV->AirGapZMinusLV,StepTooSmall,2030877
x0mm,MylarZMinusLV->MylarYMinusLV,SameMaterial,11
x0mm,MylarZMinusLV->MylarYPlusLV,SameMaterial,9
x0mm,MylarZMinusLV->WorldLV,TotalInternalReflection,2
x0mm,MylarZPlusLV->AirGapYMinusLV,StepTooSmall,609
x0mm,MylarZPlusLV->AirGapYPlusLV,StepTooSmall,637
x0mm,MylarZPlusLV->AirGapZPlusLV,StepTooSmall,2031691
x0mm,MylarZPlusLV->MylarYMinusLV,SameMaterial,9
x0mm,MylarZPlusLV->MylarYPlusLV,SameMaterial,9
