event_id,n_rows_raw,n_unique_tracks,sum_pde,n_rows_left,n_rows_right,sum_pde_left,sum_pde_right,duplicates_per_track,n_multihit_event_track_gid,max_hits_same_event_track_gid,n_unique_tracks_per_gid_mean
0,3304,3304,2038.6689838464429,1659,1645,1024.362482944582,1014.3065009017853,1.0,0,1,206.5
1,2479,2479,1528.7571513113949,1206,1273,744.8205903550023,783.9365609563492,1.0,0,1,154.9375
2,2007,2007,1232.85263468636,1007,1000,617.9461980937966,614.9064365925478,1.0,0,1,125.4375
3,2856,2856,1761.3768349131362,1395,1461,861.2088234135834,900.1680114994924,1.0,0,1,178.5
4,1782,1782,1096.8391228492258,876,906,538.6931287495822,558.1459940996389,1.0,0,1,111.375
5,1720,1720,1061.3725791799886,854,866,528.0025356057834,533.370043574204,1.0,0,1,107.5
6,1669,1669,1027.947348613017,834,835,513.3860901290374,514.5612584839804,1.0,0,1,104.3125
7,1632,1632,1004.5174928739983,820,812,505.0874550377141,499.4300378362856,1.0,0,1,102.0
8,1831,1831,1128.7837850851738,920,911,567.8146378666154,560.9691472185528,1.0,0,1,114.4375
9,1932,1932,1191.5292157362612,928,1004,572.1857507813631,619.3434649548858,1.0,0,1,120.75
10,2398,2398,1478.7204651274633,1218,1180,751.4933366420313,727.2271284853981,1.0,0,1,149.875
11,1772,1772,1092.4894168200315,876,896,540.3622852770469,552.1271315429785,1.0,0,1,110.75
12,1539,1539,945.1187688833136,735,804,450.00729926035194,495.1114696229599,1.0,0,1,96.1875
13,2857,2857,1764.6367984426875,1433,1424,884.9877654894314,879.6490329532008,1.0,0,1,178.5625
14,2110,2110,1300.0366967422426,1016,1094,626.1379106137786,673.8987861284439,1.0,0,1,131.875
15,1982,1982,1221.7330300833562,973,1009,599.5019684223209,622.2310616610212,1.0,0,1,123.875
16,1851,1851,1139.9598524648168,960,891,589.7413024790308,550.2185499857783,1.0,0,1,115.6875
17,1788,1788,1099.1041852527997,898,890,552.1570809713639,546.947104281429,1.0,0,1,111.75
18,2068,2068,1272.8613210491194,1032,1036,635.3401587088632,637.5211623402395,1.0,0,1,129.25
19,1844,1844,1137.1104924617698,981,863,604.6621527138922,532.448339747868,1.0,0,1,115.25
20,2813,2813,1736.1709119546376,1425,1388,879.8812588925462,856.2896530620375,1.0,0,1,175.8125
21,1644,1644,1012.6609857067184,831,813,511.2591540579201,501.4018316487971,1.0,0,1,102.75
22,1954,1954,1204.300958211381,990,964,610.563384175538,593.7375740358273,1.0,0,1,122.125
23,2262,2262,1392.9272012330898,1116,1146,687.9840911947069,704.9431100383576,1.0,0,1,141.375
24,1881,1881,1159.4996232369651,911,970,562.3461144671795,597.1535087697715,1.0,0,1,117.5625
25,2204,2204,1358.5832344598286,1105,1099,680.0811406076721,678.5020938521295,1.0,0,1,137.75
26,2086,2086,1284.357170415466,1038,1048,639.174284875164,645.1828855402802,1.0,0,1,130.375
27,3789,3789,2338.86930658444,1924,1865,1187.4883303274444,1151.3809762569113,1.0,0,1,236.8125
28,2100,2100,1294.8798416199356,1044,1056,643.1981159917798,651.6817256281356,1.0,0,1,131.25
29,1747,1747,1077.3471797175496,863,884,531.3589877771423,545.9881919404042,1.0,0,1,109.1875
30,2070,2070,1275.9338031889179,1033,1037,635.8132249873503,640.1205782015489,1.0,0,1,129.375
31,1851,1851,1142.0918263839642,942,909,581.6176562446057,560.4741701393502,1.0,0,1,115.6875
32,1961,1961,1209.03234890844,961,1000,592.9733836701853,616.058965238243,1.0,0,1,122.5625
33,1817,1817,1120.1187408528817,914,903,562.8345141949943,557.2842266578818,1.0,0,1,113.5625
34,2488,2488,1534.488040340879,1266,1222,780.650095750123,753.8379445907146,1.0,0,1,155.5
35,2747,2747,1697.7382884080448,1401,1346,867.0747090561972,830.6635793517944,1.0,0,1,171.6875
36,1712,1712,1054.680667345552,859,853,529.1323876643328,525.5482796812148,1.0,0,1,107.0
37,1685,1685,1037.3769632415795,877,808,539.2000806423897,498.1768825991892,1.0,0,1,105.3125
38,1667,1667,1026.5255499160944,837,830,515.4749201315291,511.05062978456436,1.0,0,1,104.1875
39,2065,2065,1270.6194352456325,998,1067,615.7124481403172,654.9069871052952,1.0,0,1,129.0625
40,1968,1968,1210.115703385253,978,990,601.9100576841406,608.2056457010975,1.0,0,1,123.0
41,2408,2408,1484.160321018317,1177,1231,724.7852229224856,759.3750980957943,1.0,0,1,150.5
42,1783,1783,1100.235362807199,880,903,544.123763908338,556.1115988988558,1.0,0,1,111.4375
43,1557,1557,958.986367879953,783,774,481.7270504684744,477.2593174114789,1.0,0,1,97.3125
44,1681,1681,1034.9304826456066,829,852,510.44398237811237,524.4865002674935,1.0,0,1,105.0625
45,1656,1656,1017.5723483207687,818,838,502.8386388732943,514.7337094474751,1.0,0,1,103.5
46,1532,1532,944.5335066640417,774,758,477.70906830229615,466.82443836174633,1.0,0,1,95.75
47,1591,1591,976.6195075414485,771,820,473.67665244044605,502.9428551010027,1.0,0,1,99.4375
48,2007,2007,1234.6619774235478,980,1027,603.6476645147106,631.0143129088207,1.0,0,1,125.4375
49,1616,1616,996.7944598149736,778,838,481.38186734192413,515.4125924730499,1.0,0,1,101.0
