name,stage,events,x_mm,sipm_eff_mode,reflectivity,finish,sigma_alpha_deg,air_gap_mm,specular_lobe,runtime_s,n_gen_total,n_gen_per_event,edep_mev_per_event,bar_to_sipm_entering_total,bar_to_sipm_entering_per_event,recorded_hits_total,npe_end,npe_l,npe_r,recorded_over_generated,recorded_over_entering,mean_pde_branch,unique_tracks_total,duplicates_per_track,multihit_event_track_gid,paired_fraction,sigma_end_ps,time_mean_ns,time_p95_ns,time_max_ns,steps_per_generated_photon,total_optical_steps,missing_rindex,max_superluminal_fraction,speed_gate,bar_to_reflector_total,killed_world_total,root_path,log_path,audit_dir
R000_polished,reflectivity,20,0.0,nominal,0.0,polished,0.1,0.1,1.0,169.85308184600217,418856,20942.8,2.013730769230769,62911,3145.55,39356,1967.8,984.0,983.8,0.09396069293504211,0.6255821716393,0.6165614686601358,39299,1.0014504185857147,0,1.0,14.883483748210276,6.049081261411783,10.790915867323935,48.0899033391893,55.01690795882117,23044162,0,0.0,PASS,11404571,56081,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/R000_polished/photon_hits.root,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/R000_polished/run.log,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/R000_polished/audit
R050_polished,reflectivity,20,0.0,nominal,0.5,polished,0.1,0.1,1.0,171.57027289100006,379688,18984.4,1.825423076923077,57165,2858.25,35648,1782.4,888.7,893.7,0.09388761298750553,0.6235983556371906,0.6165456130806527,35583,1.001826715004356,0,1.0,51.926254692227126,6.0452867279787865,10.800116919407266,34.0705596094118,57.779861359853356,21938320,0,0.0,PASS,10696154,50883,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/R050_polished/photon_hits.root,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/R050_polished/run.log,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/R050_polished/audit
R070_polished,reflectivity,20,0.0,nominal,0.7,polished,0.1,0.1,1.0,186.50525210400156,400532,20026.6,1.9256346153846153,60734,3036.7,37650,1882.5,943.35,939.15,0.09399998002656466,0.6199163565712781,0.6163263421015389,37650,1.0,0,1.0,49.739889231990574,6.01962975841009,10.68272448005976,32.932288773867384,60.89953362028502,24392212,0,0.0,PASS,11687491,53505,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/R070_polished/photon_hits.root,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/R070_polished/run.log,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/R070_polished/audit
R085_polished,reflectivity,20,0.0,nominal,0.85,polished,0.1,0.1,1.0,205.28856865499984,392719,19635.95,1.8880721153846154,59513,2975.65,36807,1840.35,926.5,913.85,0.09372350204599217,0.6184699141364072,0.6162339804190431,36766,1.0011151607463418,0,1.0,43.9382573227661,6.026376583863131,10.748174855913154,33.601638378715,67.62021190724157,26555742,0,0.0,PASS,12297181,53008,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/R085_polished/photon_hits.root,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/R085_polished/run.log,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/R085_polished/audit
R090_polished,reflectivity,20,0.0,nominal,0.9,polished,0.1,0.1,1.0,247.43417267500263,405838,20291.9,1.9511442307692308,61885,3094.25,38546,1927.3,965.4,961.9,0.09497878463820539,0.6228649915165226,0.6163023333521049,38546,1.0,0,1.0,53.847141680976364,6.046265835634019,10.732892341078541,41.01473468369354,73.4215943307428,29797273,0,0.0,PASS,13442047,55275,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/R090_polished/photon_hits.root,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/R090_polished/run.log,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/R090_polished/audit
R095_polished,reflectivity,20,0.0,nominal,0.95,polished,0.1,0.1,1.0,270.98308897099923,393883,19694.15,1.8936682692307694,62001,3100.05,38625,1931.25,965.45,965.8,0.09806211489198569,0.6229738230028548,0.6163839668415463,38625,1.0,0,1.0,34.46919292491626,6.115058525794672,10.916380802084985,33.46960949431903,86.67341570974122,34139185,0,0.0,PASS,14626027,54934,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/R095_polished/photon_hits.root,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/R095_polished/run.log,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/R095_polished/audit
R098_polished,reflectivity,20,0.0,nominal,0.98,polished,0.1,0.1,1.0,349.6711010909967,413810,20690.5,1.9894711538461538,68350,3417.5,42588,2129.4,1062.5,1066.9,0.10291679756409947,0.6230870519385516,0.6167232418737651,42551,1.0008695447815563,0,1.0,52.20780846807775,6.239964583481922,11.222197828877526,38.97156685387569,110.18036055194413,45593735,0,0.0,PASS,18143048,60114,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/R098_polished/photon_hits.root,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/R098_polished/run.log,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/R098_polished/audit
rough_polished_s0p0,roughness,20,0.0,nominal,0.95,polished,0.0,0.1,1.0,274.219972592,384389,19219.45,1.8480240384615385,60190,3009.5,37623,1881.15,938.95,942.2,0.097877410643905,0.6250706097358365,0.6159388502956784,37578,1.0011975091809038,0,1.0,57.90784457882622,6.111472023794525,10.857408502900745,31.416694004980794,86.65550262884734,33309422,0,0.0,PASS,14275357,53602,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/rough_polished_s0p0/photon_hits.root,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/rough_polished_s0p0/run.log,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/rough_polished_s0p0/audit
rough_polished_s0p1,roughness,20,0.0,nominal,0.95,polished,0.1,0.1,1.0,251.72495483400053,370235,18511.75,1.7799759615384616,57717,2885.85,35992,1799.6,900.75,898.85,0.09721393169203343,0.6235944349151896,0.6161050205224827,35988,1.0001111481604978,0,1.0,20.98823893849281,6.091269992175592,10.818914643759639,36.56407042956979,86.89511256364202,32171612,0,0.0,PASS,13789991,51821,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/rough_polished_s0p1/photon_hits.root,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/rough_polished_s0p1/run.log,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/rough_polished_s0p1/audit
rough_polished_s0p3,roughness,20,0.0,nominal,0.95,polished,0.3,0.1,1.0,287.10002101899954,388535,19426.75,1.8679567307692309,60820,3041.0,37769,1888.45,944.7,943.75,0.09720874567284801,0.6209963827688261,0.6166171707633995,37769,1.0,0,1.0,28.765347123932855,6.079851971722196,10.81223605806267,36.617238698195465,86.33091227302559,33542581,0,0.0,PASS,14389038,54221,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/rough_polished_s0p3/photon_hits.root,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/rough_polished_s0p3/run.log,/mnt/d/SHiP/ej200_endonly/out/EXEC_25/raw/rough_polished_s0p3/audit
