x,dt_median_ps,dt_err_ps,residual_ps,n_ev
-600,6786.269245151994,1.513151858134322,30.625893592214197,5000
-500,5621.46894099965,1.4612457191525523,-8.306693619811085,5000
-400,4494.26892752652,1.4040203191685963,-9.638990152621773,5000
-300,3363.084694062424,1.3544460303635066,-14.955506676397363,5000
-200,2242.5703384754356,1.3199535400246996,-9.602145323066907,5000
-100,1120.9184127209492,1.2733559116995898,-5.386354137233866,5000
0,0.10607515934957235,1.2501630811632491,-0.33097475851404085,5000
100,-1119.9890618044365,1.2487786090641566,5.441605218019504,5000
200,-2242.7180581933244,1.2510889254578939,8.580325769451065,5000
300,-3365.360179684347,1.355093995820085,11.805921218747699,5000
400,-4491.62022876116,1.4151235465818726,11.413589082253566,5000
500,-5622.261741942282,1.462849734881585,6.639792841450799,5000
600,-6784.118856259016,1.590539409473593,-29.349604534963873,5000
