x,sigma_lin_mm,bias_lin_mm,sigma_cub_mm,bias_cub_mm
-600,19.69606402655874,28.75666273431625,24.260888224226168,7.519144615507344
-500,18.283373673799506,-6.065097813872285,21.673720164044898,-11.113784068378834
-400,16.881549291056356,-2.666245741149055,18.28322545272409,9.817382140546954
-300,16.320573318816237,-11.242243912186382,16.58246368474811,6.066079538672511
-200,16.354074854284477,-26.009858577675942,15.865192995721786,-12.80770902521914
-100,16.23828584791767,-7.400273762578109,15.15221354190054,1.5106111238699782
0,16.645207315344006,0.43547960484728543,15.355218715663534,0.5849347994837457
100,15.570035240362675,7.187013764523158,14.525008084413264,-1.5005257110508978
200,16.03342322285745,24.85564952371226,15.53868232551658,11.63669984164224
300,16.73495552656621,11.524467566120563,16.98735041010522,-5.6644165241258975
400,17.444498725718724,2.9506725714920776,18.86169940849404,-9.56240283850184
500,18.331340986926687,5.910724650776501,21.68120272769785,10.605506866119754
600,19.306644861719796,-28.14551256823495,23.806193812359687,-6.834823960556832
