run,status_int,status_name,count
R1,0,Undefined,0
R1,1,Transmission,0
R1,2,FresnelRefraction,1033430
R1,3,FresnelReflection,146315
R1,4,TotalInternalReflection,3750479
R1,5,LambertianReflection,0
R1,6,LobeReflection,0
R1,7,SpikeReflection,0
R1,8,BackScattering,0
R1,9,Absorption,0
R1,10,Detection,0
R1,11,NotAtBoundary,0
R1,12,SameMaterial,0
R1,13,StepTooSmall,0
R1,14,NoRINDEX,0
R1,15,PolishedLumirrorAirReflection,0
R1,16,PolishedLumirrorGlueReflection,0
R1,17,PolishedAirReflection,0
R1,18,PolishedTeflonAirReflection,0
R1,19,PolishedTiOAirReflection,0
R1,20,PolishedTyvekAirReflection,0
R1,21,PolishedVM2000AirReflection,0
R1,22,PolishedVM2000GlueReflection,0
R1,23,EtchedLumirrorAirReflection,0
R1,24,EtchedLumirrorGlueReflection,0
R1,25,EtchedAirReflection,0
R1,26,EtchedTeflonAirReflection,0
R1,27,EtchedTiOAirReflection,0
R1,28,EtchedTyvekAirReflection,0
R1,29,EtchedVM2000AirReflection,0
R1,30,EtchedVM2000GlueReflection,0
R1,31,GroundLumirrorAirReflection,0
R1,32,GroundLumirrorGlueReflection,0
R1,33,GroundAirReflection,0
R1,34,GroundTeflonAirReflection,0
R1,35,GroundTiOAirReflection,0
R1,36,GroundTyvekAirReflection,0
R1,37,GroundVM2000AirReflection,0
R1,38,GroundVM2000GlueReflection,0
R1,39,Dichroic,0
R1,40,CoatedDielectricReflection,0
R1,41,CoatedDielectricRefraction,0
R1,42,CoatedDielectricFrustratedTransmission,0
R2,0,Undefined,0
R2,1,Transmission,0
R2,2,FresnelRefraction,1313258
R2,3,FresnelReflection,203584
R2,4,TotalInternalReflection,9419469
R2,5,LambertianReflection,0
R2,6,LobeReflection,0
R2,7,SpikeReflection,0
R2,8,BackScattering,0
R2,9,Absorption,0
R2,10,Detection,0
R2,11,NotAtBoundary,0
R2,12,SameMaterial,0
R2,13,StepTooSmall,0
R2,14,NoRINDEX,0
R2,15,PolishedLumirrorAirReflection,0
R2,16,PolishedLumirrorGlueReflection,0
R2,17,PolishedAirReflection,0
R2,18,PolishedTeflonAirReflection,0
R2,19,PolishedTiOAirReflection,0
R2,20,PolishedTyvekAirReflection,0
R2,21,PolishedVM2000AirReflection,0
R2,22,PolishedVM2000GlueReflection,0
R2,23,EtchedLumirrorAirReflection,0
R2,24,EtchedLumirrorGlueReflection,0
R2,25,EtchedAirReflection,0
R2,26,EtchedTeflonAirReflection,0
R2,27,EtchedTiOAirReflection,0
R2,28,EtchedTyvekAirReflection,0
R2,29,EtchedVM2000AirReflection,0
R2,30,EtchedVM2000GlueReflection,0
R2,31,GroundLumirrorAirReflection,0
R2,32,GroundLumirrorGlueReflection,0
R2,33,GroundAirReflection,0
R2,34,GroundTeflonAirReflection,0
R2,35,GroundTiOAirReflection,0
R2,36,GroundTyvekAirReflection,0
R2,37,GroundVM2000AirReflection,0
R2,38,GroundVM2000GlueReflection,0
R2,39,Dichroic,0
R2,40,CoatedDielectricReflection,0
R2,41,CoatedDielectricRefraction,0
R2,42,CoatedDielectricFrustratedTransmission,0
