direction,status_int,status_name,count,eligible_denominator,excluded,percent
air_to_wrap,0,Undefined,0,3623938,1,nan
air_to_wrap,1,Transmission,0,3623938,0,0.0
air_to_wrap,2,FresnelRefraction,3066577,3623938,0,84.62001833364698
air_to_wrap,3,FresnelReflection,484562,3623938,0,13.371144870580016
air_to_wrap,4,TotalInternalReflection,0,3623938,0,0.0
air_to_wrap,5,LambertianReflection,0,3623938,0,0.0
air_to_wrap,6,LobeReflection,0,3623938,0,0.0
air_to_wrap,7,SpikeReflection,0,3623938,0,0.0
air_to_wrap,8,BackScattering,0,3623938,0,0.0
air_to_wrap,9,Absorption,72799,3623938,0,2.008836795772996
air_to_wrap,10,Detection,0,3623938,0,0.0
air_to_wrap,11,NotAtBoundary,0,3623938,1,nan
air_to_wrap,12,SameMaterial,0,3623938,1,nan
air_to_wrap,13,StepTooSmall,13,3623938,1,nan
air_to_wrap,14,NoRINDEX,0,3623938,0,0.0
air_to_wrap,15,PolishedLumirrorAirReflection,0,3623938,0,0.0
air_to_wrap,16,PolishedLumirrorGlueReflection,0,3623938,0,0.0
air_to_wrap,17,PolishedAirReflection,0,3623938,0,0.0
air_to_wrap,18,PolishedTeflonAirReflection,0,3623938,0,0.0
air_to_wrap,19,PolishedTiOAirReflection,0,3623938,0,0.0
air_to_wrap,20,PolishedTyvekAirReflection,0,3623938,0,0.0
air_to_wrap,21,PolishedVM2000AirReflection,0,3623938,0,0.0
air_to_wrap,22,PolishedVM2000GlueReflection,0,3623938,0,0.0
air_to_wrap,23,EtchedLumirrorAirReflection,0,3623938,0,0.0
air_to_wrap,24,EtchedLumirrorGlueReflection,0,3623938,0,0.0
air_to_wrap,25,EtchedAirReflection,0,3623938,0,0.0
air_to_wrap,26,EtchedTeflonAirReflection,0,3623938,0,0.0
air_to_wrap,27,EtchedTiOAirReflection,0,3623938,0,0.0
air_to_wrap,28,EtchedTyvekAirReflection,0,3623938,0,0.0
air_to_wrap,29,EtchedVM2000AirReflection,0,3623938,0,0.0
air_to_wrap,30,EtchedVM2000GlueReflection,0,3623938,0,0.0
air_to_wrap,31,GroundLumirrorAirReflection,0,3623938,0,0.0
air_to_wrap,32,GroundLumirrorGlueReflection,0,3623938,0,0.0
air_to_wrap,33,GroundAirReflection,0,3623938,0,0.0
air_to_wrap,34,GroundTeflonAirReflection,0,3623938,0,0.0
air_to_wrap,35,GroundTiOAirReflection,0,3623938,0,0.0
air_to_wrap,36,GroundTyvekAirReflection,0,3623938,0,0.0
air_to_wrap,37,GroundVM2000AirReflection,0,3623938,0,0.0
air_to_wrap,38,GroundVM2000GlueReflection,0,3623938,0,0.0
air_to_wrap,39,Dichroic,0,3623938,0,0.0
air_to_wrap,40,CoatedDielectricReflection,0,3623938,0,0.0
air_to_wrap,41,CoatedDielectricRefraction,0,3623938,0,0.0
air_to_wrap,42,CoatedDielectricFrustratedTransmission,0,3623938,0,0.0
wrap_to_air,0,Undefined,0,14,1,nan
wrap_to_air,1,Transmission,0,14,0,0.0
wrap_to_air,2,FresnelRefraction,0,14,0,0.0
wrap_to_air,3,FresnelReflection,0,14,0,0.0
wrap_to_air,4,TotalInternalReflection,13,14,0,92.85714285714286
wrap_to_air,5,LambertianReflection,0,14,0,0.0
wrap_to_air,6,LobeReflection,0,14,0,0.0
wrap_to_air,7,SpikeReflection,0,14,0,0.0
wrap_to_air,8,BackScattering,0,14,0,0.0
wrap_to_air,9,Absorption,1,14,0,7.142857142857143
