run,metric,value,qualification
R1,N,500,measured or derived
R1,END_L,40916,measured or derived
R1,END_R,41388,measured or derived
R1,TOP,831825,measured or derived
R1,scint_generated,10019652,measured or derived
R1,gKilledWorld,4940836,measured or derived
R1,gSparedWorldReflection,0,baseline policy; no spare counter existed
R1,Npe_per_end,82.304,measured or derived
R1,event_SEM,1.0228899137009329,measured or derived
R1,detected_total,914129,measured or derived
R1,zero_hit_events,0,measured or derived
R1,TOP_channels_observed,70,measured or derived
R1,boundary_absorption,641412,measured or derived
R1,boundary_detection,900310,measured or derived
R1,hits_minus_boundary_detection,13819,measured or derived
R1,world_reflection_census,3903471,measured or derived
R1,world_other_census,1038021,measured or derived
R1,spared_minus_world_reflection_census,-3903471,measured or derived
R1,killed_minus_world_census_selected,-656,measured or derived
R1,residual,3523275,measured or derived
R1,residual_pct,35.16364640209061,measured or derived
R1,bar_world_total,4930224,measured or derived
R2,N,500,measured or derived
R2,END_L,197367,measured or derived
R2,END_R,198027,measured or derived
R2,TOP,1999208,measured or derived
R2,scint_generated,10100121,measured or derived
R2,gKilledWorld,1321485,measured or derived
R2,gSparedWorldReflection,9640026,measured or derived
R2,Npe_per_end,395.394,measured or derived
R2,event_SEM,4.509400727129456,measured or derived
R2,detected_total,2394602,measured or derived
R2,zero_hit_events,0,measured or derived
R2,TOP_channels_observed,70,measured or derived
R2,boundary_absorption,1574237,measured or derived
R2,boundary_detection,2358244,measured or derived
R2,hits_minus_boundary_detection,36358,measured or derived
R2,world_reflection_census,9640254,measured or derived
R2,world_other_census,1321822,measured or derived
R2,spared_minus_world_reflection_census,-228,measured or derived
R2,killed_minus_world_census_selected,-337,measured or derived
R2,residual,4809797,measured or derived
R2,residual_pct,47.621181964057655,measured or derived
R2,bar_world_total,10936311,measured or derived
