process,volume,kill_reason,count
"OpAbsorption","BarLV","none",9099837
"OpAbsorption","VikuitiYMinusLV","none",284
"OpAbsorption","VikuitiZMinusLV","none",99052
"OpAbsorption","VikuitiZPlusLV","none",98371
"Transportation","AirGapYMinusLV","none",109273
"Transportation","AirGapYMinusLV","world_guard",34
"Transportation","AirGapZMinusLV","none",2431480
"Transportation","AirGapZMinusLV","world_guard",188004
"Transportation","AirGapZPlusLV","none",2433067
"Transportation","AirGapZPlusLV","world_guard",188173
"Transportation","BarLV","none",17073709
"Transportation","BarLV","world_guard",8149112
"Transportation","EndSiPMLV","none",19622
"Transportation","EndSiPMLV","world_guard",4330
"Transportation","TopSiPMLV","none",121244
"Transportation","TopSiPMLV","world_guard",23943
