macro,value,display,source,run_ids,interpretation,derivation
GuardBefore,82.304,82.304,guard,R1,measurement,
GuardBeforeSem,1.0228899137009329,1.023,guard,R1,measurement,
GuardAfter,395.394,395.394,guard,R2,measurement,
GuardAfterSem,4.509400727129456,4.509,guard,R2,measurement,
BarWorldCount,4930224,4930224,bar_world,R1,measurement,
KilledTirCount,3750479,3750479,bar_world,R1,measurement,
TirFraction,76.07116836882057,76.1,bar_world,R1,measurement,100*TIR / all BarPV-to-WorldPV encounters
OldReflection,13.371144870580016,13.371145,directional,R1,measurement,
MetalReflection,98.00010377747189,98.000104,metal_reflection,V1,measurement,
OldReflectCount,484562,484562,directional,R1,measurement,
OldEligible,3623938,3623938,directional,R1,measurement,
MetalReflectCount,443135951,443135951,metal_reflection,V1,measurement,
MetalEligible,452179063,452179063,metal_reflection,V1,measurement,
EndGain,1.098955519855238,1.09896,factorial,D0;D3,measurement,
EndGainSem,0.00852070697745047,0.00852,factorial,D0;D3,measurement,
EndTopGain,1.0115474617552014,1.01155,factorial,A0;B0,measurement,
EndTopGainSem,0.008302772685320573,0.00830,factorial,A0;B0,measurement,
GainRatio,1.0864102391679866,1.08641,factorial,D0;D3;A0;B0,measurement,
GainRatioSem,0.012266685488091176,0.01227,factorial,D0;D3;A0;B0,measurement,
MultiplicityDielectric,0.4889677358206595,0.48896774,multiplicity_dielectric,D3,measurement,
MultiplicityMetal,10.664766299079979,10.66476630,multiplicity_metal,V1,measurement,
EncounterRatio,21.810777108188454,21.8,multiplicity_metal + multiplicity_dielectric,D3;V1,measurement,ratio of consistent all-optical means
DesignGain,1.0324440863396303,1.03244,design,D1;D2,measurement,
DesignGainSem,0.008694660200312898,0.00869,design,D1;D2,measurement,
TopHits,9510815,9510815,D1 summary,D1,measurement,
GeneratedScint,40039535,40039535,D1 summary,D1,measurement,
TopHitRatio,23.75356007506081,23.75,D1 summary,D1,"mixed-population ratio, not unique interception",
DOneYield,397.1525,397.1525,D1 summary,D1,measurement,
DOneSem,2.40992722846526,2.4099,D1 summary,D1,measurement,
LedgerBar,9099837,9099837,terminal_scint,D1,measurement,
LedgerWrap,197707,197707,terminal_scint,D1,measurement,
LedgerGuard,8553596,8553596,terminal_scint,D1,measurement,
LedgerOther,22188395,22188395,terminal_scint,D1,measurement,
LedgerStart,40039535,40039535,terminal_audit,D1,measurement,
LedgerEnd,40039535,40039535,terminal_audit,D1,measurement,
LedgerResidual,0,0,terminal_audit,D1,measurement,100*(starts - terminals)/starts; duplicates and unknowns are zero
AuditTotal,967,967,claims_audit,,historical source-audit count,
AuditValid,180,180,claims_audit,,"historical source-audit count, not corrected-physics validation",
AuditUnverified,778,778,claims_audit,,"historical source-audit count, not corrected-physics validation",
AuditSuperseded,7,7,claims_audit,,"historical source-audit count, not corrected-physics validation",
AuditRefuted,2,2,claims_audit,,"historical source-audit count, not corrected-physics validation",
HistNpeA,1310.8,1310.8,historical source snapshots @ 3dc2c37ef5eb363d3dbea8079a6dbec921d9a53d,,AUDIT ONLY: quoted historical literal; not a new or accepted physics result,
HistNpeB,941.0,941.0,historical source snapshots @ 3dc2c37ef5eb363d3dbea8079a6dbec921d9a53d,,AUDIT ONLY: quoted historical literal; not a new or accepted physics result,
HistNpeC,701.3,701.3,historical source snapshots @ 3dc2c37ef5eb363d3dbea8079a6dbec921d9a53d,,AUDIT ONLY: quoted historical literal; not a new or accepted physics result,
HistSigmaLabel,52.1,52.1,historical source snapshots @ 3dc2c37ef5eb363d3dbea8079a6dbec921d9a53d,,AUDIT ONLY: quoted historical literal; not a new or accepted physics result,
HistSigmaCenter,53.36,53.36,historical source snapshots @ 3dc2c37ef5eb363d3dbea8079a6dbec921d9a53d,,AUDIT ONLY: quoted historical literal; not a new or accepted physics result,
HistSigmaMinimum,52.07,52.07,historical source snapshots @ 3dc2c37ef5eb363d3dbea8079a6dbec921d9a53d,,AUDIT ONLY: quoted historical literal; not a new or accepted physics result,
Zero,0,0,run macros,,configuration or definition,
Half,0.5,\tfrac{1}{2},END pe/end definition,,configuration or definition,
One,1,1,run macros / ratio unity,,configuration or definition,
TopCount,70,70,D1 metadata,,configuration or definition,
NoTopCount,0,0,D0 metadata,,configuration or definition,
GuardN,500,500,R1/R2 metadata,,configuration or definition,
MainN,2000,2000,D0/D1/D2/D3/V1/A0/B0 metadata,,configuration or definition,
ScanN,1000,1000,position metadata,,configuration or definition,
Energy,1,1,"run macros, GeV",,configuration or definition,
SeedA,26092601,26092601,all measured runs,,configuration or definition,
SeedB,8349041,8349041,all measured runs,,configuration or definition,
MetalR,0.98,0.98,f4d90a6 DetectorConstruction.cc:313,,configuration or definition,
NominalPercent,98,98,f4d90a6 R input times 100,,configuration or definition,
MetalWorkers,12,12,V1/D3 metadata,,configuration or definition,
XNear,200,200,position metadata,,configuration or definition,
XMiddle,500,500,position metadata,,configuration or definition,
XFar,650,650,position metadata,,configuration or definition,
