position_mm,mean_delta_ns,n_eff,fit_mean_ns,fit_sigma_lr_ps,fit_sigma_lr_err_ps,chi2_ndf_gaus,fwhm_ps,mpv_npe,sigma_landau,chi2_ndf_landau
-690.000000,-6.198386,10000,-6.186714,284.843604,2.244264,4.660939,606.722043,1812.573525,104.486270,11.878083
-670.000000,-5.977051,10000,-5.969782,275.865153,2.087282,4.311417,593.181368,1556.806378,85.545421,9.537233
-650.000000,-5.767542,10000,-5.758451,265.988785,2.060777,4.064182,604.350709,1379.725125,74.676237,9.916719
-600.000000,-5.266403,10000,-5.256576,243.049606,1.984889,3.939638,458.481256,1093.264487,59.372603,11.376947
-550.000000,-4.794301,10000,-4.787564,233.077399,1.847794,2.953606,454.872458,907.934983,51.649401,10.554662
-500.000000,-4.334564,10000,-4.332177,214.856176,1.613419,3.658113,449.715446,771.923136,43.391373,7.591681
-450.000000,-3.883232,10000,-3.879254,203.988099,1.592670,2.640824,447.543758,667.935920,38.011309,9.712731
-400.000000,-3.434849,10000,-3.431536,187.234499,1.412789,2.144290,379.772344,589.900685,35.164301,7.432747
-350.000000,-2.999426,10000,-2.997509,175.079571,1.300720,2.707044,376.470760,525.798414,31.026855,9.894186
-300.000000,-2.562934,10000,-2.559742,163.757907,1.210137,2.244521,366.983566,477.867226,29.149874,9.384424
-250.000000,-2.127873,10000,-2.128367,155.048605,1.150059,2.298791,343.594053,439.447957,26.728340,7.501279
-200.000000,-1.699466,10000,-1.698184,150.550069,1.133117,1.356544,336.406490,409.935707,25.263460,7.811943
-150.000000,-1.275406,10000,-1.275014,144.707531,1.058198,1.411374,315.169351,386.236553,23.046991,13.430534
-100.000000,-0.847334,10000,-0.846151,141.038971,1.060433,0.882368,304.389668,372.723584,22.618832,9.939957
-50.000000,-0.423138,10000,-0.422452,139.735414,1.042592,0.997264,310.220275,362.600556,22.236416,11.716685
0.000000,0.000384,10000,0.000299,138.477408,1.035313,1.095633,293.013373,360.584779,22.023018,9.794923
50.000000,0.424444,10000,0.423969,140.280871,1.038244,0.636482,313.363790,363.303142,22.539149,9.129800
100.000000,0.848180,10000,0.847201,139.629378,1.078963,1.312886,278.548248,372.169276,23.348808,7.694025
150.000000,1.276108,10000,1.274816,145.508656,1.095436,1.469547,268.458379,386.222798,23.655059,11.990367
200.000000,1.702490,10000,1.700850,150.940362,1.136590,1.573932,352.592518,407.667983,24.860529,11.537345
250.000000,2.127951,10000,2.126931,158.411017,1.210813,1.483640,303.110926,439.196441,26.508408,10.081797
300.000000,2.562017,10000,2.562465,162.536503,1.188832,2.440762,375.289722,478.416322,27.100356,13.630121
350.000000,2.996575,10000,2.993379,177.302249,1.371357,2.467268,376.073545,527.046274,31.522370,10.127265
400.000000,3.437023,10000,3.433469,191.194419,1.486757,2.261628,415.144671,589.659768,34.844893,7.151971
450.000000,3.877858,10000,3.874042,196.857886,1.500260,3.157385,390.487736,669.436774,38.038231,14.246434
500.000000,4.332613,10000,4.329409,217.430562,1.660090,3.178688,505.752468,773.417158,45.050111,6.415167
550.000000,4.791578,10000,4.785124,236.175194,1.929113,3.112899,506.015959,910.979779,53.401466,5.625025
600.000000,5.266410,10000,5.259265,244.848131,1.944898,4.419715,575.158900,1098.186263,56.911056,15.210574
650.000000,5.761280,10000,5.751043,266.899904,2.142532,4.689520,562.623202,1387.024407,78.703672,7.311077
670.000000,5.974427,10000,5.963238,280.146597,2.227453,4.173921,633.998928,1557.795115,86.546042,4.898519
690.000000,6.210278,10000,6.192648,287.091450,2.340139,4.781715,634.799476,1816.081577,104.774464,3.684235
