posicion_mm,sigma_LR_ps,err_sigma_LR_ps,sigma_single_ps,err_sigma_single_ps,fwhm_ps,sigma_single_cut_p25_ps,sigma_single_cut_p50_ps,NPE_L,NPE_R,MPV_NPE,chi2_ndf_gaus,chi2_ndf_landau,position_mm,n_eff,ratio
-690.0,284.843604,2.244264,201.414844,1.586934,606.722043,194.291642,182.93703,2067.6269,45.2105,1812.573525,4.660939,11.878083,-690.0,10000,0.9044663006171315
-670.0,275.865153,2.087282,195.06612,1.475931,593.181368,189.033319,179.294484,1761.3369,47.5283,1556.806378,4.311417,9.537233,-670.0,10000,0.9130609001771601
-650.0,265.988785,2.060777,188.082473,1.45719,604.350709,179.094978,174.286021,1551.0652,49.6068,1379.725125,4.064182,9.916719,-650.0,10000,0.9647944550866202
-600.0,243.049606,1.984889,171.862024,1.403529,458.481256,168.852487,157.663433,1211.9584,55.8575,1093.264487,3.939638,11.376947,-600.0,10000,0.8010059688720673
-550.0,233.077399,1.847794,164.810609,1.306588,454.872458,155.280079,150.257695,989.1609,62.4592,907.934983,2.953606,10.554662,-550.0,10000,0.8287023437931793
-500.0,214.856176,1.613419,151.926259,1.14086,449.715446,147.472504,142.41448,823.5868,69.5384,771.923136,3.658113,7.591681,-500.0,10000,0.8887897773242468
-450.0,203.988099,1.59267,144.241368,1.126188,447.543758,136.769047,130.576903,697.0151,77.4626,667.93592,2.640824,9.712731,-450.0,10000,0.9316220566094155
-400.0,187.234499,1.412789,132.394784,0.998993,379.772344,127.070932,121.376288,601.461,86.9311,589.900685,2.14429,7.432747,-400.0,10000,0.8612843396232354
-350.0,175.079571,1.30072,123.799952,0.919748,376.47076,118.572344,112.757028,515.5447,96.3356,525.798414,2.707044,9.894186,-350.0,10000,0.9130716645923644
-300.0,163.757907,1.210137,115.794327,0.855696,366.983566,110.42508,105.945197,447.7588,107.2326,477.867226,2.244521,9.384424,-300.0,10000,0.95159779274054
-250.0,155.048605,1.150059,109.63592,0.813215,343.594053,106.428386,102.217923,390.3208,119.7478,439.447957,2.298791,7.501279,-250.0,10000,0.940994020494946
-200.0,150.550069,1.133117,106.454975,0.801235,336.40649,101.996119,99.324921,342.245,133.2683,409.935707,1.356544,7.811943,-200.0,10000,0.9488389304846646
-150.0,144.707531,1.058198,102.323677,0.748259,315.169351,98.501111,97.250792,300.3025,148.3232,386.236553,1.411374,13.430534,-150.0,10000,0.9248300493503232
-100.0,141.038971,1.060433,99.729613,0.749839,304.389668,96.338185,93.301689,265.9039,166.5318,372.723584,0.882368,9.939957,-100.0,10000,0.9164311965319694
-50.0,139.735414,1.042592,98.807859,0.737224,310.220275,95.138465,93.046179,235.0655,185.9065,362.600556,0.997264,11.716685,-50.0,10000,0.9426984240713371
0.0,138.477408,1.035313,97.918314,0.732076,293.013373,94.644124,93.054792,209.0481,209.1341,360.584779,1.095633,9.794923,0.0,10000,0.8984990131918652
50.0,140.280871,1.038244,99.193555,0.73415,313.36379,95.180839,92.155704,186.6128,236.0643,363.303142,0.636482,9.1298,50.0,10000,0.9485482911429264
100.0,139.629378,1.078963,98.73288,0.762942,278.548248,95.511943,91.921499,166.6334,266.2982,372.169276,1.312886,7.694025,100.0,10000,0.8470961664530617
150.0,145.508656,1.095436,102.890157,0.77459,268.458379,99.311815,94.940523,148.8465,301.5652,386.222798,1.469547,11.990367,150.0,10000,0.7834246327777318
200.0,150.940362,1.13659,106.730954,0.80369,352.592518,103.252776,99.270778,133.4212,343.1754,407.667983,1.573932,11.537345,200.0,10000,0.9919203349821522
250.0,158.411017,1.210813,112.013504,0.856174,303.110926,107.365607,103.791947,119.615,390.151,439.196441,1.48364,10.081797,250.0,10000,0.8125036071046883
300.0,162.536503,1.188832,114.930664,0.840631,375.289722,112.613372,108.007061,107.1971,447.2413,478.416322,2.440762,13.630121,300.0,10000,0.9804486380122904
350.0,177.302249,1.371357,125.371622,0.969696,376.073545,120.685899,116.374409,96.461,517.1999,527.046274,2.467268,10.127265,350.0,10000,0.9006740040803327
400.0,191.194419,1.486757,135.19487,1.051296,415.144671,130.003049,125.324688,86.4581,598.8196,589.659768,2.261628,7.151971,400.0,10000,0.9220051460631835
450.0,196.857886,1.50026,139.199546,1.060844,390.487736,135.659254,130.929826,78.1801,702.498,669.436774,3.157385,14.246434,450.0,10000,0.8422939283374313
500.0,217.430562,1.66009,153.746625,1.173861,505.752468,148.916506,140.216751,69.972,828.3684,773.417158,3.178688,6.415167,500.0,10000,0.9877033138708616
550.0,236.175194,1.929113,167.001081,1.364089,506.015959,155.773425,154.052992,62.912,994.7192,910.979779,3.112899,5.625025,550.0,10000,0.9097855230263968
600.0,244.848131,1.944898,173.133774,1.37525,575.1589,166.583941,157.673105,56.0604,1218.0517,1098.186263,4.419715,15.210574,600.0,10000,0.9974706822318452
650.0,266.899904,2.142532,188.726732,1.514999,562.623202,179.221772,171.157125,49.9898,1558.566,1387.024407,4.68952,7.311077,650.0,10000,0.895113916035816
670.0,280.146597,2.227453,198.093559,1.575047,633.998928,193.154142,180.488052,47.3898,1757.1632,1557.795115,4.173921,4.898519,670.0,10000,0.9609753787785796
690.0,287.09145,2.340139,203.004311,1.654728,634.799476,193.821328,185.715685,45.1902,2064.5079,1816.081577,4.781715,3.684235,690.0,10000,0.9389130802121787
