posicion_mm,sigma_LR_ps,err_sigma_LR_ps,sigma_single_ps,err_sigma_single_ps,fwhm_ps,sigma_single_cut_p25_ps,sigma_single_cut_p50_ps,NPE_L,NPE_R,MPV_NPE,chi2_ndf_gaus,chi2_ndf_landau
-690.000000,284.843604,2.244264,201.414844,1.586934,606.722043,194.291642,182.937030,2067.626900,45.210500,1812.573525,4.660939,11.878083
-670.000000,275.865153,2.087282,195.066120,1.475931,593.181368,189.033319,179.294484,1761.336900,47.528300,1556.806378,4.311417,9.537233
-650.000000,265.988785,2.060777,188.082473,1.457190,604.350709,179.094978,174.286021,1551.065200,49.606800,1379.725125,4.064182,9.916719
-600.000000,243.049606,1.984889,171.862024,1.403529,458.481256,168.852487,157.663433,1211.958400,55.857500,1093.264487,3.939638,11.376947
-550.000000,233.077399,1.847794,164.810609,1.306588,454.872458,155.280079,150.257695,989.160900,62.459200,907.934983,2.953606,10.554662
-500.000000,214.856176,1.613419,151.926259,1.140860,449.715446,147.472504,142.414480,823.586800,69.538400,771.923136,3.658113,7.591681
-450.000000,203.988099,1.592670,144.241368,1.126188,447.543758,136.769047,130.576903,697.015100,77.462600,667.935920,2.640824,9.712731
-400.000000,187.234499,1.412789,132.394784,0.998993,379.772344,127.070932,121.376288,601.461000,86.931100,589.900685,2.144290,7.432747
-350.000000,175.079571,1.300720,123.799952,0.919748,376.470760,118.572344,112.757028,515.544700,96.335600,525.798414,2.707044,9.894186
-300.000000,163.757907,1.210137,115.794327,0.855696,366.983566,110.425080,105.945197,447.758800,107.232600,477.867226,2.244521,9.384424
-250.000000,155.048605,1.150059,109.635920,0.813215,343.594053,106.428386,102.217923,390.320800,119.747800,439.447957,2.298791,7.501279
-200.000000,150.550069,1.133117,106.454975,0.801235,336.406490,101.996119,99.324921,342.245000,133.268300,409.935707,1.356544,7.811943
-150.000000,144.707531,1.058198,102.323677,0.748259,315.169351,98.501111,97.250792,300.302500,148.323200,386.236553,1.411374,13.430534
-100.000000,141.038971,1.060433,99.729613,0.749839,304.389668,96.338185,93.301689,265.903900,166.531800,372.723584,0.882368,9.939957
-50.000000,139.735414,1.042592,98.807859,0.737224,310.220275,95.138465,93.046179,235.065500,185.906500,362.600556,0.997264,11.716685
0.000000,138.477408,1.035313,97.918314,0.732076,293.013373,94.644124,93.054792,209.048100,209.134100,360.584779,1.095633,9.794923
50.000000,140.280871,1.038244,99.193555,0.734150,313.363790,95.180839,92.155704,186.612800,236.064300,363.303142,0.636482,9.129800
100.000000,139.629378,1.078963,98.732880,0.762942,278.548248,95.511943,91.921499,166.633400,266.298200,372.169276,1.312886,7.694025
150.000000,145.508656,1.095436,102.890157,0.774590,268.458379,99.311815,94.940523,148.846500,301.565200,386.222798,1.469547,11.990367
200.000000,150.940362,1.136590,106.730954,0.803690,352.592518,103.252776,99.270778,133.421200,343.175400,407.667983,1.573932,11.537345
250.000000,158.411017,1.210813,112.013504,0.856174,303.110926,107.365607,103.791947,119.615000,390.151000,439.196441,1.483640,10.081797
300.000000,162.536503,1.188832,114.930664,0.840631,375.289722,112.613372,108.007061,107.197100,447.241300,478.416322,2.440762,13.630121
350.000000,177.302249,1.371357,125.371622,0.969696,376.073545,120.685899,116.374409,96.461000,517.199900,527.046274,2.467268,10.127265
400.000000,191.194419,1.486757,135.194870,1.051296,415.144671,130.003049,125.324688,86.458100,598.819600,589.659768,2.261628,7.151971
450.000000,196.857886,1.500260,139.199546,1.060844,390.487736,135.659254,130.929826,78.180100,702.498000,669.436774,3.157385,14.246434
500.000000,217.430562,1.660090,153.746625,1.173861,505.752468,148.916506,140.216751,69.972000,828.368400,773.417158,3.178688,6.415167
550.000000,236.175194,1.929113,167.001081,1.364089,506.015959,155.773425,154.052992,62.912000,994.719200,910.979779,3.112899,5.625025
600.000000,244.848131,1.944898,173.133774,1.375250,575.158900,166.583941,157.673105,56.060400,1218.051700,1098.186263,4.419715,15.210574
650.000000,266.899904,2.142532,188.726732,1.514999,562.623202,179.221772,171.157125,49.989800,1558.566000,1387.024407,4.689520,7.311077
670.000000,280.146597,2.227453,198.093559,1.575047,633.998928,193.154142,180.488052,47.389800,1757.163200,1557.795115,4.173921,4.898519
690.000000,287.091450,2.340139,203.004311,1.654728,634.799476,193.821328,185.715685,45.190200,2064.507900,1816.081577,4.781715,3.684235
