file,x_true_mm,size_bytes,mtime_ns,n_entries,n_event_ids_present_anywhere,event_id_min,event_id_max,n_events_missing_from_entire_tree,gun_x_mm_dominant,gun_x_mm_dominant_fraction,hits_A,hits_B,nonfinite_time_fraction,n_events_with_A,n_events_with_B,n_events_with_A_and_B,n_events_passing_4PE_both,efficiency
pairscan_x-462.0mm.root,-462.0,910141575,1781279319907672800,14499253,3000,0,2999,0,-462.0,1.0,1275935,941991,0.0,3000,3000,3000,3000,1.0
pairscan_x-461.0mm.root,-461.0,917383760,1781279208211507700,14613404,3000,0,2999,0,-461.0,1.0,1289028,948638,0.0,3000,3000,3000,3000,1.0
pairscan_x-460.0mm.root,-460.0,907994513,1781279099568528700,14463586,3000,0,2999,0,-460.0,1.0,1273880,921024,0.0,3000,3000,3000,3000,1.0
pairscan_x-459.0mm.root,-459.0,913212562,1781278992202004300,14546070,3000,0,2999,0,-459.0,1.0,1277033,942107,0.0,3000,3000,3000,3000,1.0
pairscan_x-458.0mm.root,-458.0,920057505,1781278939371907800,14654914,3000,0,2999,0,-458.0,1.0,1258812,947081,0.0,3000,3000,3000,3000,1.0
pairscan_x-457.0mm.root,-457.0,921676557,1781279639443497700,14681664,3000,0,2999,0,-457.0,1.0,1227972,937580,0.0,3000,3000,3000,3000,1.0
pairscan_x-456.0mm.root,-456.0,910920052,1781279521660384800,14508701,3000,0,2999,0,-456.0,1.0,1167399,929679,0.0,3000,3000,3000,3000,1.0
pairscan_x-455.0mm.root,-455.0,916919477,1781279461860282600,14603589,3000,0,2999,0,-455.0,1.0,1093093,959716,0.0,3000,3000,3000,3000,1.0
pairscan_x-454.0mm.root,-454.0,903931902,1781279362449349000,14396486,3000,0,2999,0,-454.0,1.0,1080894,964679,0.0,3000,3000,3000,3000,1.0
pairscan_x-453.0mm.root,-453.0,912450649,1781279252903491300,14531688,3000,0,2999,0,-453.0,1.0,1090566,1034241,0.0,3000,3000,3000,3000,1.0
pairscan_x-452.0mm.root,-452.0,923598895,1781279147283274900,14710528,3000,0,2999,0,-452.0,1.0,1102404,1094847,0.0,3000,3000,3000,3000,1.0
pairscan_x-451.0mm.root,-451.0,912382400,1781279920000462500,14530501,3000,0,2999,0,-451.0,1.0,1093253,1125777,0.0,3000,3000,3000,3000,1.0
pairscan_x-450.0mm.root,-450.0,912456815,1781279876796556900,14531351,3000,0,2999,0,-450.0,1.0,1095115,1186714,0.0,3000,3000,3000,3000,1.0
