x_true_mm,n_events_expected,n_event_ids_present,n_passed,efficiency,mean_npe_A,mean_npe_B,mu_dt_ps,mu_dt_err_ps,sigma_dt_ps,sigma_dt_err_ps,fit_status,chi2_ndf,fraction_within_3sigma,subpeak_sigma_guard_active,mu_R,mu_R_err,sigma_R,sigma_R_err,v1_mu_dt_ps,v1_sigma_dt_ps,v1_mu_R,qa_refit_required
-462.0,3000,3000,3000,1.0,425.31166666666667,313.997,-128.21584873986902,2.771679603967956,114.77912463972164,2.095376674439236,ok,279.4048294585762,0.998,False,0.30365419466242105,0.0015640698865849868,0.08183317426784921,0.0013010366752861475,-116.878,113.291,0.3032,True
-461.0,3000,3000,3000,1.0,429.676,316.2126666666667,-117.98840407887991,2.7279474526573457,111.06276683520251,1.8383029153687525,ok,260.0981745172108,0.9996666666666667,False,0.30505532941775537,0.0015638050293712363,0.0817591256644833,0.0013033098335475419,-105.416,108.292,0.3046,True
-460.0,3000,3000,3000,1.0,424.62666666666667,307.008,-117.04306632524482,2.6549558251479795,109.78539450132253,1.8966884639315547,ok,236.81529238648906,0.997,False,0.32536279534704665,0.0015975122257801523,0.08169512181762376,0.00133079140264882,-107.109,111.863,0.3254,True
-459.0,3000,3000,3000,1.0,425.67766666666665,314.03566666666666,-112.1719416156771,2.6607093520278826,105.99077403466667,1.931689664342182,ok,255.68113725490082,0.996,False,0.3047486837857065,0.0016282185125383185,0.08432240604551743,0.0013857998797845356,-100.152,110.867,0.3053,True
-458.0,3000,3000,3000,1.0,419.604,315.6936666666667,-108.80557281243976,2.669272468830957,109.6090524323352,1.8960480706625105,ok,206.03025880670978,0.9983333333333333,False,0.28496688501655015,0.0015329906030942715,0.08022646003448984,0.0012689071663009965,-99.84,112.108,0.2849,True
-457.0,3000,3000,3000,1.0,409.324,312.52666666666664,-102.07014176367987,2.63188741616063,107.95721864320366,1.8497181250426273,ok,232.4481436427068,0.9986666666666667,False,0.27209208628997067,0.0016953419380250946,0.08485135483958667,0.0014488289275888771,-96.585,114.706,0.2716,True
-456.0,3000,3000,3000,1.0,389.133,309.893,-105.96701412875525,2.6214964896428885,106.2090576073462,1.9239751578031534,ok,318.9050721167421,0.9953333333333333,False,0.22784537730500787,0.0016915361610642806,0.08469312198999644,0.001446743964262674,-98.248,113.206,0.2289,True
-455.0,3000,3000,3000,1.0,364.3643333333333,319.9053333333333,-87.16362043082975,2.8564628937634726,109.83493758885471,1.959143966933786,ok,504.3440926338842,0.9996666666666667,False,0.1301179395244033,0.0016742173451661131,0.08404077686121006,0.0014387897548585795,-81.556,112.123,0.1302,True
-454.0,3000,3000,3000,1.0,360.298,321.55966666666666,-84.4547901044861,2.936243906984163,111.55275658473808,1.9846746034082505,ok,584.8386210305711,1.0,False,0.11448237782460896,0.0016456307868163498,0.08430749685478324,0.0013969009037958933,-79.656,111.655,0.115,True
-453.0,3000,3000,3000,1.0,363.522,344.747,-79.87403100871812,2.998406398654356,107.30151705168616,1.9692256882143535,ok,769.2247523178023,0.9986666666666667,False,0.051134419216951804,0.001724037043430798,0.07928360955406215,0.0018852624600113688,-70.686,106.027,0.0534,True
-452.0,3000,3000,3000,1.0,367.468,364.949,-69.47919612969936,2.9992518652602436,108.53954225858337,2.002478776785129,ok,776.0266884886028,0.9996666666666667,False,0.007346585432193101,0.001634948790189885,0.08456727257607681,0.0014067341810030235,-69.919,109.399,0.0088,True
-451.0,3000,3000,3000,1.0,364.41766666666666,375.259,-71.3943109024905,2.887859031454224,110.67533973428796,1.9671858211318878,ok,634.9111085228832,0.9996666666666667,False,-0.029678793243200115,0.0016198014760062992,0.08211080922670522,0.0013546996713026766,-69.632,107.625,-0.0296,True
-450.0,3000,3000,3000,1.0,365.03833333333336,395.5713333333333,-59.07118143734962,2.8830237838435586,108.37557046509774,1.9600280839272153,ok,475.1397142356821,0.9996666666666667,False,-0.07996260042397924,0.0015841803830753157,0.08133559079683998,0.0012881363926989307,-58.513,108.448,-0.0802,True
-449.0,3000,3000,3000,1.0,368.198,408.638,-53.500167866658145,3.009513405497761,113.0701269493239,2.0550252634597137,ok,416.3693134607241,1.0,False,-0.10647286317126149,0.0015399875799846695,0.08068879750370046,0.0012724459343454052,-56.266,110.024,-0.1066,True
-448.0,3000,3000,3000,1.0,395.50166666666667,410.531,-40.415965614522584,2.905500061171271,106.11706891086524,1.9302157484883908,ok,552.8941537301613,0.9996666666666667,False,-0.03664327887738082,0.0016309107945196436,0.08109348285279466,0.0013257564148543774,-50.568,106.716,-0.0372,True
-447.0,3000,3000,3000,1.0,412.839,413.7486666666667,-42.26225569929312,2.999965102294718,113.02002410807327,1.9886876194725787,ok,789.2403314063538,0.9996666666666667,False,-0.0017395793871784143,0.001468415669030861,0.07793923594475555,0.0011776274286553648,-46.496,110.548,-0.0016,True
-446.0,3000,3000,3000,1.0,423.4066666666667,420.64033333333333,-30.561513345500757,3.2418108231921323,112.29268569361633,2.0325624355276197,ok,932.9245336322354,1.0,False,0.00807136852561291,0.001468354838081357,0.077754060308455,0.0011806064513883493,-43.55,109.613,0.0078,True
-445.0,3000,3000,3000,1.0,426.77433333333335,422.8396666666667,-28.370563353007505,3.1889846370361195,111.18544865901946,2.01295982706369,ok,1012.580241993552,1.0,False,0.010082900115635441,0.0013774121488725611,0.07373538775191567,0.001073442897057211,-32.336,103.692,0.0101,True
-444.0,3000,3000,3000,1.0,431.803,425.0783333333333,-14.608952413178914,3.0234388184899643,110.56861042396615,1.944686011197499,ok,940.4011376014829,1.0,False,0.017037083366494805,0.001481496414485113,0.07809692293249917,0.0011961142231994315,-25.62,24.428,0.0164,True
-443.0,3000,3000,3000,1.0,433.728,429.2153333333333,-6.925278302178663,2.7526895526305393,103.35939218964953,1.8413470943130565,ok,609.0897899914177,0.9986666666666667,False,0.01083109419476435,0.001390769688474769,0.0743583281663272,0.0010966649539997642,-8.892,91.802,0.0108,True
-442.0,3000,3000,3000,1.0,431.2903333333333,426.2026666666667,-5.233918780706225,2.9797295206419836,109.98272774714431,1.9309901034295902,ok,500.01659975331773,0.9996666666666667,False,0.011532952453016696,0.0014772611576646883,0.07792548945354633,0.0011784587297243307,0.316,40.8,0.0117,True
-441.0,3000,3000,3000,1.0,432.6433333333333,427.8326666666667,4.931922758783195,3.109575271322629,114.151321311844,2.0732788809129366,ok,685.7636041219407,1.0,False,0.012875355673338607,0.0014431941100473413,0.07664568291073778,0.0011531628485073283,6.938,101.413,0.0121,True
-440.0,3000,3000,3000,1.0,429.556,426.80066666666664,18.104588667523732,3.1711201477458135,111.115080122324,2.01564097350634,ok,967.9626434107662,0.9996666666666667,False,0.006485933720876271,0.0013845546207647693,0.07409677480866031,0.0010775344249614593,22.672,113.74,0.0067,True
-439.0,3000,3000,3000,1.0,426.51733333333334,424.34566666666666,19.796737028815237,3.2295395542156755,111.41880206289505,2.024596576966824,ok,1081.011983204718,1.0,False,0.004855597262365485,0.001404391980378099,0.07487077673586996,0.0011064049905558195,26.772,22.958,0.0048,True
-438.0,3000,3000,3000,1.0,427.76033333333334,423.97133333333335,33.86688371884201,3.143890275366797,113.38173345003699,2.014481562174186,ok,938.0517756874517,0.9993333333333333,False,0.00947975476993056,0.001454191371158625,0.07720438261343927,0.0011607496090943546,40.9,105.611,0.0092,True
-437.0,3000,3000,3000,1.0,421.11833333333334,414.428,38.734414007898955,3.1589974448833837,112.68370116014313,2.013067326848015,ok,931.0221673865158,0.9996666666666667,False,0.01759619333740569,0.0015271562416018583,0.07968292721553014,0.0012378534493566959,42.596,109.769,0.017,True
-436.0,3000,3000,3000,1.0,414.26733333333334,395.8043333333333,45.875824032106145,3.145823828658811,113.21240562720278,2.020982007646809,ok,620.3164788578465,0.9996666666666667,False,0.04727870924002377,0.0015930965234321839,0.07597290969580991,0.0016415413274993873,50.837,107.223,0.0463,True
-435.0,3000,3000,3000,1.0,406.41266666666667,366.25333333333333,58.25865018242064,2.85397918126943,104.3247737388785,1.9535607973129254,ok,406.21069790872536,0.999,False,0.10525417578785214,0.0014730962044733791,0.07798580421323682,0.0011801168764854538,62.218,104.999,0.1054,True
-434.0,3000,3000,3000,1.0,393.30266666666665,365.0953333333333,59.46341054523294,2.755924056974197,105.99361170765712,1.852522042388475,ok,435.595922910878,0.9986666666666667,False,0.07646421771841955,0.001535611617341588,0.07978734555211325,0.0012751063172460092,62.067,105.081,0.0758,True
-433.0,3000,3000,3000,1.0,378.9153333333333,367.57733333333334,63.333808649192086,2.8934870547904046,108.28638130230092,1.9457761885295684,ok,621.8938183268993,0.9983333333333333,False,0.03218285418209146,0.0016654223268534668,0.08357354166748761,0.001426154639110159,62.123,106.915,0.0315,True
-432.0,3000,3000,3000,1.0,361.34766666666667,363.686,75.2727898005933,2.981886800965038,109.00783431954947,1.9619304215248516,ok,700.4223305373472,0.9993333333333333,False,-0.006102042418774501,0.0016150915614694251,0.08323176551929197,0.0013469874004136398,70.178,111.433,-0.0065,True
-431.0,3000,3000,3000,1.0,341.9096666666667,362.59866666666665,80.1852317400835,2.9908051472781536,112.59377389690697,2.030447397911689,ok,652.856120333996,1.0,False,-0.05768743521403256,0.001676050792809985,0.08184645816746157,0.0013931681650998032,74.262,110.901,-0.0575,True
-430.0,3000,3000,3000,1.0,324.83633333333336,366.0253333333333,82.22659497668835,2.831908011207579,110.07758318619591,1.944244255487631,ok,541.4645499885497,0.999,False,-0.12002519043055931,0.0016195118384660467,0.08306722769181023,0.0013692144812445465,78.531,111.398,-0.1201,True
-429.0,3000,3000,3000,1.0,316.811,365.20866666666666,94.02152326401138,2.7634372058205634,107.15623520771773,1.9125526574756038,ok,495.2066135320603,1.0,False,-0.14280740780434123,0.0017561718484300423,0.08478212998003037,0.0015693084217478013,88.748,111.62,-0.1438,True
-428.0,3000,3000,3000,1.0,310.19466666666665,393.19966666666664,108.56910572350266,2.6348020358545376,102.41363212891154,1.8031994043484791,ok,401.89892025159133,0.9943333333333333,False,-0.23555092734452415,0.0017123651586637841,0.08458129724174468,0.001503393355468288,98.357,106.112,-0.2369,True
