test_x,estimators,weights,condition_number,covariance
-690.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.00702947210346103, 0.3877257244090376, 0.6193037476944234]",14.283067372161378,"[[2062.685201497305, 636.9866654078734, -219.41402925157468], [636.9866654078734, 1020.9281540458453, -475.9697185909926], [-219.41402925157468, -475.9697185909926, 451.4681814382756]]"
-670.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.009612884296371332, 0.40362475292219635, 0.605988131374175]",13.838507442701074,"[[2056.447459563066, 647.8571319240998, -232.07101074754746], [647.8571319240998, 1085.9388266155597, -546.2046080318445], [-232.07101074754746, -546.2046080318445, 526.943213599294]]"
-650.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.009230016339882244, 0.40741642000478423, 0.601813596335098]",13.873379621513369,"[[2088.4955480771728, 664.3463001256396, -246.90353937045776], [664.3463001256396, 1115.3888682845277, -574.0930053732185], [-246.90353937045776, -574.0930053732185, 555.6784219605133]]"
-600.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.009505251568394331, 0.4087759964665829, 0.6007292551018115]",14.002425168357368,"[[2120.03170796133, 676.9908456904044, -254.87596228589302], [676.9908456904044, 1129.391365071967, -585.5522825158594], [-254.87596228589302, -585.5522825158594, 566.664234509585]]"
-550.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.009594547869171844, 0.4080194538472544, 0.6015750940219173]",14.014152523255781,"[[2152.8028426936817, 675.8414200202774, -251.07965459533034], [675.8414200202774, 1122.381657021117, -577.5025445122322], [-251.07965459533034, -577.5025445122322, 560.6636490285596]]"
-500.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.009557926083800312, 0.4065926769368004, 0.6029652491469999]",14.105167630229268,"[[2176.0196445293695, 678.5910678431555, -250.55662320384442], [678.5910678431555, 1118.5538269997928, -570.9696949738136], [-250.55662320384442, -570.9696949738136, 553.5846098625325]]"
-450.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.009276090724924739, 0.40587220011691993, 0.6034038906080048]",14.103648041495788,"[[2188.756393746753, 675.7294348923085, -248.28232357554646], [675.7294348923085, 1114.2100022443262, -566.4805501826097], [-248.28232357554646, -566.4805501826097, 549.8104877291389]]"
-400.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.010210217116905762, 0.40653897771194625, 0.6036712394049597]",14.11505329661401,"[[2204.677409030268, 673.3709470014933, -243.12056209608852], [673.3709470014933, 1111.2953880480054, -563.9381087773888], [-243.12056209608852, -563.9381087773888, 548.7372881764308]]"
-350.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.010585535197159062, 0.40699643354705517, 0.6035891016501039]",14.096037231535314,"[[2212.155924953622, 671.1481379090557, -240.19196961375215], [671.1481379090557, 1110.0804690126463, -563.1870087281723], [-240.19196961375215, -563.1870087281723, 549.1042357469652]]"
-300.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.01073455078712208, 0.40732975929770626, 0.6034047914894157]",14.120853475283145,"[[2218.909252658634, 673.4652217275562, -241.23697602309272], [673.4652217275562, 1114.5660115399385, -566.4964514981606], [-241.23697602309272, -566.4964514981606, 552.036017511427]]"
-250.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.011113001995673801, 0.4073931517246191, 0.6037198502710547]",14.233780688004089,"[[2228.3925144517975, 680.5104917404706, -244.46668260278565], [680.5104917404706, 1126.1081380579271, -573.6508985144745], [-244.46668260278565, -573.6508985144745, 556.3283751352445]]"
-200.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.01116581443043122, 0.40784275994123714, 0.6033230544891942]",14.255720788580547,"[[2233.8587736010854, 684.2073513325225, -246.97227994071224], [684.2073513325225, 1131.4254192782175, -577.968700272336], [-246.97227994071224, -577.968700272336, 560.3379357339378]]"
-150.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.011163145175936848, 0.4082345580818891, 0.6029285870940477]",14.276799795266435,"[[2239.0899015517416, 686.7175170291105, -248.99793797129374], [686.7175170291105, 1133.8904791932885, -580.5145042269679], [-248.99793797129374, -580.5145042269679, 562.9606072042275]]"
-100.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.011231431690276503, 0.4085760712445268, 0.6026553604457496]",14.30592350962607,"[[2243.5834044311177, 690.37304607563, -251.4633457457494], [690.37304607563, 1136.7983238512563, -583.0682318128022], [-251.4633457457494, -583.0682318128022, 565.3794460905332]]"
-50.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.011279219485513248, 0.40847175245469686, 0.6028074670308163]",14.34236754399929,"[[2246.93844928787, 694.0191106421344, -253.4175744394892], [694.0191106421344, 1141.6706634394122, -585.8101596060075], [-253.4175744394892, -585.8101596060075, 567.030192927409]]"
0.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.011255149638178238, 0.40844497027383986, 0.6028101793643384]",14.351337407969938,"[[2247.8264632450578, 694.3989868549152, -253.7456917082679], [694.3989868549152, 1142.5896464662162, -586.4296545973048], [-253.7456917082679, -586.4296545973048, 567.3957959339998]]"
50.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.011275415570534778, 0.4084410587431486, 0.6028343568273863]",14.345777292729396,"[[2247.5593092047484, 694.0673125803585, -253.41260654340482], [694.0673125803585, 1141.9286472710746, -585.9106191210609], [-253.41260654340482, -585.9106191210609, 567.038381875156]]"
100.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.011162154818475602, 0.4084303649205438, 0.6027317898979319]",14.303441953478034,"[[2244.6506447824704, 690.5263285041763, -251.51783215575583], [690.5263285041763, 1137.4849907742105, -583.1725898957706], [-251.51783215575583, -583.1725898957706, 565.3541220044617]]"
150.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.011271773609069884, 0.4083053051586732, 0.6029664684503967]",14.276306491232504,"[[2239.49447080689, 687.4269014535179, -249.0251074781796], [687.4269014535179, 1133.9797940750484, -580.4273990062555], [-249.0251074781796, -580.4273990062555, 562.9961795365152]]"
200.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.011025895119907578, 0.40781986689733385, 0.6032060282225737]",14.262360840319571,"[[2234.067261425711, 683.8433109508087, -247.4129086409149], [683.8433109508087, 1131.0538588926513, -578.1024964336752], [-247.4129086409149, -578.1024964336752, 560.413950347475]]"
250.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.011100934281993805, 0.40719367579272153, 0.6039072584892723]",14.258277769829157,"[[2229.1286909383025, 682.143429059638, -245.39760821451915], [682.143429059638, 1128.2595318968786, -574.6346469766219], [-245.39760821451915, -574.6346469766219, 556.5177915480604]]"
300.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.01063085378674888, 0.40708768695199965, 0.6035431668347492]",14.161317201387668,"[[2221.8008876682616, 676.6786531344505, -243.52170500375865], [676.6786531344505, 1117.0172340071144, -567.74438479551], [-243.52170500375865, -567.74438479551, 552.4127674220587]]"
350.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.010680792320645737, 0.40708614126808623, 0.6035946510525596]",14.10308180144971,"[[2212.986476877305, 672.3475742027894, -240.66451341777318], [672.3475742027894, 1110.4904393522154, -563.4260423986408], [-240.66451341777318, -563.4260423986408, 549.3679621466455]]"
400.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.010366606365784617, 0.4069992881194732, 0.6033673182463114]",14.172196122347666,"[[2201.901576566174, 672.0251116844166, -243.29622281183265], [672.0251116844166, 1108.5389381468312, -564.0302729865834], [-243.29622281183265, -564.0302729865834, 548.46899899901]]"
450.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.00946204730346593, 0.40634012213138115, 0.6031219251720847]",14.071599697090823,"[[2185.4799251310496, 671.6753329951421, -245.63946988860027], [671.6753329951421, 1111.2709973168503, -565.5566185361969], [-245.63946988860027, -565.5566185361969, 549.7778338964723]]"
500.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.009553866960081332, 0.40672353593839083, 0.6028303310216905]",14.08157255650498,"[[2172.0130281484626, 677.0494904983981, -249.83414862819103], [677.0494904983981, 1116.9498045372695, -570.3231552243572], [-249.83414862819103, -570.3231552243572, 553.3732921055599]]"
550.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.01003639656926862, 0.40835262947256723, 0.6016837670967012]",14.067339226285569,"[[2161.352475623142, 677.2906462154535, -250.74354819774376], [677.2906462154535, 1122.585078771587, -577.7122919721181], [-250.74354819774376, -577.7122919721181, 560.7707791748205]]"
600.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.009566124888811133, 0.40879939048594255, 0.6007667344028685]",14.033633521285473,"[[2127.2509611533856, 677.4010396396479, -254.87641394036174], [677.4010396396479, 1129.5831372499854, -585.6557329859029], [-254.87641394036174, -585.6557329859029, 566.65560932958]]"
650.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.009861250355243266, 0.40770103504636784, 0.6021602153088754]",13.904911049498178,"[[2084.8040845062865, 664.9136405645402, -245.62017279702783], [664.9136405645402, 1116.9450426017938, -574.9271588573098], [-245.62017279702783, -574.9271588573098, 555.667371472742]]"
670.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.010338086190994819, 0.40453824934826543, 0.6057998368427294]",13.884969048095304,"[[2078.3340770667055, 652.1751819152024, -232.35615522054877], [652.1751819152024, 1083.8693932333151, -544.9686099672217], [-232.35615522054877, -544.9686099672217, 527.6347048029228]]"
690.0,dt_end_weighted;R_end;x_top_centroid_raw,"[-0.006713946955227509, 0.38745245927991706, 0.6192614876753105]",14.305280918992521,"[[2068.418092821305, 646.4985364937677, -225.4613528189646], [646.4985364937677, 1023.7416977537558, -476.9068021993692], [-225.4613528189646, -476.9068021993692, 452.54815476609474]]"
