test_x,method,coefficients,train_positions
-690.0,dt_end_pool,"[126.70009297244914, -0.32280974371892035]",30
-690.0,dt_end_weighted,"[91.45363486825441, -0.20795001904489957]",30
-690.0,R_end,"[-168.33992037621064, -1.8563372809724368]",30
-690.0,A_end,"[-572.4282766133622, 4.217150782369227]",30
-690.0,x_top_centroid_raw,"[1.2251452548585224, 1.873193298473455]",30
-690.0,local_R,"[40.06522317551575, 0.17258443725264988]",30
-670.0,dt_end_pool,"[126.66526044599843, -0.25559738374530994]",30
-670.0,dt_end_weighted,"[91.45593612619749, -0.23062858022248783]",30
-670.0,R_end,"[-167.85772453922064, -1.1668518280912632]",30
-670.0,A_end,"[-573.5008613174047, 3.6327059321694253]",30
-670.0,x_top_centroid_raw,"[1.2282857166314647, 1.1068532544984526]",30
-670.0,local_R,"[40.05819335103431, 0.16629885504411498]",30
-650.0,dt_end_pool,"[126.63945313191356, -0.20463410667023546]",30
-650.0,dt_end_weighted,"[91.38691481471129, -0.0337065855511738]",30
-650.0,R_end,"[-167.5512801395637, -0.6958289021901084]",30
-650.0,A_end,"[-574.5515114120585, 3.0542577746122204]",30
-650.0,x_top_centroid_raw,"[1.2304143254580362, 0.59546378875642]",30
-650.0,local_R,"[39.99931228031875, 0.16215474560148668]",30
-600.0,dt_end_pool,"[126.5832858872345, -0.0823940160608396]",30
-600.0,dt_end_weighted,"[91.33297107269617, 0.11880701616212234]",30
-600.0,R_end,"[-167.10394897768148, 0.08687857100138338]",30
-600.0,A_end,"[-577.0168257735031, 1.6741575364809258]",30
-600.0,x_top_centroid_raw,"[1.2333897544687222, -0.14018588446005284]",30
-600.0,local_R,"[41.22293368321568, -0.04801702179864264]",30
-550.0,dt_end_pool,"[126.51513151893603, 0.09693955752441978]",30
-550.0,dt_end_weighted,"[91.22311759783568, 0.5157940137296053]",30
-550.0,R_end,"[-166.90523228010065, 0.5308255586124414]",30
-550.0,A_end,"[-579.2070646470272, 0.4049326400634166]",30
-550.0,x_top_centroid_raw,"[1.234457044188259, -0.4452296763336637]",30
-550.0,local_R,"[40.08221209815641, 0.16388018084024547]",30
-500.0,dt_end_pool,"[126.50810760513782, 0.12730220238859202]",30
-500.0,dt_end_weighted,"[91.22870224317568, 0.5091084201339495]",30
-500.0,R_end,"[-166.87994074736804, 0.6577090971822472]",30
-500.0,A_end,"[-581.1244515282139, -0.7672175046416168]",30
-500.0,x_top_centroid_raw,"[1.2349795801772305, -0.6402000221241032]",30
-500.0,local_R,"[41.2253693717785, -0.04876145426082173]",30
