file,x_true_mm,size_bytes,mtime_ns,n_entries,tree,schema,n_event_ids_present,event_id_min,event_id_max,gun_x_values,nonfinite_time_fraction,hits_end_left,hits_end_right,hits_top
photon_hits_x-690mm.root,-690.0,765410329,1781101191317266500,12087964,sipm_hits,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",2000,0,1999,-690.0,0.0,6726204,82263,5279497
photon_hits_x-670mm.root,-670.0,727285647,1781101208509675000,11507611,sipm_hits,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",2000,0,1999,-670.0,0.0,5528690,85153,5893768
photon_hits_x-650mm.root,-650.0,708795309,1781101244384460500,11221432,sipm_hits,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",2000,0,1999,-650.0,0.0,4732446,88582,6400404
photon_hits_x-600mm.root,-600.0,673220797,1781101260670495500,10622292,sipm_hits,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",2000,0,1999,-600.0,0.0,3347231,96080,7178981
photon_hits_x-550mm.root,-550.0,668578091,1781101297243788300,10527215,sipm_hits,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",2000,0,1999,-550.0,0.0,2647718,110274,7769223
photon_hits_x-500mm.root,-500.0,655231598,1781101310939603200,10309513,sipm_hits,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",2000,0,1999,-500.0,0.0,2084423,119603,8105487
photon_hits_x-450mm.root,-450.0,640137930,1781101323428727400,10069913,sipm_hits,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",2000,0,1999,-450.0,0.0,1665793,131572,8272548
photon_hits_x-400mm.root,-400.0,641851015,1781101347985414300,10099595,sipm_hits,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",2000,0,1999,-400.0,0.0,1382572,149077,8567946
photon_hits_x-350mm.root,-350.0,637607357,1781101361287810100,10035623,sipm_hits,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",2000,0,1999,-350.0,0.0,1150023,168295,8717305
photon_hits_x-300mm.root,-300.0,638023637,1781101386486830200,10047703,sipm_hits,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",2000,0,1999,-300.0,0.0,964597,188369,8894737
