x_true_mm,npe_A_exact,npe_B_exact,eff_exact,mu_new,mu_old,sigma_new,sigma_old
-462.0,True,True,True,-128.21584873986902,-128.21584873986902,114.77912463972164,114.77912463972164
-461.0,True,True,True,-117.98840407887991,-117.98840407887992,111.06276683520251,111.06276683520252
-460.0,True,True,True,-117.04306632524482,-117.04306632524482,109.78539450132253,109.78539450132251
-459.0,True,True,True,-112.1719416156771,-112.1719416156771,105.99077403466667,105.99077403466669
-458.0,True,True,True,-108.80557281243976,-108.80557281243976,109.6090524323352,109.6090524323352
-457.0,True,True,True,-102.07014176367987,-102.07014176367989,107.95721864320366,107.95721864320366
-456.0,True,True,True,-105.96701412875525,-105.96701412875524,106.2090576073462,106.2090576073462
-455.0,True,True,True,-87.16362043082975,-87.16362043082975,109.83493758885471,109.83493758885471
-454.0,True,True,True,-84.4547901044861,-84.4547901044861,111.55275658473808,111.55275658473808
-453.0,True,True,True,-79.87403100871812,-79.87403100871812,107.30151705168616,107.30151705168616
-452.0,True,True,True,-69.47919612969936,-69.47919612969936,108.53954225858337,108.53954225858335
-451.0,True,True,True,-71.3943109024905,-71.3943109024905,110.67533973428796,110.67533973428796
-450.0,True,True,True,-59.07118143734962,-59.07118143734962,108.37557046509774,108.37557046509774
-449.0,True,True,True,-53.500167866658145,-53.50016786665815,113.0701269493239,113.0701269493239
-448.0,True,True,True,-40.415965614522584,-40.41596561452258,106.11706891086524,106.11706891086524
-447.0,True,True,True,-42.26225569929312,-42.26225569929312,113.02002410807327,113.02002410807329
-446.0,True,False,True,-30.561513345500757,-30.56151334550076,112.29268569361633,112.29268569361632
-445.0,True,True,True,-28.370563353007505,-28.370563353007505,111.18544865901946,111.18544865901946
-444.0,True,True,True,-14.608952413178914,-14.608952413178914,110.56861042396615,110.56861042396616
-443.0,True,True,True,-6.925278302178663,-6.925278302178663,103.35939218964953,103.35939218964953
-442.0,True,True,True,-5.233918780706225,-5.233918780706225,109.98272774714431,109.98272774714432
-441.0,True,True,True,4.931922758783195,4.931922758783195,114.151321311844,114.151321311844
-440.0,True,False,True,18.104588667523732,18.10458866752373,111.115080122324,111.115080122324
-439.0,False,True,True,19.796737028815237,19.79673702881524,111.41880206289505,111.41880206289504
-438.0,False,True,True,33.86688371884201,33.86688371884201,113.38173345003699,113.381733450037
-437.0,False,True,True,38.734414007898955,38.73441400789896,112.68370116014313,112.68370116014312
-436.0,False,True,True,45.875824032106145,45.87582403210615,113.21240562720278,113.21240562720278
-435.0,True,False,True,58.25865018242064,58.25865018242064,104.3247737388785,104.3247737388785
-434.0,True,True,True,59.46341054523294,59.46341054523294,105.99361170765712,105.99361170765712
-433.0,True,False,True,63.333808649192086,63.333808649192086,108.28638130230092,108.28638130230092
-432.0,False,True,True,75.2727898005933,75.2727898005933,109.00783431954947,109.00783431954947
-431.0,True,True,True,80.1852317400835,80.1852317400835,112.59377389690697,112.59377389690697
-430.0,True,True,True,82.22659497668835,82.22659497668835,110.07758318619591,110.07758318619592
-429.0,True,True,True,94.02152326401138,94.02152326401138,107.15623520771773,107.15623520771771
-428.0,True,False,True,108.56910572350266,108.56910572350266,102.41363212891154,102.41363212891154
-427.0,True,True,True,106.95138501135574,106.95138501135574,110.15056713338672,110.15056713338672
-426.0,True,True,True,109.26834193510547,109.26834193510548,105.7066374428087,105.7066374428087
-425.0,True,True,True,115.2837490151906,115.2837490151906,105.22569475647911,105.22569475647911
-424.0,True,True,True,116.58421597376521,116.5842159737652,111.11527545343333,111.11527545343333
-423.0,True,True,True,123.95574777714724,123.95574777714724,118.7515310291063,118.7515310291063
-422.0,False,True,True,128.17221557954056,128.17221557954056,115.91041148788334,115.91041148788334
