threshold,efficiency_mean,efficiency_min,slope_ps_per_mm,slope_error,calibration_chi2_ndf,mean_sigma_delta_t_core,mean_rms68_delta_t,mean_sigma_x_core_cv,mean_rms68_x_cv,max_abs_bias,tail_fraction
1,1.0,1.0,2.465834248728176,0.013199091933711275,0.22939372470632696,3.4539385281641737,3.4539385281641737,1.4006290794438794,1.4006290794438794,0.6622227727063299,0.0836260162601626
2,1.0,1.0,3.2428764591910038,0.013199091933711275,0.6419515880463539,6.224425640864721,6.224425640864721,1.9194703418690964,1.9194703418690964,0.6486589580712674,0.12564227642276424
3,1.0,1.0,4.494333359745935,0.013199091933711275,2.41263340236633,37.27964289070021,37.27964289070021,8.296429807031835,8.296429807031835,0.852047104855333,0.14089430894308944
4,1.0,1.0,5.880337826240657,0.013199091933711275,3.7044813186866543,78.47006841455072,78.47006841455072,13.34414286488821,13.34414286488821,0.8983456623983983,0.0342520325203252
5,1.0,1.0,7.071013894170057,0.013199091933711275,10.20496553680488,115.64741588601908,115.64741588601908,16.354444036446186,16.354444036446186,1.2661063116859557,0.0011707317073170731
6,1.0,1.0,7.780046118841876,0.013199091933711275,30.148919466441647,130.10657922933538,130.10657922933538,16.72300945321351,16.72300945321351,1.8861572280549161,0.0004878048780487805
7,1.0,1.0,8.034053183244557,0.013199091933711275,48.96906006912138,131.01481351142326,131.01481351142326,16.3074907270566,16.3074907270566,2.2470695924293813,0.0007073170731707317
8,1.0,1.0,8.007813740580046,0.013199091933711275,55.017036835043015,124.34992727014006,124.34992727014006,15.528175288446212,15.528175288446212,2.246516978093915,0.0018130081300813008
9,1.0,1.0,7.9028172258573415,0.013199091933711275,49.06100549568952,114.51634262113187,114.51634262113187,14.489548450597711,14.489548450597711,2.15341779968681,0.003910569105691057
10,1.0,1.0,7.837411257886704,0.013199091933711275,36.24234593211923,106.27330563739586,106.27330563739586,13.558637246490695,13.558637246490695,1.982786733241396,0.007121951219512196
11,1.0,1.0,7.875025752712997,0.013199091933711275,27.84947070252867,100.96448131115153,100.96448131115153,12.819819659654202,12.819819659654202,1.7377943418113118,0.008365853658536586
12,1.0,1.0,8.014257410465287,0.013199091933711275,23.67093150259458,98.73071577067289,98.73071577067289,12.31848900080491,12.31848900080491,1.685218920039101,0.007869918699186993
13,1.0,1.0,8.223038283975159,0.013199091933711275,20.706138530002047,98.35104676782308,98.35104676782308,11.959632435605487,11.959632435605487,1.543311535261906,0.005983739837398374
14,1.0,1.0,8.465975722179136,0.013199091933711275,21.004092903497906,98.65117990405055,98.65117990405055,11.652055777287233,11.652055777287233,1.6341612259907978,0.004536585365853658
15,1.0,1.0,8.702426449011048,0.013199091933711275,24.191651703321586,99.14840588765061,99.14840588765061,11.392657418862907,11.392657418862907,1.7540354441550896,0.0038130081300813013
16,1.0,1.0,8.92769676045404,0.013199091933711275,28.620559040194358,99.82370212763189,99.82370212763189,11.180860872968639,11.180860872968639,1.8799511362235362,0.003455284552845529
17,1.0,1.0,9.148065337986946,0.013199091933711275,33.70175406962114,100.28312946327938,100.28312946327938,10.961815214589668,10.961815214589668,2.011239657231176,0.003341463414634146
18,1.0,1.0,9.343892497874574,0.013199091933711275,38.826771331489354,100.16722122089764,100.16722122089764,10.719601305769839,10.719601305769839,2.1483763922264036,0.003178861788617886
19,1.0,1.0,9.522716400688907,0.013199091933711275,41.68021358405495,100.16749926087473,100.16749926087473,10.51837661776809,10.51837661776809,2.1803073962877813,0.0032520325203252032
20,1.0,1.0,9.673246069752915,0.013199091933711275,43.525582977802046,99.83712557367672,99.83712557367672,10.320529503460193,10.320529503460193,2.2428394801891938,0.00351219512195122
21,1.0,1.0,9.829915280843021,0.013199091933711275,43.60046735443255,99.4029559574408,99.4029559574408,10.11180822060833,10.11180822060833,2.1974998831542636,0.003666666666666667
22,1.0,1.0,9.970524362616212,0.013199091933711275,44.82110435897253,99.0191915331897,99.0191915331897,9.930781012336208,9.930781012336208,2.251713054995113,0.003902439024390244
23,1.0,1.0,10.12128974347692,0.013199091933711275,46.050223632073255,98.80936567772228,98.80936567772228,9.76210526740577,9.76210526740577,2.295859246417766,0.0038048780487804877
24,1.0,1.0,10.271264001612117,0.013199091933711275,47.89229918457436,98.52311014088586,98.52311014088586,9.591782698830107,9.591782698830107,2.3489361448059056,0.003926829268292683
25,1.0,1.0,10.419885008292722,0.013199091933711275,51.14212226480792,98.26778204690662,98.26778204690662,9.430427639328016,9.430427639328016,2.3746927241796145,0.0040894308943089435
26,1.0,1.0,10.568808345710169,0.013199091933711275,53.60081250384934,98.39188019656909,98.39188019656909,9.309289903434951,9.309289903434951,2.4097727129239455,0.00391869918699187
27,1.0,1.0,10.727382067998427,0.013199091933711275,54.148306238597556,98.2640991158717,98.2640991158717,9.159838294674598,9.159838294674598,2.345145262090331,0.00402439024390244
28,1.0,1.0,10.877809953965123,0.013199091933711275,55.787587490703395,98.45500824555185,98.45500824555185,9.050737320389963,9.050737320389963,2.3612776539968,0.0041463414634146335
29,1.0,1.0,11.040084702146556,0.013199091933711275,57.98626915929697,98.63470862889604,98.63470862889604,8.933993589181673,8.933993589181673,2.3282715907471805,0.003951219512195121
30,1.0,1.0,11.209465357790219,0.013199091933711275,60.01585219830775,98.98897902587329,98.98897902587329,8.830592781352872,8.830592781352872,2.294957834970329,0.003910569105691057
